X	GSM49584
MIR3654	2017.1
HSPA9	86
HSPA9	557.4
HSPA9	410.5
YWHAQ	1660.4
DDX24	286.5
PPP2R1A	86.1
GSN	496.8
HK1	51.1
KDELR2	717.3
KDELR2	299.5
KDELR2	898.4
NPC2	865.3
DDX24	47.2
DYNLL1	1274.5
LITAF	366.4
SNORA41	1124
LITAF	218.2
PRKCSH	44.8
GOT2	153.8
LOC101929368	707.2
ACADVL	321.8
SKP1	658.1
MAPRE1	148.5
MAPRE1	599.7
OS9	442.3
SNORD32A	809.5
RPL13AP5	3378.2
RPL7	5965.9
SKP1	3467
SKP1	90.8
ACTR1A	107.5
ACTR1A	98.6
CAPRIN1	145.7
CAPRIN1	670.7
SNORA70	52
SNORA70	2225.8
PPP1CC	898.1
ACTR2	358.6
ACTR2	823.2
ACTR2	676.4
PTP4A1	168.2
PTP4A1	138
PTP4A1	215.5
PTP4A1	171.8
ARF3	144.8
NACA	2275.4
GPX1	1027.2
PGK1	244.3
PGK1	1312.2
SUMO3	142.3
SUMO3	751.9
RPS27	4146.6
TPP1	177.8
TPP1	380
GNB1	273.3
GNB1	323.6
GNB1	445.2
NUMA1	125.3
FTH1	3001.8
RAN	410.7
RAN	1159.7
HNRNPC	411.3
CAPN1	73.1
MIR636	343.4
MIR636	1433.7
CALU	120.2
CALU	121.5
CALU	455.5
NFE2L1	591.4
NFE2L1	761.9
ARL6IP5	515
ARL6IP5	843.3
DPYSL2	496.8
RPLP1	3625.8
CTNNA1	297.9
CTNNA1	647.1
CTSD	93.4
FAM120A	126.2
MAT2A	409.6
MAT2A	98.9
LAMC1	167.4
LAMC1	324.2
LOC100506248	2188.5
PTMA	866
FAM120A	1347.9
HNRNPK	704.7
BZW1	438.6
BZW1	610.1
SEPT2	395.8
ATF4	645.8
GNAS	2376.9
RPS15A	3213.8
ANXA5	924
STMN1	93.6
LRP1	75.7
LRP1	89.7
PSMB7	515.5
PEA15	141.4
PEA15	325.8
ECH1	168.4
ODC1	431.8
IQGAP1	708.5
XRCC6	575.3
ACO2	167.7
DAZAP2	952.9
SPARCL1	613.1
MCL1	55.9
MCL1	751
MCL1	740.6
HSPA1B	727.9
HSPA1L	416
ACTB	6759.2
SARS	232.6
TMBIM6	929.1
TMBIM6	1148
LMAN2	133.5
HSPD1	1377.8
HSPD1	1773.9
ZYX	102.4
RPL12	3920
CIRBP	264.3
CIRBP	320.3
CCT7	234.7
PAFAH1B1	183.5
PSME1	461.3
PAFAH1B1	215.5
PAFAH1B1	259.2
RPS10	2731.3
ATP5O	762.5
RPS15	2771.5
PSMD8	274.7
LAMP2	169.1
TPI1	656.9
RPL29	1868.1
GSTP1	227.6
HYOU1	261.3
SNRPD2	886.4
PLOD1	106.5
ZNF207	565.4
ZNF207	468.8
PSMD2	493.8
SCD	58.6
SCD	33.1
RAP1B	923.8
RPS21	3227.4
MAP4	14.1
MAP4	83
BCAP31	281
CTSB	422.3
CTSB	700.4
KARS	1558.1
EPRS	71.4
EPRS	364.7
EPRS	197.7
PRDX6	1336.8
PRDX6	1382.5
PPP1CA	105.2
SARAF	794.1
AHCYL1	222.7
AHCYL1	284
AHCYL1	687
IST1	309
GNB2	204.6
H2AFZ	952.7
NCOR1	65.5
NCOR1	83.6
NCOR1	124.2
NCOR1	158.6
SNORD38B	1079
FLNA	164.6
CNOT1	333.5
CNOT1	111
DHCR24	185.7
RAB11A	659.4
RAB11A	121.2
EIF3F	1.6
PSAP	1467.9
RNF114	146.6
RNF114	170.5
SNORA68	3631.7
STRAP	642
PSAP	1953.8
S100A10	3912.8
CCT8	670.4
MIR1292	142.4
MIR1292	249.7
PSMB1	1150.8
CCT4	524.4
EPAS1	342.1
EPAS1	33.8
DNAJA1	447.9
DNAJA1	568.2
PSMD4	371.9
UQCRC2	255.6
CKB	66.8
RHOC	291.9
PGAM1	418.3
STAT1	1883.6
SNORA21	2162
SSR1	373
SSR1	239.9
SSR1	1045.9
TRA2B	201.4
TRA2B	1005.2
FKBP4	38.7
FKBP4	84.9
HDGF	309.7
PALLD	71.9
MGEA5	91.6
MGEA5	197.6
M6PR	62.5
M6PR	203.5
SEP15	1148.6
AHCY	187.6
HLA-E	578.2
HLA-E	1876.2
PALLD	53.8
PALLD	58.6
RPLP2	63.1
SNORA52	2573.3
LOC101927137	293
TACC1	257.8
MIR1248	2742.3
PPM1G	54
KTN1	112.8
KTN1	798
TAGLN2	274.9
SRPRA	42.5
SRPRA	261.1
PHC2	362.3
BTG1	111.4
BTG1	332.2
KDELR1	138
LGALS3BP	1896
SLC3A2	134.3
COX6A1	1400.9
RPS23	3686
RAB14	462.8
RAB14	6.7
TMED10	915.4
VCL	23.7
VCL	370.8
DCTN2	162.3
RPS4X	2892.4
DEK	441.1
CALR	32.8
RPL8	1995.2
RPL5	1488
RERE	9.6
RERE	2
RERE	150.1
HSBP1	216.4
HSBP1	580.1
HMGN1	586.8
LOC101927733	1167.4
SEC31A	1286.3
GLUD1	159
GLUD1	168.7
MLF2	102.5
SNORD54	1523.8
ARPC1A	298.1
CCND2	52.4
CCND2	49.4
CCND2	508.2
ATP6V0C	208.3
IMMT	488.2
SSRP1	76.2
SSRP1	62.2
SDCBP	864.7
FUS	337.6
CLTA	263.4
SEPHS2	137.8
RPL31	111.2
RPL31	6095.8
UBA1	308.3
ABLIM1	312.9
ALDOA	1057.9
PPIB	1758.4
PPIB	1324
SERP1	736.9
SERP1	689.6
SERP1	606.8
TSPAN3	3812.7
TSPAN3	2428.5
ACTA2	232.4
PPT1	401
TAX1BP1	512.4
TAX1BP1	441.5
MDH1	1281.3
PDHA1	60.7
PDHA1	188.7
GNAS	2131.4
ANXA6	67.7
CD59	443.4
CD59	467.7
CD59	637.7
SERPING1	519.4
PSME3	144.5
PSME3	15.7
HIF1A	1142.9
TRIM28	91.2
SNX17	123
IPO7	296.3
IPO7	220.5
IPO7	193.6
IPO7	96.5
ACTR3	726.1
RBM14-RBM4	124.1
CKAP4	356.2
CKAP4	594.7
AARS	251.4
TMEM189-UBE2V1	188.4
TMEM189-UBE2V1	192.6
TMEM189-UBE2V1	251.1
SSR4	865.5
CD9	749.8
PRDX2	31.1
HADHB	624.2
TXNIP	524
TXNIP	798.9
TXNIP	1415.3
RPN1	531.2
ANXA1	2754.1
PAICS	144.3
PAICS	96.2
JUP	10.5
EIF1AX	97.8
EIF1AX	74.9
EIF1AX	155.5
EIF1AX	301.4
YWHAH	303.4
DSTN	674.8
DSTN	1260.4
TAF7	359.3
EIF5B	406.5
EIF5B	100.7
EIF5B	171.1
EIF5B	136.2
CD99	223.3
CD99	376
LDHB	653.1
HNRNPH1	1618
BLCAP	223.6
RPLP0	3830.1
ADD3	317.9
HADH	134.7
HADH	101.9
PFKP	177.3
ANP32A	68.1
RAD23A	161.1
GNAI2	149.9
DUSP1	988.3
TGM2	75.3
ANP32A	91.9
DUSP1	90.1
WTH3DI	2.2
RAD23A	270.5
WTH3DI	503.9
WTH3DI	39.9
RPS18	3604.6
PLD3	104.7
ANP32A	230
PSMF1	89.1
PSMF1	126.4
HNRNPA0	533.8
HNRNPA0	78.3
GOLGB1	97.7
GOLGB1	370.5
MYL9	23
CTTN	222.5
STOM	227.1
STOM	323.4
STOM	6.2
RCN1	348.8
LOC100996696	206.9
GTF2IP4	513.8
CYC1	122.6
PSMC2	173.5
PSMC2	957.9
MMP2	167.8
SF3B1	209
SF3B1	1120.5
SMARCC1	64.2
SMARCC1	75
SMARCC1	165.3
SMARCC1	84.3
SNU13	78.3
SNU13	207.7
TM9SF2	332.9
SYNGR2	154.6
PIP4K2B	97.7
PIP4K2B	33.7
SLC4A5	38.6
BCLAF1	53.6
BCLAF1	500.8
SON	140
SON	759.3
PXN	101.9
KPNA2	407.9
ATP6V1B2	163.4
TUBA1B	1780.9
CBX3	337.9
RBBP7	763.2
SDHA	243.5
RPS29	6429.6
DAP	224.3
ARF4	1300.1
ARF4	1757.3
COPB2	983.7
USP9X	256.1
USP9X	410.4
BCLAF1	252
PFKL	73.7
NBPF20	900.2
NBPF25P	445
LGALS1	1127.8
GPX4	455
THBS1	7.7
THBS1	87.9
THBS1	49.4
THBS1	81.9
CSE1L	184.4
CSE1L	575.8
TUFM	189.3
PSMA7	482.4
POLD2	76.4
CPE	134.5
CPE	82.4
PGD	190.4
COX8A	585.9
PGRMC1	176.9
PGRMC1	690.7
EIF5A	217.4
EIF5A	271
ITGB5	107.5
ITGB5	119
MGAT1	74.6
ACLY	143.7
ACLY	164.7
SRSF7	336
CDH1	48.4
CDH1	354.7
RPL36A-HNRNPH2	450.3
PJA2	137.8
COX7C	698.5
ECHS1	326.3
PLP2	244.6
HLA-DPB1	678.3
SSB	234.2
SSB	191.8
RAB5C	46.3
GPNMB	482.3
EIF2S1	269.1
EIF2S1	143.1
EIF2S1	230
HAX1	171
NFE2L2	1073.9
TIMP3	62.3
TIMP3	168.5
TIMP3	145.8
TIMP3	180.2
MBNL1	91.9
MBNL1	546.5
MBNL1	393.1
SNORD18C	2210.3
MFN2	57.6
RAB5C	73.8
NMT1	243.4
NMT1	44.2
NMT1	10.2
YBX3	650.8
YBX3	377
IGFBP7	409.4
IGFBP7	756
PUM1	195.4
PUM1	300.4
PUM1	564.7
ARHGDIA	47.4
ARHGDIA	177
BHLHE40	62
BHLHE40	388.7
ATP6V0E1	272.9
ATP6V0E1	1087.5
NUDC	196
TERF2IP	251.6
TMX2	187
ARCN1	288.7
UBA2	255.1
FBXO7	259.6
GNAI3	254.7
GNAI3	552.2
GNAI3	98.9
CHD4	61.5
CHD4	207.3
CHD4	185.8
HTRA1	878
LRPAP1	166.2
ITPR3	23.4
ITPR3	86.9
ITPR3	128.8
PITPNA	135.6
PITPNA	40.8
PITPNA	87.3
IDH1	255.1
SEPW1	229.7
SLC7A5	57.4
AMD1	73.4
AMD1	108.2
PSMD1	188.6
PSMD1	479.2
CREG1	382.6
CSTB	223.4
PCNA	226.8
RRBP1	31.8
RRBP1	441
RRBP1	63.6
RRBP1	85.2
TNFAIP1	191.1
TNFAIP1	32.3
HDAC1	59.2
DDX3X	589.7
DDX3X	149.7
LGMN	353.7
PPP1R7	6.1
PPP1R7	106.7
PLS3	1214.3
ERP29	443.7
SNORD83B	3696.3
CTBP2	137.5
CTBP2	46.4
CTBP2	198.2
SNRNP70	119
RAD23B	830.7
RAD23B	487
SRRM1	82.9
SRRM1	335.8
NDUFB8	232.7
NDUFB8	238.2
ARIH2	64.6
ARIH2	61.5
ARIH2	124.9
ENO1	2123.1
PSMD13	190.6
PSMD13	107.8
ILK	208.5
BTG2	53.6
BTG2	137
CAPZA2	215.6
CAPZA2	485.3
SPCS2	475.8
SPCS2	1030.7
DDX1	312.8
ATP1B1	365.8
ATP1B1	756.9
RAF1	163.7
LOC101927673	91.3
LOC101927673	7.3
SREBF2	30.4
SREBF2	8
SLC2A1	38.6
SLC2A1	102.7
PKM	374.8
PSMC4	100.1
CDIPT	159.7
RPS6	3860.9
BAG6	167
COX7A2L	272.3
SNORD73A	7568.4
RPS16	1045.7
SYPL1	278
SYPL1	258.3
BGN	140.3
BGN	40.8
TARS	383.7
COPE	86.3
AF119897	35.9
TXNRD1	993.6
PSMC3	181.3
NME1-NME2	1345.4
NUDCD3	35.8
NUDCD3	222
RALY	37.7
AKR1B1	277.9
SRP9	916.9
PSMA5	278
FDPS	134.5
RAB5B	212.4
HNRNPAB	418.1
LOC101926921	308.3
LOC101926921	345
LOC101926921	170.4
ADRM1	163.2
OGDH	104.6
TRAK1	3.8
APEH	87.1
MKRN1	303.6
SDC1	22.3
SDC1	99.7
ARHGDIB	153.6
CYR61	390.3
SEC11A	978.3
TOP2A	212
TOP2A	158.9
LOC101060363	4188.8
WSB1	274.5
WSB1	581.9
WSB1	831
MOB1A	83.5
MOB1A	261.7
MOB1A	105.4
PRNP	750.9
ANXA4	603.2
ANXA4	583.4
EIF4A3	341.1
NDUFA5	267.2
ANP32B	332.3
ANP32B	715.5
SEPT11	281.6
SEPT11	22.7
NREP	133
NREP	275.2
SH3BGRL	358
SH3BGRL	855.6
ENO2	26.6
STK25	39.8
IFITM2	2968.4
PSMA2	132.6
PSMA2	676.4
MYL12B	1246.4
MYL12A	501.2
SMARCC2	81.1
SMARCC2	61.2
ATP5B	1147.8
MIR6733	152.3
EMP1	366.7
EMP1	148.9
CCT6A	199.3
CCT6A	289
ETS2	61.1
ETS2	44.3
RARS	339.8
STAT6	183.9
STAT6	11.9
ARHGEF12	44.7
ARHGEF12	336.5
ARHGEF12	23.1
VAMP3	573.8
VAMP3	144.6
GTF3A	419.1
SCP2	1283.1
ENC1	9.1
ENC1	63
SNRPC	323.7
UBE2D2	288.3
UBE2D2	59.9
UBE2D2	280.1
ADIPOR2	189.3
GRHPR	224.1
GPX3	85.2
SLC9A3R1	475.7
FLOT2	132.5
YME1L1	751.1
YME1L1	447.9
BAZ2A	43
BAZ2A	90
BAZ2A	101
SF3A1	128.8
SF3A1	76.5
COPB1	867.4
COPB1	689.4
CST3	348.7
TMEM109	127.2
IVNS1ABP	146.2
IVNS1ABP	140.3
OAZ2	220
OAZ2	163.1
ANXA7	542.6
ZFP36L2	1.8
ZFP36L2	354.5
ZFP36L2	11.1
CUL3	29.8
CUL3	331.3
CUL3	10
PLEC	21.3
PPP2CB	1
PPP2CB	288
HNRNPF	258.5
UBAP2L	68.2
UBAP2L	121.8
TPD52L2	80.4
CRTAP	108.7
CACYBP	380.4
CACYBP	73.8
NBR1	172.4
NBR1	419.2
DHX15	824.8
DHX15	546.3
UCHL1	1900.5
PSMD3	134.3
ITGA5	77.2
CSNK2B	289.6
TRAP1	230.8
IGF2R	45.2
IGF2R	157.2
RBM5	157.4
RBM5	333.5
SGTA	31.6
PHGDH	206.4
TRAM1	2736.2
TRAM1	2504.3
PSMB3	638.9
GRK2	4.7
GRK2	5.4
MGST3	629.5
PSMB2	233.3
COPS6	217.7
RPL36A-HNRNPH2	1870.1
PPP1CB	284.6
PPP1CB	191.2
PPP1CB	260.8
PLEKHB2	244.3
PLEKHB2	23.1
LRP10	301.4
HSD17B4	283.4
NAP1L4	109.4
GSS	62.5
SOX4	165.1
SOX4	512.6
SOX4	32
BAP1	111.2
WDR77	26.5
WDR77	126.5
IFI30	739.7
CUL4A	77.2
CUL4A	41.1
ALDH2	533.3
VIM	645.3
SEPP1	591.8
CLDN4	8.7
RPL37A	5648
DPYSL3	56
DPYSL3	157.5
CAT	292.6
PTDSS1	165.4
TTC1	175.2
EIF4E	266.9
EIF4E	57.2
EIF4E	44
COL6A3	863.9
GBF1	97.6
DDX23	60.3
COX6B1	415.9
ATP6AP2	53
ATP6AP2	678.5
ATP6AP2	435.4
CNN3	363.2
TIA1	291.8
TIA1	140.8
TIA1	189.5
TIA1	82.9
TIA1	140.2
RHEB	33.7
RHEB	4.4
RHEB	1058.8
NPEPPS	430
NPEPPS	270.7
BUB3	99.4
BUB3	338.8
BUB3	194.2
RUVBL2	103.6
MAPKAPK2	160.2
MAPKAPK2	13.6
SCRN1	64.4
TALDO1	240.1
JUN	158.3
JUN	5.3
JUN	97.7
NQO1	139.9
NQO1	271.9
SHC1	35.1
GSTO1	417.5
SQSTM1	474.7
VBP1	389.3
JUNB	124.2
ITGA3	22.4
MIR6758	231.3
RRM1	172.2
RRM1	326.8
MIR664B	72.9
MIR664B	213.7
SUPT5H	123.5
PYGB	7.9
QSOX1	108.8
SUPT4H1	159.4
SUPT4H1	128.4
RCN2	167.3
RCN2	202.1
CTSC	360.5
KHDRBS1	225.5
PPIF	181.2
PPIF	128.2
AHSA1	176.8
RPL41	9880.3
PUM2	232.1
PRCP	158.4
MYH11	3.4
MYH11	4.3
MYH11	12.3
USP7	115.6
USP7	213
PPP1R11	148.8
GRSF1	150.8
NFKBIA	115.8
G3BP1	433.5
TSN	85.8
LAMB1	226.5
TGFBI	1390.6
PFDN1	115
IGFBP4	201.9
IDH3B	107.9
ELF3	35
AAMP	100.8
TOMM70	198.2
TSN	50.5
G3BP1	209.7
TSN	334.4
SRM	125.5
NCBP2	295.9
CBX1	554.9
TOMM70	376.3
GRSF1	228.9
NCBP2	199.3
SNURF	560
UBE2N	382.8
UBE2N	769.5
APOD	44.1
ARF5	192.6
LOC101927180	264.1
RPA1	147.8
RPA1	169.6
LOC101928634	1654.8
ZFP36	207.9
PSMA3	673
CTNNB1	711.1
UBL3	44
UBL3	32.5
DUSP3	168.8
DUSP3	59.9
DUSP3	38.1
FHL1	85
FHL1	263.9
ZNHIT1	188.7
SAR1A	433.8
SAR1A	245.6
BCL2L2-PABPN1	223.1
BCL2L2-PABPN1	76.8
TRIP12	215.1
KDM5B	26.8
KDM5B	95.5
KDM5B	132.3
ACTG1	5440.1
LAMP1	97.6
LAMP1	268.7
LAMP1	879.9
GYG1	232
MCM3	178
VAMP2	25.3
VAMP2	60.2
RAE1	189.9
CLIC4	550.4
CLIC4	1391.8
CLSTN1	157.7
SORD	43.6
SORD	92.2
FSCN1	63.2
ID2	338.4
ID2	143.8
GOLGA4	259.4
UQCRQ	634.5
SAMM50	62.2
SAMM50	91.6
DCTD	299.9
DCTD	262.7
ETF1	136.5
ETF1	306.1
SNW1	235.2
TMPPE	326.9
NME1	653.7
PODXL	86
FAT1	425.9
TMX4	147.2
TMX4	501.8
SEC23B	76.7
SEC23B	124.8
DDX39A	212.4
SFPQ	220.2
SFPQ	394.7
IRAK1	351.5
TXNL1	946.1
SMC1A	151.2
ANXA2	4829
NISCH	360.7
EIF3H	1026.6
ZC3H15	206.9
PPP4R1	334.1
ZC3H15	250.2
KRT18	4095.6
COX7A2	1395.4
INPPL1	69.4
OAT	381.3
PHB2	774.2
IFITM2	2580.4
PPP1R12A	99.1
PPP1R12A	1511.8
PPP1R12A	1556
CNN2	162.9
PWP1	152.5
PWP1	138.1
PWP1	287.6
ICMT	253.8
ICMT	18.7
ICMT	91.6
ALDH9A1	432.6
AP1G2	67.9
RUVBL1	59.7
CALD1	130.2
CALD1	167.6
CALD1	166.3
GPAA1	47.2
PRDX3	449.4
MBTPS1	211.8
NBL1	19.7
SND1	294.7
DARS	525.1
DARS	110
INSIG1	25.1
INSIG1	206.3
INSIG1	145.5
RRAGA	277.1
ACP1	115.1
ACP1	281.3
IER3	206.7
EIF2B1	133.1
CYB5B	148.3
CYB5B	90.1
FXR1	131.5
FXR1	184.2
FXR1	221.1
CPSF1	8.3
MIR6849	89.8
CLPTM1	4.4
BST2	808.7
IFNGR2	435.1
KDM3B	220.1
TSTA3	19.6
TNC	8.1
SCARB2	240
SCARB2	122.4
JAK1	367.9
UBE2L6	484.3
KRT19	2493.7
PACSIN2	197.4
COPS5	267.7
CNIH1	652.5
HSPG2	24.4
HSPG2	123
ITGA6	142.8
ARL1	99.7
ARL1	229.2
ARL1	381.2
ACSL3	185.7
ACSL3	163
ACSL3	180.9
SMC4	211.9
SMC4	416.9
RPS17	2878.6
TIMP1	1611.9
GJA1	720.8
MARCKS	61.8
MARCKS	767.5
MARCKS	148.8
USP14	232.4
USP14	656.1
GYS1	89.7
AKAP1	106.9
AKAP1	178
PSMA1	1342.4
HMCES	48.7
HMCES	187.5
SRRT	15.4
SRRT	239.4
DLG5	304.9
PMPCB	266.2
TOX4	59.6
TOX4	100.3
TOX4	95.7
API5	137.9
API5	198.8
TPD52	68.4
TPD52	142.5
TPD52	202
TPD52	2
SIGMAR1	78.2
EGR1	79.1
EGR1	337.6
PNP	61.3
SRSF4	266.3
DNMT1	62.7
GATC	494.1
PSMC6	420.5
CCND3	232.3
PGRMC2	115.7
PPP1R10	13.3
PPP1R10	103.9
ENTPD6	35.2
PSMD7	323.5
PEX19	94
PEX19	55.6
NIPSNAP1	103.8
NIPSNAP1	109.4
MYBL2	6.3
RANBP2	245.6
RANBP2	167
RANBP2	237.2
TUBG1	16.6
ACIN1	44.3
SNX1	218.1
MRPL49	214.7
EPB41L2	91.1
EPB41L2	127.8
LAPTM5	344.7
LAPTM5	1078
GALNT1	157.4
GALNT1	316.2
GALNT1	134.6
CDC123	230.1
ELAVL1	388.9
ELAVL1	113.3
KIAA0100	76.8
KIAA0100	70
TPR	181.2
TPR	368.8
CLCN3	11.3
CLCN3	21.4
CLCN3	224.9
CLCN3	89
MARCH6	215.1
MARCH6	78.6
EIF1B	263.1
SGK1	389.1
NDUFS3	285.6
SRSF1	41.7
SRSF1	433.6
CD14	646.5
LUM	825.4
TWF1	330.5
TP53	77
SAFB	44.7
SAFB	132.1
ECE1	6.7
ECE1	14.1
JOSD1	100.6
ADD3	159.9
ADD3	106.3
COX6C	1436.3
MCM5	3.7
RPA2	248.2
RPL10	974.6
TSG101	357.4
TBCD	28.5
WSB2	263.4
MTHFD2	155.7
MIR7703	850.5
DAXX	28.9
TMEM106C	172.1
HEXA	387.5
ELAC2	20.1
ELAC2	60.5
CLINT1	212.5
CLINT1	344.2
SNRPA	89.3
SCAMP3	150
AZIN1	183.5
ADNP	469.3
NCAPD2	82.3
EFCAB14	150.1
EFCAB14	180.7
EFCAB14	196
EFCAB14	398.7
RNF13	647.1
RNF13	210.7
AIP	88.4
AIP	172.9
RELA	163.6
C11orf58	461.7
RNASE1	617.1
ADAR	808
FBLN1	45.9
DDX42	344.3
PCNX4	4
DHCR7	62.3
DHCR7	67.2
AEBP1	57.6
SMG7	9.6
SMG7	74
LBR	86.2
VARS	42.8
VARS	8.4
MYOF	485
OSBP	107.7
OSBP	226.2
SLC29A1	4.3
SLC29A1	5.1
POLR2B	354.4
TBCB	119.7
PRKAG1	219.9
ATXN2L	28.5
VPS26A	511.2
ENG	78.7
ENG	57.8
SH3BP5	16.5
SH3BP5	116.6
C4orf46	737.7
TBC1D5	25.9
TBC1D5	264.3
TBC1D5	86.6
GBAS	95.2
UBE3C	102.5
LPCAT1	72.4
SCARB1	70.8
KRT5	693.5
TIMM17A	285.1
TIMM17A	15.2
RNF14	95.7
RNF14	106
SCCPDH	216.3
SCCPDH	95.2
SMARCD2	64.8
FAM127A	298.8
NET1	273.1
NET1	145.7
USO1	210.1
USO1	732.7
HDAC2	143
PRKAB1	71.3
PRKAB1	66.2
SUPT7L	89.5
SUPT7L	202.3
SUPT7L	59.1
EPCAM	32.7
NEDD8	313.6
HSPB1	621.7
EFEMP1	5913.1
EFEMP1	2020.8
RYBP	97.4
RYBP	225.8
RYBP	73.6
LIPA	357.7
BNIP3	104.8
BNIP3	195.7
CAPG	146.6
SH3GL1	124.7
COL3A1	3641
CDC25B	111.4
ATMIN	187.3
ATMIN	163.1
ZFR	137.3
ZFR	426
SRGN	767.7
SRGN	1118.4
PLAT	54.3
LRRFIP1	197.8
LRRFIP1	255.9
FAM32A	271.1
GDI1	108.4
NR3C1	645.8
NR3C1	120.8
TBL1X	45.7
TBL1X	7.6
TBL1X	8.9
TOMM34	181.7
UBXN1	133.3
ABCE1	286.5
ABCE1	150.2
MPZL1	836.8
MPZL1	283.2
PON2	235.4
PPP2R5C	229.5
ARIH1	74.4
ARIH1	123.5
ARIH1	212.2
ARIH1	72
B4GALT1	4.2
B4GALT1	85.6
CEACAM5	79.3
CYB5R3	222.5
DCAF11	109.4
IL13RA1	167.3
IL13RA1	114.3
FAM3C	686
RRM2	115.2
B2M	7018.7
IMPDH2	232.9
DCN	1433.9
SSR1	748
ARAF	133.2
PSRC1	71.4
CKS1B	213.2
UBE2A	238.6
UBE2A	333.2
AKR1A1	217.8
YY1	220.6
YY1	24.2
UQCRC1	98.2
CTDSPL	112.1
CTDSPL	27
