,cc01-20covid1,cc01-20covid2,cc01-20mock2,cc01-20mock1,cc03-19covid,cc03-19mock,cc03-20covid1,cc03-20covid2,cc03-20mock1,cc03-20mock2
TSPAN6,3873,4172,4663,3788,5537,3098,5946,6132,7271,6810
TNMD,0,0,0,0,2,7,0,0,0,1
DPM1,2184,2337,1373,1498,1902,2099,1823,1717,1858,1708
SCYL3,740,835,922,889,1073,634,690,801,1442,1102
C1orf112,750,882,180,201,430,492,419,533,355,230
FGR,1,2,0,9,6,14,0,0,6,18
CFH,4517,5005,6234,8134,5791,5160,3567,3534,5293,4913
FUCA2,6970,7354,2809,3039,4633,6327,3608,3855,2577,2519
GCLC,7410,7872,2807,2767,3785,9179,1710,1851,5218,4678
NFYA,1367,1469,930,1115,1358,1117,1193,1071,796,832
STPG1,912,853,523,463,611,804,724,945,952,820
NIPAL3,4283,4297,3168,3864,3778,4535,5402,6226,4204,3368
LAS1L,2243,2347,1123,1360,1499,2379,1767,1766,1885,1784
ENPP4,2039,1880,1697,2103,1267,803,343,311,508,482
SEMA3F,1082,1274,3094,2458,4072,4569,4292,4729,4950,5014
CFTR,237,256,1227,1649,270,224,103,114,422,324
ANKIB1,1396,1273,621,716,958,973,1280,1151,861,832
CYP51A1,24500,23639,7824,8715,11707,14020,20936,21570,6367,5813
KRIT1,1069,1408,1149,1453,908,1068,879,1072,1328,1249
RAD52,187,177,418,370,201,146,116,136,330,314
MYH16,121,103,12,1,33,46,662,677,9,0
BAD,3376,3299,2080,2355,2452,2405,2545,2579,2425,2438
LAP3,6740,7637,2200,2343,8239,3293,4686,3855,2620,2564
CD99,2254,2432,1636,1950,2422,3310,3230,3056,2446,2378
PAR_Y_CD99,2254,2432,1636,1950,2422,3310,3230,3056,2446,2378
HS3ST1,748,640,1161,1930,2940,2545,1707,2014,2968,2772
AOC1,51,24,84,50,396,223,83,110,9,12
WNT16,7,0,4,4,15,94,9,18,0,9
HECW1,22,36,3,23,11,32,21,0,10,5
MAD1L1,2473,2607,1048,1087,2092,2256,1745,1647,1405,1454
LASP1,9494,9684,3610,5104,8237,8464,8227,7696,4015,4079
SNX11,1315,1305,773,641,1392,1177,1587,1598,994,1004
TMEM176A,8,5,106,146,115,15,1,3,14,17
M6PR,8391,8660,4189,5727,6483,7791,6281,6358,7299,6765
KLHL13,272,239,299,329,104,403,373,392,944,907
CYP26B1,40,10,16,35,112,64,99,153,16,29
ICA1,2497,2579,1702,2059,1093,862,1035,1011,1071,1186
DBNDD1,2236,2228,659,861,1305,1660,1140,1055,905,792
ALS2,1604,1440,856,1090,1085,1311,1087,1122,918,913
CASP10,2417,2651,1397,1473,1376,1020,1200,1202,1153,1024
CFLAR,13204,13579,6386,6617,9354,4391,6530,6224,5214,4941
TFPI,13320,13363,17086,21592,9599,11903,2834,2476,2077,2079
NDUFAF7,888,923,708,858,812,647,411,403,657,668
RBM5,2946,3465,6165,6067,4675,2819,2752,2751,5497,5176
MTMR7,27,35,23,15,49,16,30,21,43,22
SLC7A2,41,27,56,113,84,98,241,156,295,127
ARF5,4195,4353,3324,3050,3701,3916,4331,4437,4882,4603
SARM1,333,379,588,667,347,216,56,65,364,432
POLDIP2,10390,10615,4727,4934,6928,9007,6244,6159,6519,5930
PLXND1,1083,1239,1632,2046,1507,1504,148,166,394,353
AK2,7507,7834,6055,7217,7459,7929,5606,5732,9106,8600
CD38,405,545,97,88,505,116,121,136,47,60
FKBP4,4281,4250,3287,3710,4430,6107,5746,5744,5193,4972
KDM1A,5831,6335,3526,4329,5126,5974,6571,6938,6598,6134
RBM6,2794,2944,4067,4343,2637,1864,1786,1919,2891,3325
CAMKK1,273,354,635,624,307,275,173,107,162,289
RECQL,2958,3041,1284,1590,2279,3395,3482,3096,1743,1446
VPS50,1496,1505,883,732,1156,1007,1348,1302,1006,1054
HSPB6,45,33,511,404,328,1854,18,5,636,657
ARHGAP33,16,21,33,66,30,34,24,20,47,64
NDUFAB1,3724,3945,1849,1866,2475,3823,2954,2732,2786,2541
PDK4,2868,2793,1093,1399,3235,4111,388,419,6219,5401
SLC22A16,0,0,0,0,0,0,0,1,8,6
ZMYND10,625,834,1317,1911,124,3,564,815,7754,6890
ABCB5,0,0,0,0,2,0,0,0,0,0
ARX,0,1,0,3,1,0,0,0,7,3
SLC25A13,1759,1721,808,826,1851,2769,1835,2231,1536,1434
ST7,3103,2986,1835,2259,1539,1522,1395,1415,1252,1103
CDC27,2060,2102,1057,1162,1592,2363,1918,2067,1684,1286
SLC4A1,0,0,1,0,0,0,0,0,0,0
CALCR,0,0,5,55,0,0,0,0,0,0
HCCS,2162,2206,1179,913,1658,2276,2332,2256,1714,1531
DVL2,1780,1816,1997,2535,2641,1458,1068,1121,1860,1948
PRSS22,1475,1505,1505,1446,4888,941,2966,2875,1046,1070
UPF1,4366,5201,3861,4803,5883,4141,4677,5158,6276,5777
SKAP2,1434,1449,777,1111,1277,1400,933,848,744,718
SLC25A5,14878,15560,7393,7140,9956,12571,9828,10027,15797,14419
MCUB,1385,1589,530,579,895,1083,1271,1156,273,301
HOXA11,0,1,8,0,2,1,0,0,0,8
POLR2J,1429,1541,880,994,1262,1311,1065,1100,1042,857
DHX33,206,214,235,176,306,288,178,179,151,176
MEOX1,5,0,2,10,6,0,39,30,21,16
THSD7A,185,268,167,157,146,155,37,44,23,35
LIG3,1378,1451,847,1051,1101,1074,1031,1136,1076,1017
RPAP3,1794,1915,991,1050,1240,1629,1435,1386,1500,1495
ACSM3,582,595,428,698,193,437,35,46,210,164
REXO5,197,338,118,150,128,216,110,114,475,597
CIAPIN1,4045,3839,1807,1652,2778,4159,3902,3943,2908,2671
SPPL2B,1294,1731,1798,1659,2524,1558,1459,1509,2186,2460
FAM214B,1267,1255,876,802,1638,1830,2789,2732,1060,907
COPZ2,179,189,438,403,186,630,301,300,318,310
PRKAR2B,104,132,580,695,524,799,258,394,372,287
MSL3,1380,1447,863,1079,1493,886,1403,1523,1219,1110
CREBBP,807,867,900,1133,1091,629,712,705,1099,1201
TSPOAP1,78,43,300,345,49,2,10,10,242,172
MPO,0,0,10,0,0,0,0,0,1,0
PON1,9,6,17,50,9,6,1,0,2,0
GCFC2,680,970,686,765,558,830,590,519,1100,1065
WDR54,539,601,954,1304,317,492,558,567,1712,1650
CROT,1398,1441,2165,1708,2055,2922,2865,3051,7476,6509
ABCB4,0,0,6,3,2,9,0,0,0,6
KMT2E,2018,2197,3636,4208,3439,1461,1666,1667,3212,3127
RHBDD2,4617,4853,4037,4879,5996,4463,3876,3914,5977,5280
SOX8,5,12,9,9,4,5,1,3,0,1
IBTK,4616,4751,2809,2892,3571,4675,2895,3035,2681,2472
ZNF195,1239,1214,1006,1053,969,864,1059,894,1176,1085
MYCBP2,484,612,1134,848,698,767,645,618,1445,1100
FBXL3,2496,2341,2258,2425,2003,2211,1759,1999,2831,2396
ITGAL,0,5,4,0,13,6,9,0,10,0
PDK2,1394,1280,1442,1496,1400,1052,587,647,2347,2176
ITGA3,16068,15203,6856,9966,9479,23936,12148,12778,5824,5336
ZFX,1990,2077,1660,1868,1529,1397,1140,1187,1394,1198
LAMP2,12209,11901,11147,13184,12340,15324,12031,12125,15346,13465
ITGA2B,5,4,10,27,5,4,0,0,7,24
ASB4,3,2,67,73,7,3,1,3,17,20
GDE1,9708,10074,6778,7889,8685,6569,5130,5273,6473,5994
REX1BD,1311,1455,1257,1197,1577,1558,1253,1293,1411,1383
CRLF1,67,70,21,39,81,43,69,77,11,44
OSBPL7,2505,2709,827,892,2200,1001,1245,1356,343,488
TMEM98,4888,4741,1922,2359,1819,2501,3671,3223,2793,2546
YBX2,0,6,14,4,37,2,1,6,48,48
KRT33A,0,1,1,0,14,29,1,3,6,3
MAP3K14,237,250,287,442,278,221,201,237,373,539
ABCC8,0,12,6,13,1,0,0,0,6,0
CACNG3,0,0,0,0,0,0,0,0,0,0
TMEM132A,3235,3086,2663,3042,9099,6363,13951,13342,6255,5508
AP2B1,12397,12116,4811,6665,5728,11855,11349,11134,7396,6510
TAC1,5,3,0,0,1,2,1,0,1,0
ZNF263,1443,1539,1469,1653,1850,1461,1183,1132,1900,1798
CX3CL1,936,817,875,1290,1984,675,1088,1012,2798,2606
SPATA20,3775,3751,2538,3186,3283,3847,1559,1630,2199,2188
CACNA1G,0,0,0,1,5,2,0,1,0,4
TNFRSF12A,13024,12664,1443,1535,8436,8052,17361,15776,955,983
DLX6,0,0,0,0,0,0,0,0,0,0
MAP3K9,1404,1418,1475,1182,2848,1190,3076,3123,1166,1057
RALA,3437,3569,2617,2238,3683,3483,3998,3982,3198,2527
BAIAP2L1,4843,4922,2912,3602,6629,3866,5429,5494,3597,3334
KDM7A,414,344,793,720,1368,508,635,613,1141,1157
ETV1,2960,2889,2571,3002,1814,1385,235,162,403,430
AGK,1493,1860,1151,1223,1366,1776,1437,1381,1640,1723
ALDH3B1,3834,4084,2783,3373,3642,1764,2341,2200,3827,3501
TTC22,1230,1316,2094,1329,2626,1900,1868,2151,2790,2811
PHTF2,975,1097,792,1138,1255,1044,491,618,964,906
CCL26,6,5,7,10,12,8,5,7,3,5
FARP2,1815,1966,1694,1692,2324,1937,2174,2657,3077,2749
USH1C,0,3,11,10,3,3,2,0,14,26
GGCT,1806,1839,711,614,893,2234,1490,1530,1638,1512
DBF4,579,641,342,383,454,730,474,509,493,470
TBXA2R,29,18,31,22,26,59,7,8,12,21
IFRD1,2856,2704,2778,2588,2858,1971,2336,2229,2571,2629
LGALS14,0,0,0,0,0,0,0,0,0,0
COX10,1207,1331,908,1072,1125,1523,938,1096,1439,1281
GTF2IRD1,1872,1970,1178,1008,2501,1227,878,1076,1313,1253
PAF1,3146,3205,1495,1607,2156,2721,2389,2415,2121,2024
VPS41,4285,4005,3221,3626,3334,3087,3592,4028,3511,3419
ARHGAP44,2246,2246,1592,2329,728,1390,174,142,188,108
ELAC2,6700,6630,2793,2979,4151,6252,5474,5595,4237,3962
SCIN,2875,3012,2678,4002,2501,1619,1219,1476,3688,3492
ARSD,2669,2963,3016,3641,1031,1180,1122,1010,1709,1897
PNPLA4,1182,1260,1048,1160,613,930,450,525,916,772
MYH13,0,0,0,0,0,0,0,0,1,0
ADIPOR2,1341,1189,1241,1138,1299,1389,1463,1633,1172,1190
CDKL3,35,31,65,45,32,41,25,28,56,40
UPP2,0,0,0,0,0,0,0,1,2,2
PRSS21,18,21,52,50,23,44,7,9,65,53
MARK4,115,89,136,134,195,268,152,132,124,110
PROM1,329,294,343,415,221,33,200,318,845,835
CCDC124,2314,2569,1190,1175,2088,2083,2636,2499,1435,1411
CEACAM21,0,0,0,6,0,0,0,0,0,0
PAFAH1B1,3236,3264,1869,2106,2620,2738,3650,3700,2430,2288
NOS2,17,1,18,46,3,0,5,3,257,155
DNAH9,49,166,208,433,8,26,99,129,1188,1000
KIAA0100,8356,8727,4375,4435,5897,7209,7244,8288,7660,6514
SLC13A2,3,15,17,34,51,0,67,35,1220,1024
AC005747.1,28,33,108,31,32,90,37,36,311,230
TRAPPC6A,238,255,1030,1248,311,272,194,173,1273,1117
MATK,1,0,0,0,1,0,0,0,0,0
CEACAM7,198,197,8039,1486,11792,495,274,252,3087,2752
CD79B,0,0,0,0,0,0,2,0,1,3
SCN4A,0,0,0,0,2,0,0,0,0,0
ST7L,715,678,577,498,532,613,474,510,639,582
TKTL1,0,0,0,0,1,0,0,0,0,0
PAX6,0,0,0,0,0,0,0,0,0,1
RPUSD1,2214,2182,725,649,1863,2259,1586,1678,1300,1314
RHBDF1,3410,3404,2449,2733,6291,4209,3440,3813,2740,2775
LUC7L,1809,1943,4085,4522,3872,1851,1665,1780,3101,3305
CACNA2D2,172,160,1281,1557,293,52,29,30,48,27
BAIAP3,264,352,414,492,300,107,193,244,1507,1405
TSR3,3610,3775,1732,1974,2792,3553,3554,3228,2338,2337
PIGQ,2693,2769,2293,2318,3025,1911,1688,1897,2303,2176
CRAMP1,543,681,809,963,996,567,702,891,834,971
TEAD3,842,857,904,884,1658,770,1098,928,956,922
SELE,36,95,6,6,807,40,2,11,0,0
DNAJC11,4018,4008,1569,1676,3136,4690,3548,3635,3249,3054
FMO3,74,100,62,66,42,31,54,50,318,279
MYLIP,460,491,1254,1467,950,429,302,361,1422,1325
NOX1,13,7,17,24,20,9,10,21,21,26
E2F2,125,181,114,29,125,193,128,237,451,398
PSMB1,8814,9705,4775,4976,6627,8174,7001,6792,5955,5360
SYN1,18,8,25,29,40,36,10,12,18,11
JARID2,814,601,785,991,1216,1028,1434,1508,1203,1048
CDKL5,314,320,354,403,387,183,201,152,217,165
CAMK1G,10,7,24,19,76,57,2,10,0,47
CDK11A,403,469,420,414,933,383,268,281,264,266
NADK,6418,6270,3156,3860,6380,5242,3922,4005,4525,4468
TFAP2B,0,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0,0
DLEC1,81,181,140,277,93,43,57,112,716,922
CYTH3,1886,1706,739,733,1002,1052,1733,1823,759,916
ADAM22,2,12,18,18,12,3,2,2,7,34
SYPL1,8846,8916,7641,7086,6950,11686,8088,7840,13656,12181
CYB561,5675,5892,3513,3868,4481,3079,4722,5183,4914,4626
SPAG9,4031,3865,2028,2606,4489,3093,3113,2879,2079,1982
CELSR3,7,28,69,164,59,21,6,28,60,30
AASS,956,1188,2278,2416,520,393,381,377,399,401
PLEKHG6,522,509,745,649,1263,481,1028,1169,1628,1482
SS18L2,1068,1072,712,758,707,786,774,597,701,629
MPND,515,540,380,357,370,312,448,338,381,416
MGST1,44301,47202,20979,21707,24345,26882,16748,17017,14785,13560
CRY1,1928,1734,1020,1666,1419,1055,1167,1052,1048,824
PGLYRP1,0,0,1,2,0,0,0,0,0,1
NFIX,1192,1151,811,982,621,840,533,411,899,910
ST3GAL1,3571,3534,3790,4701,3522,4687,2759,2649,2155,1936
MMP25,25,21,62,65,100,41,54,57,25,24
IL32,1614,1589,317,240,658,623,8654,7102,541,574
PKD1,401,329,1118,1210,924,649,502,470,1290,1387
MAPK8IP2,88,53,12,24,51,82,26,22,32,19
MED24,4300,5192,2461,3052,4737,7668,4028,4143,4596,3815
RHOBTB2,11236,11523,5961,7544,4069,4384,1496,1692,598,760
HEATR5B,1104,1190,1253,1334,1036,1047,1219,1346,1645,1697
SEC62,5181,5047,3607,4665,4273,4159,3315,3186,3655,3443
RPS20,5780,6020,5540,6162,4567,5539,3615,3446,5336,4762
CSDE1,23281,23894,18183,21048,25444,25974,23234,23675,28497,25566
UBE3C,5482,5241,2274,2898,4011,6095,5921,6234,4122,3416
REV3L,813,966,1092,1300,677,675,355,310,1070,985
TENM1,0,0,1,1,0,0,0,0,0,0
PAX7,0,0,12,5,12,10,0,0,62,32
MASP2,6,1,7,6,4,2,0,0,0,1
IYD,135,207,176,134,104,63,40,75,125,27
FAM76A,518,543,528,480,448,303,397,471,415,476
TRAF3IP3,3,23,1,3,3,18,11,16,6,6
POMT2,1565,1709,484,646,902,1018,1305,1522,843,621
VTA1,4522,4472,2693,2619,3902,4524,4778,4868,4878,4606
MLXIPL,90,112,356,482,68,8,2,1,6,3
BAZ1B,2189,2106,1678,2151,1792,1844,1598,1667,1816,1641
RANBP9,1466,1533,1743,1547,2565,1710,1782,1676,2115,2113
ETV7,736,881,290,409,916,79,568,432,423,374
SPRTN,775,830,407,306,683,797,730,800,751,717
EEF1AKNMT,2583,2544,1174,1077,1788,2127,2016,1924,1471,1418
DYRK4,434,443,441,620,334,475,313,309,365,409
ZNF207,8484,8551,6530,6528,11478,6611,7720,7204,6695,6355
UQCRC1,12981,12944,7178,7569,9725,15534,13055,13077,13867,13027
STARD3NL,3570,3755,1924,2309,2086,2264,1905,1797,1114,1049
CD9,51150,48567,38816,25457,33978,34554,43334,44805,67453,61199
HHATL,0,1,8,6,0,3,0,0,0,1
NCAPD2,2309,2442,1645,2040,2081,2453,1912,1835,2854,2466
IFFO1,52,53,346,168,233,619,41,23,170,259
GIPR,116,234,427,498,375,104,80,77,197,235
PHF7,176,167,245,386,125,169,134,120,522,600
SEMA3G,0,3,15,13,5,1,0,4,15,46
NISCH,2323,2423,3493,4200,2722,3054,2244,2309,4549,4303
STAB1,20,1,5,4,2,1,4,6,2,6
FUZ,540,530,507,501,397,200,205,238,791,743
SLC6A13,4,8,8,5,4,1,3,0,0,1
IDS,11817,11657,5062,6257,8117,5723,7149,7561,3665,3341
PRSS3,932,767,998,145,785,1866,799,904,268,313
ZNF200,654,572,443,387,548,419,605,668,510,633
CD4,94,65,378,293,160,781,39,65,358,358
LRRC23,382,404,498,757,193,154,240,203,1176,1091
BTK,0,5,0,0,1,0,0,0,5,15
HFE,736,766,537,654,519,520,347,347,582,612
SCMH1,1161,1244,938,1182,735,1181,483,503,889,1033
FYN,208,252,293,318,320,594,168,155,222,247
HIVEP2,440,484,356,512,1140,326,572,553,481,606
FMO1,0,0,5,0,1,0,0,1,17,19
ELOA,5980,6132,3273,3400,5005,4875,4746,4501,3968,3675
LYPLA2,6592,6374,2591,2586,5218,6014,6296,5890,3846,3612
CLCN6,968,938,778,977,1039,687,484,425,422,589
MRC2,1128,946,3719,4919,1599,4819,1386,1423,1082,1387
NME1-NME2,3599,3811,1104,1392,1690,4208,2971,2437,1555,1533
SLC6A7,1,0,0,8,11,12,0,0,0,0
TSPAN9,296,333,377,410,294,315,269,240,430,333
BTBD7,1346,1279,1268,1088,1358,1183,1455,1407,1402,1288
APBA3,1078,1084,869,1045,1234,749,865,917,812,795
MKS1,751,833,855,905,601,596,534,608,1237,1271
ABHD5,2056,2065,1647,1329,3302,1577,2092,2284,1500,1289
ANOS1,436,323,265,385,199,118,428,417,626,326
AKAP8L,3537,4074,5290,5498,7975,3437,3119,3513,4516,4813
MBTD1,137,142,423,354,351,108,176,103,361,373
UTP18,2227,2362,1343,1389,1723,2204,1601,1594,1760,1702
RNF216,1504,1812,1459,1676,1760,1726,1524,1516,1477,1629
TTC19,4276,4480,3486,4557,3250,3487,4050,3758,4163,3754
PTBP1,10531,10820,5524,6404,10969,10605,10032,10773,8013,7168
DPF1,4,4,7,6,5,29,22,17,7,6
SYT7,73,70,236,363,203,78,136,111,334,319
LARS2,2079,2261,675,784,1240,1802,1373,1394,1322,1197
PIK3C2A,2280,2440,2118,2469,1626,2028,1716,1490,1844,1496
PLAUR,4724,4641,953,1371,5143,2030,10712,9413,593,595
ANLN,3164,3614,629,1270,1765,4096,2581,3009,2670,2516
WIZ,927,916,535,535,716,975,907,956,949,844
RABGAP1,2728,2996,2994,2971,3490,2676,2680,2955,4244,3958
DCN,171,194,2364,2499,2561,2252,62,47,1479,1780
QPCTL,228,232,186,235,161,278,98,128,147,147
PPP5C,2837,3078,1399,1498,1962,2682,2109,2274,2385,2045
CEP68,625,620,1308,1497,784,538,372,512,2468,2313
MAP4K3,3435,3225,1610,2347,3560,2677,1778,1816,1746,1724
ZBTB32,1,2,0,1,6,0,3,0,3,1
TYROBP,0,0,0,4,0,0,0,0,0,0
TMEM159,1280,1203,1989,1888,1977,1962,1999,1882,2726,2527
GABRA3,0,1,0,0,0,0,0,0,21,13
BRCA1,323,623,149,248,183,490,362,397,387,240
ERCC1,2064,2174,2354,2577,2405,4162,2297,2061,3158,3219
CD22,10,0,0,0,1,10,0,0,0,0
SEMA3B,1509,1469,1744,2131,3546,660,553,660,700,867
MBTPS2,1989,1856,1055,1320,1211,1489,1071,1232,1403,1370
PRICKLE3,554,558,823,701,525,606,611,593,949,953
LTF,946,886,14807,19425,7,1567,55,57,597,485
EXTL3,2908,3057,2125,3211,2511,3812,3378,3977,2943,2273
NR1H4,0,0,0,10,8,31,0,0,0,0
ELOVL5,8867,8702,2544,3043,4383,6138,6701,6790,3397,2895
ALOX5,340,428,217,313,825,354,109,140,148,168
KDM5D,89,32,175,207,1044,527,1186,1375,2216,1909
CALCOCO1,4055,4325,7285,8175,11147,3085,2694,2984,5255,5879
UBR7,2405,2490,1243,1715,1549,1675,1568,1625,2098,1769
MAP4K5,2837,2651,2235,2427,2695,2877,2561,2704,2169,2068
EHD3,539,548,1616,295,2082,1377,1960,1827,1248,1063
PSMC4,5590,5866,2097,1948,4313,4820,5272,5182,3841,3530
MAN2B2,2389,2241,1414,1924,1939,2973,2082,2321,1980,1659
SLC7A14,0,0,0,0,0,29,0,0,0,0
CLDN11,4,11,55,50,19,153,4,5,37,41
SLC25A39,11092,11148,4695,4382,8660,11024,9011,8919,6276,5982
MVP,36894,37333,18324,22955,25213,28920,24903,24092,18107,17953
NUB1,2646,2853,1238,1541,2325,1342,1980,1671,1261,1137
PGM3,4047,3995,2768,4109,3401,3926,3866,3285,2017,1817
RWDD2A,387,427,683,807,430,296,163,216,271,287
CLK1,984,1077,3977,4806,2308,747,634,683,2073,2271
POLR3B,1342,1400,622,637,783,969,1076,1034,995,965
ANGEL1,1153,1046,1314,1827,836,1162,749,677,1418,1458
RNF14,3761,3781,1856,2042,2400,3637,2744,2757,2623,2225
DNASE1L1,1078,1176,721,845,760,1470,840,987,779,842
DDX11,1426,1891,1722,2252,4246,1556,582,758,692,957
HEBP1,1312,1462,973,1209,1417,1417,992,1166,682,757
GPRC5A,59686,55803,12542,16943,48143,23785,83891,79323,5879,5378
MAMLD1,73,79,85,59,87,103,107,132,60,63
CD6,12,19,17,11,28,48,76,82,56,38
TACC3,1429,1392,332,295,884,1413,942,1085,988,953
UFL1,2370,2341,2715,3089,2009,1996,1670,1778,2352,2212
POLA2,409,554,384,342,518,375,246,298,335,562
ZC3H3,1521,1474,898,1216,1756,1662,1484,1715,1359,1141
CAPN1,33257,32528,15726,15329,32103,30829,40909,40575,25528,24704
ACPP,468,491,919,668,406,357,98,158,797,732
MDH1,9239,9537,6053,6077,6072,8254,6327,6337,10441,8837
SLC30A9,5679,5968,3775,3973,3938,5576,4004,4217,5041,4420
MTMR11,493,554,1531,1751,1106,493,759,724,842,723
COX15,2662,2682,1807,1893,1778,2166,1112,1122,2165,1892
CCDC88C,676,759,1078,1389,1353,675,691,785,2832,2901
YAF2,355,356,255,317,303,304,268,206,193,207
ZMYND11,3128,3081,2610,2477,2339,2598,2310,2559,3065,2704
WAS,0,2,0,10,9,4,0,7,4,13
DPEP1,3,0,0,0,2,0,0,0,3,1
BID,3107,2886,1472,1883,3866,4241,5953,5972,3358,3176
MATR3,11924,12440,10003,12169,12523,11182,10389,11054,15384,13403
NPC1L1,5,2,14,28,8,19,1,0,43,9
XYLT2,1653,1641,2049,2531,1475,2344,764,791,1973,1851
RGPD5,145,31,329,322,105,50,69,197,155,133
STMN4,0,0,0,0,1,0,0,0,0,0
NUDCD3,5286,5760,3616,4576,4502,5334,5042,5550,4823,3930
ISL1,57,44,78,133,94,71,120,150,459,320
CHDH,407,473,550,631,328,132,68,73,64,117
IL20RA,901,957,1216,1191,1018,1300,552,897,2178,1964
CLCA1,0,0,0,1,0,0,0,0,1,0
CLCA4,759,758,12802,3307,12789,4353,3117,5173,11621,10418
GLT8D1,1772,2010,2019,2431,1738,2007,1415,1483,2597,2508
ATP2C1,5786,6022,3609,3723,4091,5250,8278,8160,5216,5130
IGF1,1,3,5,12,9,0,1,8,12,5
SLC38A5,2412,2522,892,1357,1946,1401,6466,7077,1130,1138
RALBP1,3250,3164,2391,2389,3374,3381,2830,2836,3886,3511
RUFY3,1413,1438,2231,2023,1956,1429,1030,1220,1543,1552
CNTN1,235,300,546,405,147,1686,361,556,1148,833
SLC11A1,5,6,22,38,27,11,0,0,13,25
WWTR1,4633,4569,3272,4204,4750,6530,4087,4439,3710,3286
AGPS,3973,3855,759,1176,1645,2655,3887,3878,2254,1666
ZNF806,0,0,0,0,0,0,0,0,0,0
CXorf56,593,550,296,477,548,455,374,400,495,440
ATP1A2,13,7,0,0,0,10,3,0,0,1
TTC27,1468,1435,739,709,930,1396,1132,1147,1002,936
ZNF582,50,81,46,35,100,112,141,127,165,110
VSIG2,2471,2628,2864,2463,5132,1910,2090,2238,2379,2201
PHLDB1,1178,1363,958,965,1595,2111,1305,1268,728,787
MARCO,0,5,3,3,2,17,3,3,1,5
CYP24A1,156,133,52,61,655,32,579,764,151,144
PRDM11,106,82,150,222,111,127,169,177,361,466
SYT13,0,0,0,0,0,0,0,0,2,0
SNAI2,1613,1390,914,917,1257,3072,4520,4364,2125,1939
CD74,33839,35388,53108,62582,17535,34446,9055,6929,19995,18572
HGF,112,141,498,373,1657,1809,39,30,345,343
ZRANB1,838,813,1091,799,1634,716,797,855,1291,1134
NCDN,3284,3102,1571,1836,2541,3675,3185,3314,2304,2576
ADGRA2,110,72,698,711,216,953,51,24,442,504
CCT8L1P,0,0,0,0,0,0,0,0,0,0
ZFP64,898,799,498,756,723,977,884,966,1101,988
MNAT1,1127,1039,839,894,1001,1206,1180,1210,1474,1360
SAMD4A,837,737,392,380,844,451,421,499,167,219
RUNX3,101,46,89,143,54,44,131,137,27,45
MRE11,945,1080,625,757,820,730,737,794,805,871
PLEKHB1,296,268,515,643,152,39,81,64,307,282
SERPINB1,13244,13101,5252,4464,13982,29274,15105,17471,14176,12681
CYP3A43,0,0,3,0,1,0,0,0,0,0
SLC7A9,8,0,10,4,4,0,0,2,3,2
SPAST,1063,965,734,678,858,798,825,812,1237,1297
NRXN3,378,331,360,613,364,122,188,169,75,96
OSBPL5,400,306,938,1081,1104,1684,755,1044,1639,1731
AQR,2478,2850,2301,2113,2122,2715,2326,2375,3373,2783
CPS1,31,44,23,88,53,183,41,9,256,146
C8B,0,0,0,0,0,3,0,0,0,0
FHL1,194,203,463,474,473,1833,90,64,316,450
RTF2,4660,4756,2932,3091,4425,4249,3814,3821,3826,3459
GABRA1,0,0,0,0,0,0,0,0,0,0
NLRP2,2520,2631,865,1152,295,971,1785,1562,1016,866
SLC45A4,329,311,292,248,1185,201,388,333,609,401
RNF10,15576,14952,8552,9223,14856,12016,12859,13816,9943,8891
ZNF839,313,372,447,516,311,347,322,259,450,356
ZDHHC6,3023,2886,1520,1610,2281,1778,1735,2009,1324,1436
GRAMD1B,4,12,25,22,42,44,18,19,16,25
RNH1,15050,14543,10342,10694,11581,15070,13438,13605,11480,10747
NDUFS1,5505,5021,2813,2618,3852,4818,3745,3759,4427,3943
RB1CC1,2822,3035,3328,3339,5341,1985,2758,3076,4172,3425
ERP44,5669,5917,4065,4633,5411,4904,4802,4724,3550,3326
ALAS1,5463,5828,4344,4866,5047,5828,3030,3161,4038,3637
BIRC3,3159,3740,1398,2040,3722,3181,1130,978,1646,1441
AKAP11,281,321,365,498,371,317,430,284,503,458
GLRX2,1156,1113,592,748,919,1021,895,780,728,858
SNAPC1,702,547,739,927,826,735,456,517,788,759
DERA,3461,3682,2455,2472,3183,2796,3105,3530,2669,2467
STRAP,9314,9534,3876,3960,7094,10136,7989,7693,5345,4469
ABCC2,26,57,7,54,64,295,22,25,34,25
DEF6,464,644,918,1151,1036,915,800,1088,1782,1771
PLEKHO1,224,148,314,281,618,620,361,264,165,225
GCLM,7556,7715,1972,1871,2726,3084,4040,3994,4763,4022
UBR2,1767,1968,1780,2030,2467,1344,1658,2038,2214,1895
EHD2,22672,21604,8327,12108,11668,17966,11970,12228,7446,7090
DEPDC1,507,766,101,109,309,717,384,347,433,427
CCDC28A,879,834,1183,1440,1437,519,448,504,940,925
RRAGD,1498,1606,1385,1976,991,581,93,125,466,410
HSF2,737,721,618,658,637,621,401,424,933,843
PHF20,1250,1428,1570,1699,1531,1459,1133,1320,1690,1568
HSD17B6,2133,2063,1490,2043,231,116,57,42,19,37
NR1H3,585,688,870,1018,613,715,109,119,471,423
TYMP,10719,10736,4320,3084,21887,5843,16720,15423,3841,3937
NCAPH2,2190,2374,1325,1422,2272,1324,1519,1497,1452,1125
TOMM34,4187,4422,1470,1642,3111,3335,3950,3635,2501,1954
