X	GSM49583
MIR4640	216.6
RFC2	42.8
HSPA6	76
PAX8	459.8
GUCA1A	41.5
MIR5193	231.7
THRA	109.6
PTPN21	49.8
CCL5	31.7
CYP2E1	8.2
EPHB3	90.5
ESRRA	126.1
CYP2A6	180.7
GAS6	523.6
MMP14	262.1
TRADD	140.3
CHURC1-FNTB	18.2
PLD1	64.4
DTX2P1-UPK3BP1-PMS2P11	263.8
BAD	13.9
PRPF8	236.6
CAPNS1	27.1
RPL35	479.1
MIR6805	2740.5
EIF4G2	2250.5
EIF3D	271.1
PARK7	407.3
SRP14	964.3
GDI2	296.8
GDI2	494.9
RPL11	3215.8
ARF3	162.5
RPL21P28	3135
RPL24	3193.2
HNRNPC	321.3
SEPT2	793.4
HNRNPA1P10	3460.9
RPS27A	5450.2
LOC100508408	3844.2
FAU	1902.1
TARDBP	492.9
CFL1	780
RPL18	2296
EIF3F	614.1
RPS5	418.5
RPL27	3172.2
RPL34	8988.8
NARS	308.9
STARD7	138.7
RPL19	2350
SLC25A3	927.5
SNORD35B	6954.5
RPL9	4540
MIR5047	3400.5
RPL6	2343.1
CTDNEP1	142.1
RPL10A	989.5
CBX3	254.3
RPL17-C18orf32	4061.9
PSMB2	204.2
KHDRBS1	401.3
ATP6V1G2-DDX39B	365.9
RTCB	246.6
ERH	347.4
GATC	141.6
ABCF1	327.9
DAD1	122.1
YY1	454
JTB	440.8
KAT7	182.9
ZNF146	210.2
SART1	77
ILF2	180.9
SPAG7	275.3
ZPR1	69.1
TAF10	244.2
C1D	22.7
NONO	875.2
LOC101929240	279.1
RHOA	995.6
RNPS1	210.5
RPS24	6321.7
RPL30	5197.2
NPM1	1916.3
HSP90AB1	1303.4
MIR3620	191.4
IK	127.6
SNX3	383.5
CANX	847.1
SART3	136.3
CNPPD1	79.1
SMNDC1	166.2
HNRNPM	349.1
HNRNPD	264.2
RPL14	1740.6
GUK1	15
KXD1	153.9
OAZ1	736.4
ATP6V0B	128.4
KARS	269.7
H3F3AP4	1829
RPS6	3980
RPS7	1850.1
USP22	234.9
C11orf58	354.4
TCEB2	100
COX4I1	427.4
TMED2	678.2
NBEAL1	3408.1
SNORD18C	2353.9
FNTA	405.6
RPS25	2173.2
RPL37	4885.5
HINT1	491.4
EEF2	1038.8
RPS10	3733.9
ATP6V0E1	239.6
HNRNPK	676.8
ANAPC5	295.5
SNORD73A	6119.6
HNRNPU	313.2
HNRNPU	600
EIF3A	248.4
EIF3A	131.6
EIF3A	171.8
MIR3652	196.8
MIR3652	1499.3
MSN	364.4
ACTN4	140.6
APP	106.7
PRKAR1A	919.6
PRKAR1A	156.2
PRKAR1A	241.1
DSP	164.9
RAD21	198.8
RAD21	185.2
WDR1	281
NCL	410.2
WDR1	181.6
AP2B1	124.2
AP2M1	61.4
CLTC	962.8
AP2B1	119.5
MLEC	3.3
MLEC	202.4
LASP1	254
SF3B2	19
TMEM59	421.3
CSRP1	491.9
CALM3	92.8
CALM3	8.7
SNHG4	748.1
CAP1	523.7
SNHG4	455.7
PTGES3	896.2
WARS	55.9
WARS	414.1
SETSIP	507.2
SETSIP	639.9
NDRG1	1173.2
UBB	2576.5
PFN1	430.1
PTPRF	97.5
PTPRF	120.1
PTPRF	9.3
YWHAZ	829.9
YWHAZ	642.8
YWHAZ	1024.2
YWHAZ	610.5
SOD1	388.7
HDLBP	164
MARCKSL1	118.5
GABARAP	264.6
NUCB1	17
EIF3CL	281.3
GLUL	101.8
NUCB1	44.8
LDHA	1803.7
SNORD96A	1575.5
SSR2	388.6
CALM3	438.8
P4HB	174.6
CALM3	779
P4HB	72.1
SLC25A5	393.8
PHB	79.1
PHB	15.1
S100A11	163.9
CTSA	10.3
TOMM20	467.4
CD63	1012.6
DNAJB1	93.9
SPARC	1329.2
DNAJB1	202
UBE2D3	307.4
UBE2D3	564.5
UBE2D3	324.8
XBP1	456.7
SPTBN1	3.7
SPTBN1	261
LAPTM4A	1244.2
RPL32	5473.6
CD81	500.1
UBE2L3	31.7
PTTG1IP	691.6
GRN	250.5
HMGB1	224.6
HMGB1	709.4
GLO1	284.4
UBE2L3	190.3
UBE2L3	20.6
UBE2L3	31.5
SRSF11	109.4
SRSF11	853.2
SF3B3	33.4
SF3B3	174.7
MIR3654	1346.9
HSPA9	94
HSPA9	328.9
HSPA9	263.6
YWHAQ	720.8
DDX24	396.8
PPP2R1A	37.3
GSN	1332.2
HK1	209.2
KDELR2	247.4
KDELR2	157.9
KDELR2	298.3
NPC2	732.9
DDX24	5.5
DYNLL1	364.1
LITAF	636.5
