Name,logFC,logCPM,F,PValue,FDR
SAA2,2.414265305,5.43249966,512.0910706,1.41E-12,1.88E-08
CCL20,3.133684158,4.949061424,447.918174,3.56E-12,2.38E-08
IL36G,2.722309741,4.359048236,340.4549292,2.36E-11,1.05E-07
INHBA,1.810555911,6.511435408,272.793242,1.07E-10,3.58E-07
TNFAIP3,1.601914343,7.418584561,263.4266406,1.36E-10,3.63E-07
S100A8,1.860564192,6.997842304,255.5302813,1.67E-10,3.72E-07
SAA1,2.212279583,7.951855249,243.009668,2.35E-10,4.04E-07
SPRR2D,2.974208495,4.79537195,241.8738442,2.42E-10,4.04E-07
CFB,1.845098121,5.882071764,231.9140134,3.22E-10,4.77E-07
KRT6B,1.540267466,7.712965693,227.6370709,3.65E-10,4.87E-07
CXCL1,1.408115618,7.07479321,218.1958383,4.85E-10,5.89E-07
TNIP1,1.254947449,8.445172317,212.9006495,5.72E-10,6.18E-07
C3,1.498984852,8.887680417,211.3175828,6.01E-10,6.18E-07
ICAM1,1.852869403,7.138195866,204.7045541,7.44E-10,7.10E-07
SOD2,1.509521468,7.224800192,187.7518545,1.33E-09,1.18E-06
C15orf48,1.22648154,6.071835871,181.563187,1.66E-09,1.38E-06
IRF9,1.241106207,5.667440931,171.4811418,2.42E-09,1.75E-06
CXCL5,3.464983212,3.033112287,170.7560735,2.49E-09,1.75E-06
ZC3H12A,1.665200737,6.025818398,170.5250841,2.51E-09,1.75E-06
LIF,1.298286662,6.185570424,169.4239504,2.62E-09,1.75E-06
HBEGF,1.282731888,6.212807202,167.6510895,2.81E-09,1.79E-06
S100A9,1.098694137,9.846664927,165.7252407,3.03E-09,1.84E-06
IFI27,2.925637068,4.610150648,158.7883882,4.02E-09,2.27E-06
RHCG,1.339884074,6.357655224,158.3726778,4.09E-09,2.27E-06
SLC6A14,1.210075867,6.958887568,153.799966,4.96E-09,2.65E-06
MX1,2.515110491,5.014471689,151.5335589,5.46E-09,2.80E-06
PGLYRP4,2.025949322,3.003540209,146.9856768,6.67E-09,3.30E-06
IL6,2.922452942,3.118204582,145.7668832,7.04E-09,3.36E-06
CSF3,4.798713519,2.35592163,137.5527876,1.03E-08,4.73E-06
SPRR2E,3.565497199,1.913534078,134.6931804,1.18E-08,5.24E-06
BIRC3,1.650782879,4.347876266,131.9131425,1.35E-08,5.37E-06
SPRR2A,1.682223617,5.256864273,131.71731,1.36E-08,5.37E-06
IL1B,1.053049007,8.36262335,131.7134433,1.36E-08,5.37E-06
PDZK1IP1,2.423701894,3.338738656,131.6285493,1.37E-08,5.37E-06
IL32,1.21112813,6.007360945,128.4150524,1.60E-08,6.12E-06
TNFAIP2,1.539737964,5.781844785,126.8283085,1.74E-08,6.45E-06
IRAK2,1.590869408,3.855876595,125.123946,1.90E-08,6.84E-06
PLAT,1.386811148,5.065265788,123.9922693,2.01E-08,7.07E-06
OAS1,1.68874805,3.914065467,118.8409708,2.64E-08,9.04E-06
OAS2,1.257633224,5.638463093,115.1991536,3.22E-08,1.08E-05
OAS3,1.311018121,6.197002594,112.5605517,3.74E-08,1.22E-05
MMP9,2.273596299,4.563009476,104.8285171,5.88E-08,1.87E-05
HEPHL1,1.29861836,4.122105104,101.0154867,7.42E-08,2.31E-05
SERPINA3,1.457334989,7.310679969,99.87720036,7.97E-08,2.42E-05
NFKB2,0.960262247,6.467821511,97.43621915,9.32E-08,2.76E-05
MAFF,1.125136685,5.075860047,95.63308085,1.05E-07,3.04E-05
C1QTNF1,1.856582819,3.087681853,91.88942034,1.34E-07,3.78E-05
IER3,0.943012314,8.562288743,91.72638369,1.36E-07,3.78E-05
CSF2,2.989958675,1.908259535,86.99607808,1.89E-07,5.09E-05
CXCL2,1.384476502,5.473646049,86.86868391,1.90E-07,5.09E-05
NFKBIA,0.885434383,7.431270965,86.42234986,1.97E-07,5.15E-05
NFKBIZ,0.899546807,6.425565242,85.18503562,2.15E-07,5.52E-05
BPGM,0.948340054,5.946129106,79.17286971,3.37E-07,8.49E-05
CXCL3,2.236112142,3.56192555,76.30545034,4.22E-07,0.000104284
BCL2A1,2.253373766,2.386307696,72.40644251,5.79E-07,0.000139151
IL1A,1.063044183,7.297427389,72.31759266,5.84E-07,0.000139151
KRT15,-0.94489261,9.6328296,71.24431294,6.39E-07,0.000149586
IFITM1,1.611331435,3.148242096,70.35067009,6.89E-07,0.000158587
XAF1,2.537551298,2.869336494,69.63020763,7.33E-07,0.000165825
OLFML2A,-0.964363974,4.953174523,66.97719172,9.24E-07,0.000205644
IVL,1.031025154,7.329161764,63.43124137,1.28E-06,0.000279232
G0S2,0.82994996,7.506583339,61.25673199,1.57E-06,0.000337304
MXRA5,-0.917086944,5.755645544,58.77177178,2.00E-06,0.00042283
EFNA1,0.718013202,6.609768239,58.58146025,2.03E-06,0.000424155
SERPINB1,0.721721581,7.084368261,58.27717501,2.10E-06,0.000430471
IFITM10,-1.576402064,3.857338692,58.01136928,2.15E-06,0.000435361
IFI6,2.413638541,3.972337915,57.29970616,2.31E-06,0.000460699
TGM1,0.785479699,5.952005224,56.09330648,2.61E-06,0.000513368
TFCP2L1,-0.641856329,6.64316432,55.77335371,2.70E-06,0.000518993
EDN1,1.051659819,4.270738417,55.70677387,2.72E-06,0.000518993
VNN1,1.87521148,1.937738109,54.89833881,2.96E-06,0.000550486
PI3,1.804578502,2.474966076,54.87032563,2.97E-06,0.000550486
THBD,-0.992571418,4.928334613,54.71296473,3.02E-06,0.00055198
IFI44,0.874014543,4.407673818,54.51605464,3.08E-06,0.000555912
PDGFB,1.006206285,4.098456973,54.01913258,3.25E-06,0.000578077
TSC22D3,-0.727241069,5.637397851,52.97263854,3.63E-06,0.000637607
S100P,0.681989286,5.686087375,52.85728564,3.68E-06,0.000637607
GPNMB,-0.807975232,7.268187516,51.28936261,4.36E-06,0.000747048
XDH,0.720902235,5.699973982,48.66228206,5.87E-06,0.000992298
TUBA1C,0.655599432,8.048164064,48.21570962,6.18E-06,0.001031866
PLSCR1,0.837928529,5.054879292,47.75591825,6.52E-06,0.001075248
CLCA2,-0.552420176,8.215973062,46.04422182,7.99E-06,0.001301446
METTL7A,-1.043990396,3.495512141,45.76145986,8.27E-06,0.001304626
COL8A1,0.652883703,5.688835332,45.70794228,8.33E-06,0.001304626
MYLK,-1.459562998,2.754563541,45.5946212,8.44E-06,0.001304626
PARP12,0.771808668,4.732176371,45.5804582,8.45E-06,0.001304626
ADRB2,0.691762543,5.479566632,45.53466922,8.50E-06,0.001304626
STC1,0.73075545,5.73981346,45.07957349,8.99E-06,0.001343823
SOCS3,1.027458197,3.838860336,45.04040005,9.03E-06,0.001343823
NEDD9,0.629649795,6.079494202,45.01422663,9.06E-06,0.001343823
IFI44L,2.3506655,3.386313186,44.71669699,9.40E-06,0.001378547
MX2,2.251695463,2.301403682,44.20971496,1.00E-05,0.001451848
PARP9,0.656673992,6.018907491,43.98164977,1.03E-05,0.001475658
TNFSF14,1.967871052,1.384763729,43.90662339,1.04E-05,0.001475658
KYNU,0.829823029,6.584958548,43.56382234,1.08E-05,0.001524227
TNF,1.785610414,1.534269882,43.04870079,1.16E-05,0.001609739
DRAM1,0.692484649,5.413487829,42.36488779,1.26E-05,0.001738465
VTCN1,-1.08832945,3.769902214,42.28187569,1.28E-05,0.001739185
MMP1,0.759244737,5.26866053,41.92743925,1.34E-05,0.001802196
RHOV,0.662051882,5.284767721,41.48307774,1.42E-05,0.001890274
MAF,-0.848956018,5.80602981,41.00412367,1.51E-05,0.001992852
ITGB3,1.188489713,2.809866083,40.77235959,1.55E-05,0.002034604
CXCL14,-1.464884841,2.921127418,40.45145724,1.62E-05,0.002102475
PLAU,0.536938124,9.61482728,40.20794047,1.68E-05,0.002150992
RND1,1.506714643,2.119868722,39.89990513,1.75E-05,0.002220327
DUSP4,0.634655846,6.711962147,39.7811298,1.77E-05,0.002234825
KRT24,1.791166617,1.505486025,39.70889029,1.79E-05,0.00223561
TGM2,0.709866492,7.971995509,39.40497974,1.87E-05,0.002307904
SLPI,0.571340439,6.96464121,39.17108317,1.93E-05,0.002360656
S100A7,4.170328243,0.058735108,38.62091661,2.08E-05,0.002522406
IFITM3,0.768507183,7.313071048,38.21661701,2.20E-05,0.002643471
MYEOV,1.28288443,2.438529995,37.89143035,2.30E-05,0.002741299
FOSL1,0.58151704,6.476607611,37.23064574,2.52E-05,0.002981754
CYP27B1,1.19367591,2.829906434,36.92156001,2.64E-05,0.003088267
VNN3,2.683144097,0.319142068,35.74924086,3.12E-05,0.003581501
TUBA1A,0.550150434,8.916478642,35.71625685,3.14E-05,0.003581501
ITGA5,0.504321862,8.557635352,35.66441723,3.16E-05,0.003581501
ADAM8,1.00792544,3.907446589,35.65616475,3.17E-05,0.003581501
MAP7D2,-1.405369739,2.035294527,35.26006649,3.36E-05,0.003764073
EPHA4,-0.835855147,3.642544727,34.7534188,3.62E-05,0.004023802
PBX1,-0.670931165,4.650693903,34.63914084,3.68E-05,0.004059164
ZBED2,0.605120294,6.231163646,34.49675987,3.76E-05,0.004112559
KRT4,1.012278203,4.761444107,34.24150128,3.91E-05,0.004238577
PLAUR,0.672890265,5.527035333,33.98048864,4.06E-05,0.00435981
PPARGC1A,-1.050046755,2.538533295,33.94812276,4.08E-05,0.00435981
IRF7,1.562233371,2.092041236,33.75772086,4.20E-05,0.004452118
FEZ1,0.622140421,6.253340635,33.61619541,4.29E-05,0.004513386
STAT1,0.513938431,7.02640009,33.3740693,4.46E-05,0.00460927
IFIH1,0.665308282,4.49174006,33.34690739,4.47E-05,0.00460927
ALOX15B,0.549244306,6.73207025,33.32647093,4.49E-05,0.00460927
PCDH7,-0.628104665,5.151622898,33.19850344,4.58E-05,0.004665023
DUSP10,-0.56908409,6.052918452,33.10225997,4.65E-05,0.004669731
GJB2,0.476916691,7.535861171,33.06759832,4.67E-05,0.004669731
CPA4,-0.507458923,7.680156511,33.04523346,4.69E-05,0.004669731
ASS1,0.503252804,6.780778555,32.81985634,4.85E-05,0.004773809
SERPINB2,0.697380161,8.133837071,32.78596564,4.88E-05,0.004773809
MAP3K8,1.049366634,2.441773283,32.72445114,4.93E-05,0.004773809
PROS1,-0.666423484,4.632062608,32.71353546,4.93E-05,0.004773809
BMP2,0.775599533,4.194222801,32.64684174,4.99E-05,0.004788973
SLITRK6,-0.611802043,5.757057464,32.39207132,5.19E-05,0.004948007
RHOF,0.771507667,5.02399112,32.06134013,5.47E-05,0.005175417
NFKB1,0.497567971,6.302923544,31.79634952,5.70E-05,0.00535932
PRDM1,0.699975667,4.182687867,31.7487429,5.74E-05,0.005362277
NID1,-1.255374926,2.524888828,31.59967554,5.88E-05,0.005402847
KCTD11,0.445485047,8.23079258,31.5723055,5.91E-05,0.005402847
EHD1,0.63079736,6.132351861,31.57120294,5.91E-05,0.005402847
TRIML2,1.409399118,1.945296889,30.92879302,6.55E-05,0.005893185
CSTB,0.643370774,9.825642654,30.92478033,6.56E-05,0.005893185
TYMP,1.029682656,4.80384426,30.90502121,6.58E-05,0.005893185
SLC25A37,0.613290698,5.011131501,30.82418514,6.66E-05,0.005913928
ENDOD1,-0.479974392,6.875006586,30.80125255,6.69E-05,0.005913928
KRT23,0.578131492,6.088812666,30.50026977,7.03E-05,0.006154828
CD109,-0.456525914,8.870391064,30.475897,7.05E-05,0.006154828
TUBB3,0.65082515,7.789236073,30.34356638,7.21E-05,0.006222956
CDC42EP2,0.726476005,4.736298221,30.30212206,7.26E-05,0.006222956
IKBKE,0.696930405,4.679917734,30.2905142,7.27E-05,0.006222956
VAV3,-0.650209621,4.956323917,30.22857719,7.35E-05,0.00624668
MRGPRX3,1.908079109,1.031454993,30.06646957,7.55E-05,0.006375443
HCAR3,0.614288257,5.150496774,29.7836879,7.91E-05,0.006639631
ATG9B,-1.14798285,2.3011368,29.63848063,8.10E-05,0.006759828
TNC,0.545376576,7.789399807,29.59803375,8.16E-05,0.006763399
PRSS23,-0.464906339,8.520546081,29.34424541,8.51E-05,0.006996244
WWC1,0.490256655,6.190274549,29.32262343,8.54E-05,0.006996244
VEGFA,0.434789647,7.921958554,29.19767505,8.72E-05,0.00710156
RAB15,-0.731801259,3.722433775,28.76269111,9.39E-05,0.007553853
SESN3,-0.754153973,6.581038228,28.76231963,9.39E-05,0.007553853
AQP3,-0.50297244,7.280857164,28.55142369,9.74E-05,0.007784336
KRT17,0.463976487,11.56691243,28.37512482,0.000100372,0.007975956
GULP1,-0.868055596,3.593321648,27.95569436,0.000107928,0.008525674
IRF2BPL,-0.758364098,3.695689843,27.87238205,0.000109505,0.008599375
STON1,-1.519333295,1.227388903,27.71094921,0.000112637,0.008770239
BST2,1.296377238,2.13824101,27.69281142,0.000112995,0.008770239
OTUB2,0.616874824,5.296665374,27.36814429,0.000119632,0.009231693
MN1,-0.623980549,4.373693445,27.32641151,0.000120517,0.009246536
CTSH,-0.543588203,6.636202234,26.94743469,0.000128904,0.009813622
NANOS1,-1.523893886,1.401724039,26.91450464,0.000129664,0.009813622
IL6R,-0.599358661,5.639027377,26.89515191,0.000130113,0.009813622
LTB,1.602740252,1.097752984,26.82713987,0.000131705,0.009877871
SAMHD1,0.788626982,3.920649758,26.65999299,0.000135712,0.010121554
DTX2,0.783479962,6.595442996,26.59159251,0.000137392,0.010189915
LCN2,0.707363366,8.90003761,26.55322408,0.000138345,0.010203886
CXCL16,0.504787534,6.242497464,26.50722857,0.000139497,0.010232325
DEK,-0.43540441,6.511088073,26.4591666,0.000140712,0.010265084
CXCL6,1.727542907,1.336392965,26.14035028,0.000149089,0.010817034
ADD3,-0.468816987,6.820713935,25.84816933,0.000157269,0.011308102
TCN1,-0.702056255,3.931580736,25.83838764,0.000157551,0.011308102
HDGF,0.398988485,9.43036632,25.79471958,0.00015882,0.011338199
ZNF488,-1.148844673,1.837318747,25.65682879,0.000162903,0.011567838
PADI3,-0.648014521,5.028677191,25.37608396,0.000171592,0.012061744
FDPS,0.475488772,8.504483071,25.36515495,0.000171941,0.012061744
FGF1,-0.814637922,3.596474608,25.32702369,0.000173165,0.012061744
S100A12,1.232639246,2.118584709,25.30751898,0.000173794,0.012061744
TCF4,-0.57579958,4.82167918,25.2895773,0.000174376,0.012061744
BCL3,0.719181587,4.768871378,25.17387799,0.000178179,0.012261315
NEURL1B,0.474607089,5.717467164,25.087787,0.000181071,0.012396412
SERPINB13,-0.733416854,6.439226523,24.60753413,0.000198221,0.013492371
F3,0.40408871,9.893070825,24.56008767,0.000200014,0.013492371
PTPRZ1,-0.714922051,3.406718126,24.55751294,0.000200112,0.013492371
EFCAB7,-0.74880052,3.604431902,24.52462438,0.000201366,0.013508714
SAMD4A,0.482193289,5.757695329,24.46317422,0.000203734,0.013599213
ANGPTL4,0.521198153,8.349085517,24.34165043,0.00020851,0.013848806
NCCRP1,0.548351862,5.477953953,24.24964591,0.000212212,0.013998666
SPRR1A,0.735914061,4.102678836,24.23362914,0.000212864,0.013998666
POU2F2,0.713827643,3.629922588,23.94598435,0.000224972,0.014722425
TNFRSF10A,0.483552532,5.275972285,23.88291119,0.000227731,0.014830285
BLNK,-0.632828972,3.773243097,23.78364707,0.000232152,0.015044795
TP53INP1,-0.562908014,5.956585232,23.73336498,0.000234429,0.01511895
RPL9,-0.439187085,9.880655417,23.70255391,0.000235836,0.015136614
LRMP,-0.874437598,2.8547318,23.47258962,0.000246654,0.015755149
SPTLC3,-0.63051606,3.91949504,23.28422966,0.000255937,0.016270311
ALDH3A1,-0.639306726,5.981880629,23.19578783,0.000260434,0.016477688
CRCT1,0.983210257,3.117579187,22.98973324,0.000271264,0.017081969
PDCD4,-0.409155107,8.409991543,22.84048158,0.000279431,0.017513615
ALDH1A3,0.397289314,10.08865639,22.68723339,0.00028811,0.01792023
IDI1,0.403271711,7.429492672,22.67867919,0.000288603,0.01792023
STAT5A,1.110536055,2.256980713,22.62255208,0.000291865,0.01803886
DTX3L,0.42067348,5.968844384,22.54974363,0.000296159,0.018219909
BID,0.539669833,4.718420106,22.4642279,0.000301295,0.018450855
CCDC14,-0.461738424,5.440264363,22.4239275,0.000303751,0.018516299
GBP5,1.854133674,1.205962851,22.10072097,0.000324294,0.019678731
IL7R,0.873897031,3.083710157,22.02630791,0.000329246,0.019888813
SOX6,-0.902945651,2.635400287,21.95577649,0.000334019,0.019963327
SMTN,0.624921051,6.645670583,21.94282128,0.000334904,0.019963327
HSD11B1,0.505476431,6.47023697,21.9419317,0.000334965,0.019963327
EPSTI1,1.038552529,2.899231572,21.84062207,0.000341983,0.020291012
SGPP2,0.801115517,2.851840423,21.64501861,0.000356015,0.020956201
FAM167A,1.102648986,1.918637908,21.64066991,0.000356334,0.020956201
TRAF3,0.4968035,5.440100572,21.54668953,0.000363316,0.021207214
FAM83A,0.372530071,9.13057465,21.54052511,0.000363779,0.021207214
CDH10,-0.982785735,2.091160042,21.42948013,0.000372244,0.02160631
PTAFR,0.394399994,7.106792625,21.39441153,0.000374963,0.021669953
TUBB4B,0.417494133,8.731406708,21.27262587,0.000384586,0.022130278
TUBA4A,0.422850549,9.152744563,21.11807558,0.000397207,0.022758423
HMGN2P46,2.950866779,-0.155558825,21.00306505,0.000406906,0.023214534
FKBP5,-0.444039961,7.443069385,20.97076555,0.000409679,0.02327325
LDLR,0.387336567,8.966091478,20.93913956,0.000412415,0.023329384
ETS1,0.490574554,6.674394089,20.86287299,0.000419098,0.023607414
PLA2G4E,4.45703361,-0.781633234,20.8002014,0.000424683,0.023730219
SH3RF2,0.426882767,5.71840016,20.7985259,0.000424833,0.023730219
CDCP1,0.365471938,8.285821018,20.61092233,0.000442073,0.024590313
RAB30,-0.718838607,3.280940547,20.41100466,0.000461331,0.025514171
TUBA1B,0.449469144,8.936401175,20.39913542,0.000462504,0.025514171
FXYD5,0.407235022,9.268163666,20.36301704,0.000466095,0.025606459
USB1,0.405022435,6.643267636,20.25625059,0.000476898,0.026092577
NRCAM,0.965461324,2.144370602,20.21029961,0.000481635,0.026146662
TLR2,1.0200694,3.186486328,20.20867699,0.000481804,0.026146662
HAS3,0.371199677,7.294477461,20.12513409,0.000490559,0.026513997
FAT2,-0.377585404,8.933800802,20.06214466,0.00049728,0.026768901
LY6D,-0.690559588,4.264430537,19.99759788,0.000504277,0.027036536
FLNB,0.370942139,10.56767644,19.97349778,0.000506918,0.027069435
RFTN1,0.471728538,5.122980545,19.85594256,0.000520031,0.027659014
NR2F2,-0.426610927,7.435606181,19.80305544,0.000526056,0.027759673
HYI,0.507225929,4.811927616,19.8028301,0.000526082,0.027759673
ANXA3,0.436331851,8.482852462,19.67678602,0.000540768,0.028422246
DBP,-0.725948605,2.86561033,19.60800722,0.000548979,0.028592692
FOXO1,-0.537706461,4.695703617,19.60085373,0.000549841,0.028592692
SPARC,-0.424711857,6.344664411,19.59592285,0.000550436,0.028592692
P2RY6,1.14326669,1.830171416,19.52502379,0.000559076,0.028891838
RBM20,-1.553408744,0.804410053,19.51326898,0.000560523,0.028891838
KCNMA1,-0.472132926,5.056194981,19.41270374,0.000573083,0.029425592
CES1P1,2.889621859,-0.180672351,19.38119982,0.000577083,0.02951747
MCOLN3,-0.603855236,3.993992276,19.36226856,0.000579502,0.029528081
DST,-0.402692377,10.4643684,19.32457259,0.000584354,0.029662092
RELB,0.872371666,3.212461942,19.25693696,0.000593177,0.029995868
WNT7A,0.529671941,5.29070832,19.15537899,0.000606712,0.030564526
TAP1,0.411871146,5.606101412,19.11779614,0.00061181,0.030705481
HELZ2,1.005835648,3.886477768,19.07494869,0.000617682,0.03088408
CYP4F3,-1.088009992,2.301333621,18.88070383,0.000645123,0.032135801
SLC26A2,-0.487386025,4.75204364,18.85375095,0.00064904,0.03221072
PTGS2,0.531619135,4.917701807,18.72007635,0.000668872,0.032951623
PRKACB,-0.627341444,3.50982587,18.71985364,0.000668906,0.032951623
ZSWIM4,0.535956789,5.079737346,18.62088753,0.000684036,0.033573093
SLC43A3,0.480701752,4.755777407,18.59623574,0.000687866,0.033637384
HSD17B3,-0.986135097,2.037154089,18.47902479,0.000706413,0.034418277
EPHA2,0.481342417,7.634293497,18.38172179,0.000722245,0.035061698
CREG2,-0.89724773,2.654175822,18.3090206,0.000734339,0.035519659
FAT4,-0.520899233,4.332575409,18.23504285,0.000746884,0.035996038
CKAP2,-0.411559276,6.551744605,18.11999268,0.000766884,0.036827004
NR1D2,-0.542378344,4.549929289,18.02759512,0.000783391,0.037484844
IFIT3,0.7213253,4.72751237,17.99104821,0.000790032,0.0376676
MMP13,1.064701604,2.380743548,17.97147944,0.000793614,0.037703743
NRP1,-0.382082527,6.380215146,17.93890971,0.000799618,0.037854254
NT5DC3,-0.484583066,5.011725109,17.92202764,0.00080275,0.037868254
B4GALT1,0.336259594,9.573753363,17.80070289,0.000825678,0.038812697
EXTL2,-0.775011007,2.643576988,17.75212244,0.000835069,0.039116368
CDA,0.484010035,6.142334533,17.66273399,0.000852668,0.039801091
CD86,-0.972277953,1.691149438,17.60853246,0.000863545,0.04011766
KRT75,1.178388163,1.46830265,17.59907548,0.00086546,0.04011766
OSBP2,0.653750164,3.242710387,17.52151148,0.000881344,0.040712594
EGFL6,-0.603602508,3.602984264,17.49857212,0.000886105,0.040734227
GCLC,-0.364177294,7.289236038,17.48967795,0.000887959,0.040734227
GBP6,-0.383422695,7.015692379,17.47529982,0.000890966,0.040734227
HK2,0.347242256,7.118432102,17.4450601,0.000897327,0.040885051
NCF2,0.490020561,5.008275935,17.40045945,0.000906805,0.041176349
FLRT3,-0.473668248,5.619362199,17.33907069,0.000920038,0.04163562
CTDSPL,-0.380848369,6.473056028,17.25279715,0.00093901,0.042226229
SLC11A2,0.422971942,5.698764357,17.25097954,0.000939415,0.042226229
LAMB3,0.367924773,11.09041184,17.14551486,0.000963231,0.043151439
SEMA7A,0.492542256,5.565281984,17.11208999,0.000970922,0.043350537
SYTL5,-0.726154632,2.635809971,17.06902526,0.000980936,0.043651641
LCA5,-0.573927341,3.833067029,17.0313308,0.000989798,0.043899667
IRAK3,0.729563011,3.332011771,17.00071428,0.000997063,0.044053762
CDC25B,0.464948498,4.823898309,16.98894646,0.000999872,0.044053762
MTUS1,-0.400870553,6.589324359,16.84774399,0.00103429,0.045420316
SLAMF7,-0.579195137,4.348315588,16.82281476,0.001040507,0.045438716
PPP1R15A,0.366805776,7.424535242,16.81878086,0.001041517,0.045438716
CD82,0.44353942,7.088884179,16.8030022,0.001045478,0.045462955
CENPF,-0.508602636,5.6209402,16.73392569,0.001063023,0.046075827
FAM129A,-0.450537375,5.246516705,16.66574404,0.001080672,0.046689223
MGC12916,1.467261506,0.720625073,16.59354529,0.001099727,0.047359229
SMAD3,0.346991826,8.180951828,16.57829344,0.001103802,0.04738185
PPDPF,-0.457016876,7.117718212,16.55524295,0.001109993,0.047494875
ERRFI1,0.374771673,7.445455994,16.50597614,0.001123358,0.047809697
ACSL1,-0.337684023,6.750336299,16.50175084,0.001124513,0.047809697
PRSS3,0.724264063,3.144893692,16.46455362,0.001134738,0.048091272
MIR221,-1.063277242,1.898343403,16.41297027,0.001149094,0.048545595
ACTN1,0.465000324,9.606832277,16.37879272,0.001158721,0.048797865
MFSD2A,0.480907731,5.19822363,16.32086328,0.001175249,0.049338288
DTD2,-0.605033513,3.581021094,16.21172273,0.001207127,0.050517717
TIMP3,-0.347189403,7.815093288,16.19835924,0.001211098,0.050525509
IFNGR1,0.405230272,6.535409102,16.14082362,0.001228366,0.051086263
ZCCHC10,-0.519592026,4.097842869,16.12762507,0.001232367,0.051093485
DDIT4L,2.859112201,-0.701803452,16.10606491,0.001238935,0.051206751
CALML3,-0.838944899,5.603317825,16.07584767,0.001248207,0.051386227
PRELID1,0.444509862,7.138335019,16.06687567,0.001250976,0.051386227
SLAMF9,0.608531736,3.654202147,16.03781644,0.00125999,0.051597767
TUBB,0.37190694,9.929712551,15.97044623,0.001281178,0.052304962
TFPI2,0.339738138,6.611294246,15.93999332,0.001290889,0.052455146
PTPRQ,-3.627658362,-1.226673818,15.93429544,0.001292715,0.052455146
NAMPT,0.406674954,7.820579915,15.79377918,0.001338703,0.054156613
UBE2L6,0.398617343,5.836004061,15.77518143,0.001344929,0.054244102
GPSM2,-0.508434077,4.954066747,15.75542976,0.001351577,0.054348058
NMRK1,-0.51401486,4.355962807,15.67318732,0.001379668,0.055311012
HERC6,0.447835952,4.608201568,15.62304882,0.001397121,0.055841637
ADAM32,-1.956646173,-0.278838759,15.61123681,0.00140127,0.055841637
CHST2,0.860361931,2.006350536,15.52608895,0.001431595,0.05688033
ADAM28,0.41276256,5.289340329,15.50508595,0.00143919,0.057011805
ZC3H12C,0.53892442,4.266079283,15.49337556,0.001443445,0.057011805
PDK4,-1.514668113,1.100127982,15.48046044,0.001448154,0.057021361
STK25,0.439412081,6.500981565,15.46644946,0.001453283,0.057021361
GABRP,0.461551412,4.279637228,15.45768817,0.001456501,0.057021361
SLC25A28,0.405692333,5.120272703,15.41336893,0.001472903,0.057494894
C1S,0.789198164,3.599739612,15.33904039,0.001500889,0.058388423
TLCD1,0.636155578,3.800628492,15.32945779,0.001504541,0.058388423
CENPA,-0.949459158,1.540984342,15.27623298,0.001525012,0.058844633
FST,0.38705363,5.943278087,15.26937069,0.001527674,0.058844633
IFIT1,0.815941753,3.859937435,15.26336805,0.001530007,0.058844633
MUC20,-0.543336133,6.620672274,15.253307,0.001533928,0.058844633
GJB3,0.363924496,6.737374551,15.23394564,0.001541504,0.058965825
CSGALNACT1,0.976414696,1.986195034,15.22204938,0.00154618,0.058975717
RAB11FIP1,0.352607926,7.619257578,15.19246822,0.001557878,0.059249711
RNF128,-0.45120238,4.324831646,15.18150538,0.00156224,0.059249711
USP54,0.411681718,5.213817052,15.16153576,0.00157022,0.059383667
SERPINB8,0.385861061,5.51532065,15.10924992,0.001591336,0.05986133
PALMD,-0.521817265,4.424799418,15.10806631,0.001591818,0.05986133
ANXA1,0.344630768,10.48044987,15.07300404,0.001606166,0.060231218
MTSS1,0.30937862,7.115882842,14.99038019,0.001640566,0.06093501
SPRR2F,5.898687428,-1.256118396,16.12812952,0.001641884,0.06093501
STARD5,0.477002632,4.108050107,14.94039077,0.001661788,0.06093501
SEMA3E,-0.788730174,2.444963361,14.93838613,0.001662645,0.06093501
LGALS9,0.884216941,2.346412046,14.93797447,0.001662821,0.06093501
CSNK1E,0.3407835,7.184760162,14.93143418,0.001665623,0.06093501
HMOX2,0.342571308,7.345090167,14.92446651,0.001668614,0.06093501
SPRY4,0.641382643,4.077003182,14.90796907,0.00167572,0.06093501
SBNO2,0.544320313,5.595507542,14.90412152,0.001677382,0.06093501
PGRMC2,-0.388243682,6.099575772,14.90241507,0.00167812,0.06093501
LOC100294145,-0.670778344,2.937495135,14.89935313,0.001679445,0.06093501
SCP2,-0.387755227,7.262852481,14.89874836,0.001679707,0.06093501
FAM49A,-0.57634092,4.09728107,14.84416178,0.001703532,0.061631837
BBOX1,-0.992104114,1.276402507,14.82967067,0.001709921,0.061635759
MICAL2,0.409460556,5.812011185,14.82299559,0.001712874,0.061635759
MMP10,0.536478931,3.919610434,14.80834626,0.001719374,0.061703346
KLHDC8B,-0.432993959,5.023924322,14.73105002,0.001754144,0.062692745
NPNT,-0.531430855,4.8393571,14.72623481,0.001756336,0.062692745
CYBRD1,-0.42887237,5.7413538,14.67941178,0.00177782,0.063290403
DDX58,0.516583889,4.907529195,14.64339062,0.001794553,0.063521521
PSMB8,0.500657406,4.062282912,14.62449887,0.001803401,0.063521521
ZP3,0.823423432,2.474627248,14.61718867,0.001806838,0.063521521
STAP2,0.412577657,5.167143017,14.61434645,0.001808177,0.063521521
CTPS1,0.332209296,6.594370681,14.60517958,0.001812501,0.063521521
ATP1B1,0.334235052,7.044462732,14.59116936,0.001819133,0.063521521
