X	DMSO_48h_run1	DMSO_48h_run2	DMSO_48h_run3	DMSO_48h_run4	DMSO_48h_run5	NK_48h_run1	NK_48h_run2	NK_48h_run3	NK_48h_run4	NK_48h_run5	VPA_EC20_48h_run1	VPA_EC20_48h_run2	VPA_EC20_48h_run3	VPA_EC20_48h_run4	VPA_EC20_48h_run5
col1a1b_84280	195	382	278	217	0	201	266	288	109	325	135	202	290	54	72
nr0b2a_84281	5	3	2	4	0	14	6	0	6	8	3	9	2	20	18
slc25a20_84282	4	4	0	8	0	10	2	1	8	5	12	4	7	7	9
elocb_84283	560	848	777	792	1	725	757	841	761	909	745	787	1004	701	643
crkl_84284	674	1028	650	965	0	579	1061	741	1084	987	594	1108	622	988	986
elovl4b_84285	0	0	0	5	0	0	2	2	0	3	0	0	1	6	4
ndufa1_84286	1158	1444	1370	1325	4	1473	1404	1382	1222	1258	1367	1436	1436	1086	1103
nr2f1a_84287	177	64	113	123	0	204	62	115	90	59	179	61	113	92	77
si:dkey-201i2.4_84288	0	0	0	3	0	0	2	2	2	6	1	0	2	4	11
dhfr_84289	2	4	6	8	0	7	6	4	9	6	7	9	2	7	12
trak2_84290	3	2	1	7	0	1	0	1	0	1	2	0	0	4	3
pkmb_84291	232	625	707	473	0	273	618	421	456	698	412	276	530	301	311
sytl2a_84292	9	5	4	5	0	6	2	6	10	3	8	6	2	3	8
BX248108.1_84293	9	1	0	4	0	0	3	4	5	1	1	1	0	4	8
mboat7_84294	12	14	20	11	0	12	15	16	23	12	17	22	25	36	15
casp7_84295	25	14	16	23	0	25	14	27	18	24	18	8	19	12	34
vtg6_84296	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
col12a1a_84297	121	129	127	158	0	152	120	152	178	161	130	142	109	159	172
sypl1_84298	36	34	36	39	0	27	29	37	42	43	44	36	44	28	34
robo1_84299	32	17	12	19	0	43	18	26	16	34	21	20	21	26	22
sparc_84300	3693	6080	5695	4449	8	4337	5921	5422	4400	6556	4646	6507	6097	4305	3961
col12a1b_84301	11	7	10	4	0	17	4	2	8	6	11	11	12	13	8
c1qb_84302	6	1	5	9	0	3	1	2	9	3	4	2	2	9	11
si:ch211-186e20.2_84303	3	1	3	10	0	2	7	0	4	4	4	0	1	2	3
zgc:153932_84304	2	2	4	12	0	0	3	0	7	1	2	8	1	10	10
ctnnal1_84305	167	112	110	137	0	144	120	103	120	144	166	132	159	149	128
dkk1b_84306	20	28	21	40	0	42	25	23	32	29	26	27	25	33	13
plcb3_84307	13	8	8	4	0	9	8	11	9	7	8	2	9	11	5
rbp2b_84308	5	6	4	11	0	11	1	8	3	7	1	1	4	1	2
tm7sf3_84309	142	212	201	200	0	162	208	187	218	192	183	231	197	250	216
ggh_84310	4	5	1	16	0	6	4	9	8	4	5	1	9	5	11
fgfbp2b_84311	60	151	187	133	0	81	159	101	111	130	93	66	77	85	92
ccdc85b_84312	867	644	590	649	0	657	745	603	639	519	581	760	574	749	673
chek2_84313	11	4	10	15	0	10	12	10	10	6	8	9	11	7	13
orc4_84314	187	185	187	177	0	174	176	181	196	211	185	207	168	195	185
zmp:0000000936_84315	28	13	15	21	0	4	14	16	17	19	6	9	20	23	23
ralab_84316	267	271	222	250	0	241	237	245	312	222	250	217	235	239	232
pygma_84317	16	48	38	35	0	35	29	52	32	56	26	43	42	29	37
BX255920.1_84318	3	1	2	7	0	2	4	5	3	1	5	0	4	10	10
apoc1_84319	7601	7911	10394	9674	8	8158	7931	10944	8675	13816	8783	8758	15669	7519	7501
fbl_84320	1	0	1	4	0	0	0	3	2	4	4	3	1	6	2
c1qc_84321	1	1	2	2	0	4	2	3	3	2	3	2	1	3	6
slc10a2_84322	1	1	2	0	0	1	1	5	8	2	47	0	1	4	2
lsm5_84323	123	307	185	267	1	161	246	223	235	301	180	240	189	197	186
ddx42_84324	72	48	84	80	0	100	65	79	88	52	95	77	117	89	46
cdh2_84325	24	27	77	39	0	57	61	54	43	18	100	25	65	29	17
col9a1a_84326	1	7	7	3	0	10	9	2	5	1	7	2	7	6	3
ppm1da_84327	96	53	68	109	0	125	58	60	70	63	93	70	91	60	43
col5a3b_84328	556	422	458	554	0	431	525	431	591	463	453	477	566	450	468
phgdh_84329	217	96	149	182	0	301	124	189	154	108	203	131	234	163	104
lpar2b_84330	54	26	33	45	0	35	30	37	37	28	48	31	53	51	28
ctgfa_84331	124	83	83	96	0	146	88	110	70	96	118	100	93	90	86
hapln1a_84332	929	1099	975	1195	2	1228	1101	803	1048	1186	810	985	749	865	884
plekhm1_84333	13	7	12	7	0	19	7	7	11	8	7	9	6	14	5
apoa2_84334	18	34	51	52	0	36	15	70	28	42	52	33	71	28	28
lamb4_84335	48	41	43	66	0	56	29	44	48	36	50	34	53	47	30
zgc:171426_84336	0	0	2	2	0	4	0	0	5	2	1	0	0	6	2
foxo4_84337	275	323	260	383	0	294	346	300	392	341	234	335	268	385	308
col2a1a_84338	3532	3019	3450	3342	4	4174	2980	3641	2767	2600	3885	2296	3476	2463	2280
ifit11_84339	1	1	2	0	0	0	0	0	0	0	1	0	0	3	3
lipg_84340	1	0	2	5	0	5	5	7	2	5	9	4	1	5	6
zgc:162730_84341	84	76	59	58	0	80	70	73	51	63	72	39	57	59	48
ntd5_84342	56	33	35	49	0	40	19	50	44	40	34	28	42	42	26
bbox1_84343	8	3	13	13	0	12	11	6	8	4	9	1	3	3	33
fhl3a_84344	146	190	181	106	0	148	193	160	168	148	167	179	146	160	166
gusb_84345	72	58	50	68	0	51	53	74	75	83	44	49	91	52	60
rps4x_84346	11442	8090	9445	9531	10	12547	7707	8524	7316	6425	11571	7502	10170	7557	6009
cdh1_84347	286	148	225	283	1	298	178	208	205	195	203	188	251	176	167
btr09_84348	2	0	2	3	0	2	0	0	1	1	5	0	0	8	2
alas1_84349	23	2	17	23	0	37	6	12	11	6	28	5	13	17	12
ces2_84350	57	90	110	467	0	71	69	126	98	251	49	107	162	43	68
psmd2_84351	19	12	15	18	0	46	12	13	14	12	30	13	24	13	16
mical1_84352	65	34	50	44	0	54	35	39	33	24	19	40	59	47	36
bdh2_84353	0	1	0	1	0	0	0	3	0	0	4	1	0	0	0
cpne2_84354	5	0	4	4	0	8	3	6	9	6	1	5	2	12	3
myca_84355	201	192	191	228	0	210	168	197	153	149	217	180	222	154	134
sucla2_84356	108	165	175	143	1	167	127	136	82	175	85	143	163	85	99
st3gal1l_84357	7	0	0	1	0	5	0	2	1	1	0	4	1	3	0
myb_84358	119	117	123	141	0	110	127	129	172	175	96	161	146	169	146
tph2_84359	18	14	9	20	0	13	18	5	15	9	9	11	4	13	6
sccpdha_84360	6	6	4	12	0	11	3	4	9	10	4	7	13	19	4
sp100.1_84361	16	7	2	28	0	28	10	16	7	5	10	2	9	31	12
acmsd_84362	17	15	15	17	0	9	12	7	16	20	17	7	5	3	16
zp3b_84363	9	7	8	7	1	23	6	11	21	16	9	8	3	13	12
si:ch211-278j3.3_84364	20	10	17	11	0	27	12	13	14	6	16	13	12	23	6
elp1_84365	260	219	169	195	1	205	203	185	206	148	229	221	243	249	219
cpne3_84366	41	28	40	46	0	36	37	36	49	34	32	17	37	45	30
stil_84367	3	3	2	5	0	6	5	4	8	5	9	3	1	1	0
mitfa_84368	20	11	11	13	0	20	4	17	25	10	14	13	12	3	12
plaua_84369	3	1	5	6	0	3	4	3	3	0	5	0	2	4	3
ddr2a_84370	19	22	25	26	0	30	27	25	30	20	21	30	24	32	17
stat1a_84371	398	213	256	350	2	363	253	274	302	253	395	305	326	362	288
ahsa1b_84372	5	5	8	19	0	7	3	14	13	9	11	5	8	15	9
pigp_84373	54	43	67	75	0	63	32	70	59	60	55	39	56	48	39
spp1_84374	49	8	4	22	0	33	7	10	10	14	10	25	9	11	10
SYDE1_84375	11	3	4	14	0	8	5	11	6	5	13	2	1	11	7
spopla_84376	36	7	30	21	1	53	21	23	19	19	30	15	22	19	19
mapk3_84377	1175	1071	884	1214	0	1078	1008	915	1226	1004	1021	1131	936	1266	982
csnk2a2a_84378	414	649	516	584	1	400	700	626	706	711	523	746	603	755	686
mllt11_84379	363	463	433	420	0	424	527	415	354	457	342	401	385	260	294
slc3a2b_84380	3	11	7	9	0	9	9	10	10	12	8	9	19	13	21
cyp24a1_84381	5	3	2	3	0	0	3	6	3	3	3	2	1	5	7
nmu_84382	11	6	2	3	0	5	0	2	5	6	4	1	1	2	12
slc16a1a_84383	8	8	1	7	0	5	7	1	13	7	5	9	6	5	9
fabp10a_84384	7	4	7	8	1	3	4	7	14	4	8	1	3	10	13
zgc:103586_84385	108	192	171	155	0	145	205	200	211	215	171	256	171	169	242
adat1_84386	3	2	1	3	0	7	0	3	5	1	14	3	7	7	7
p4htm_84387	3	2	1	3	0	1	1	3	5	3	1	2	3	8	9
cdk6_84388	42	20	21	37	0	33	17	27	20	22	27	17	34	26	14
xbp1_84389	423	307	448	363	1	456	256	383	372	293	399	247	422	315	210
si:dkeyp-75h12.2_84390	3	1	0	2	0	0	4	4	6	3	3	0	8	3	3
erbb3a_84391	11	16	20	21	0	10	9	11	7	17	8	14	20	15	18
rpl15_84392	985	1847	1944	1550	0	1328	1738	1883	1504	1812	1024	1537	1903	1105	1103
usp9_84393	340	277	327	402	0	395	264	395	332	297	344	278	357	279	184
avpr1aa_84394	13	14	14	11	0	12	16	18	13	20	29	12	14	18	14
si:dkey-97o5.1_84395	40	20	31	21	0	48	12	13	16	16	45	33	15	18	24
si:ch73-22o12.1_84396	71	75	56	98	0	72	47	44	58	47	61	67	69	73	61
cdkn1ca_84397	304	238	306	237	1	410	209	296	230	179	238	238	329	257	173
sult2st1_84398	23	34	21	20	0	12	32	31	40	17	16	20	24	20	31
rfc3_84399	227	153	171	180	0	262	159	176	149	144	207	210	212	161	142
zgc:153932_84400	2	5	3	4	0	7	0	1	2	4	6	1	0	14	5
pxnb_84401	174	117	157	154	0	187	122	167	143	120	148	136	166	149	130
stap2b_84402	6	5	3	14	0	1	2	4	5	9	1	6	2	15	4
CABZ01041494.1_84403	20	13	7	7	0	17	17	16	18	13	8	9	8	18	13
plscr3a_84404	2	4	0	8	0	2	3	3	3	3	1	1	0	3	5
cyp2y3_84405	2	0	0	2	0	0	4	1	2	2	0	1	1	4	10
malb_84406	5	16	10	27	0	1	17	19	31	26	9	0	7	41	0
anln_84407	141	155	191	217	0	144	194	214	191	206	123	152	182	178	166
col9a3_84408	139	57	79	96	0	151	58	112	65	42	147	53	102	83	57
cant1a_84409	7	4	2	7	0	1	3	5	18	9	4	4	1	4	8
aptx_84410	119	157	112	105	0	127	120	117	151	169	98	189	104	175	148
ube2g1a_84411	443	871	724	605	1	447	807	732	591	758	399	771	752	527	570
prdx2_84412	918	775	1076	995	0	1288	891	956	898	815	1138	960	1128	771	760
btr16_84413	6	2	12	7	0	5	2	4	15	12	9	3	3	11	16
chuk_84414	20	7	5	14	0	34	12	14	16	7	17	14	17	3	13
ighv11-2_84415	2	2	2	1	0	1	1	1	3	6	7	2	1	4	7
cyp1d1_84416	107	100	123	97	1	116	86	126	82	89	126	81	128	86	93
ephx2_84417	2	4	3	15	0	5	1	6	6	6	3	7	5	6	8
cyp1a_84418	12	7	15	16	0	26	18	10	9	12	10	13	14	12	21
arhgap29b_84419	4	2	6	4	0	4	2	8	6	7	0	3	5	14	8
irbpl_84420	1	0	4	1	0	1	1	5	5	5	0	1	1	1	3
ppil1_84421	114	183	138	207	0	93	198	220	184	249	133	218	194	173	158
otos_84422	8	8	5	10	0	2	7	6	6	2	5	8	8	18	19
dlc_84423	1	6	6	8	0	1	3	4	8	7	3	4	1	7	14
postnb_84424	701	862	1151	965	1	680	943	965	1000	1185	538	977	1018	693	665
iqgap1_84425	26	35	34	20	0	44	37	22	22	38	41	21	41	19	12
il10ra_84426	2	2	1	3	0	0	0	2	6	3	0	0	0	5	4
prdx3_84427	16	10	11	9	0	11	10	11	9	10	21	18	11	17	9
VMAC_84428	5	3	0	5	0	2	3	8	7	6	8	2	9	8	12
si:ch211-251j10.3_84429	26	22	30	43	0	36	20	29	25	24	21	23	25	27	15
tm9sf3_84430	6	4	7	15	0	13	0	1	8	1	2	8	3	1	7
birc6_84431	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3
arhgef12a_84432	245	153	175	192	1	249	139	183	163	146	253	160	188	165	151
RAB21_84433	118	74	91	110	0	110	50	87	63	51	87	66	114	81	35
ms4a17c.2_84434	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0
lama3_84435	4	0	1	5	0	1	1	1	6	1	2	0	0	2	3
cyp1c1_84436	17	25	30	46	0	37	31	32	46	33	48	30	47	20	37
snx6_84437	170	304	145	274	0	172	320	253	299	355	138	351	225	305	284
slc11a2_84438	5	6	1	4	0	6	5	9	9	3	10	2	0	10	8
fah_84439	8	12	21	31	0	16	14	30	29	30	25	18	36	20	19
wdr43_84440	10	4	9	3	0	5	8	11	9	5	14	4	4	8	3
tapbpl_84441	3	0	1	1	0	0	0	0	5	0	0	0	0	3	2
ms4a17a.17_84442	17	12	23	58	0	9	16	32	31	11	19	12	28	38	18
mal2_84443	18	4	15	5	0	13	3	3	15	5	10	20	10	11	7
tbx1_84444	217	475	335	329	0	258	429	315	400	413	198	324	260	339	321
pyroxd2_84445	78	96	55	112	0	78	116	119	76	145	136	55	98	61	106
pacsin3_84446	365	206	202	261	0	361	230	246	246	254	272	241	264	243	220
igf1_84447	6	6	6	8	0	3	2	3	5	6	4	5	3	4	12
si:ch211-182p11.1_84448	3	2	2	4	0	1	0	3	14	4	7	7	1	13	9
bdh1_84449	118	89	98	137	1	139	88	90	109	105	140	150	116	120	112
rps18_84450	1429	1413	1703	1737	3	2193	1484	1613	1406	1332	1839	1432	2134	1150	937
cnmd_84451	93	143	120	146	0	157	107	92	84	88	124	69	109	85	56
snrpd3_84452	14	9	14	16	0	8	4	10	7	7	12	7	5	7	6
dmtn_84453	172	200	144	220	0	161	145	147	169	190	130	176	134	193	159
castor1_84454	6	9	4	8	0	6	5	8	11	10	10	2	11	16	9
si:ch211-226h7.5_84455	23	12	7	32	1	25	28	12	39	38	30	24	20	82	63
acsf2_84456	21	20	13	23	0	32	14	27	21	15	18	12	22	17	14
smad3a_84457	28	7	6	15	0	40	9	16	17	11	19	14	16	19	8
SBSPON_84458	3	4	5	3	0	3	5	10	13	10	4	4	7	16	8
fam83d_84459	2	3	2	2	0	0	1	1	1	2	1	0	1	1	5
sulf1_84460	15	13	9	9	0	3	11	11	5	17	12	9	9	9	15
cxcr4a_84461	1	3	0	3	0	2	2	5	8	1	0	3	1	1	5
enam_84462	5	4	2	10	0	1	3	2	5	6	8	2	7	9	3
rad51c_84463	6	3	6	9	0	4	4	1	13	7	4	9	2	10	9
abca2_84464	11	9	6	6	0	9	7	7	10	8	9	15	5	14	13
dyrk3_84465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shha_84466	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0
tjp1a_84467	16	10	15	26	0	30	9	20	15	22	22	12	14	22	15
pla2g15_84468	256	283	358	230	1	217	254	393	275	386	208	394	589	273	331
b2m_84469	1	3	1	5	0	2	1	4	4	3	0	1	3	5	2
vat1_84470	69	40	67	78	0	151	39	52	46	37	72	54	100	62	51
dhrs7_84471	9	11	9	19	0	7	6	17	8	11	24	9	21	14	18
ostf1_84472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tctn1_84473	7	8	16	11	0	27	8	10	15	20	11	8	21	19	13
il4r.1_84474	8	0	3	6	0	6	1	4	8	5	6	2	4	12	6
micall1a_84475	3	0	5	3	0	0	0	4	6	5	0	1	2	2	2
ccdc80_84476	5	2	0	11	0	1	1	1	3	6	7	0	4	3	7
slc9a7_84477	65	58	49	75	0	50	67	61	54	49	48	39	76	67	63
s100a11_84478	3	6	9	1	0	3	5	7	7	7	4	5	1	2	5
nr1h4_84479	12	4	5	6	0	9	1	5	15	6	6	10	0	3	3
abcb5_84480	73	50	81	81	0	75	70	71	75	70	60	86	89	100	62
slc1a5_84481	9	5	7	5	0	11	5	6	2	5	6	2	5	9	5
ifitm5_84482	7	4	1	11	0	4	0	5	5	4	3	2	5	7	5
acat2_84483	181	160	155	168	2	155	151	141	154	158	155	152	163	138	129
slc2a3b_84484	5	2	7	8	0	8	3	0	9	9	4	7	7	10	2
appb_84485	55	39	39	52	0	63	25	42	36	32	64	30	54	36	36
tubb2_84486	80	66	57	61	0	101	53	73	62	61	83	53	81	58	77
fam126a_84487	22	8	4	14	0	14	7	11	11	8	13	10	3	10	10
birc2_84488	31	16	97	69	0	55	46	64	66	1	47	34	105	62	8
hiat1b_84489	7	3	6	10	0	4	6	12	7	8	7	5	15	11	8
rps20_84490	34699	40693	40922	40788	41	38615	39408	41234	39708	45918	33865	36843	43366	32287	30481
tprkb_84491	168	287	198	267	0	167	277	192	253	360	168	297	242	266	249
nprl2_84492	43	42	37	36	0	80	53	49	33	26	30	71	71	11	67
glod4_84493	0	1	0	3	0	0	0	0	0	0	0	0	3	0	0
uba3_84494	257	234	252	247	0	334	190	215	242	205	202	210	259	193	189
rps17_84495	3741	3467	3595	4122	3	4160	3243	3458	3284	3618	3969	3281	3650	3056	3150
cyp1c2_84496	20	52	45	40	0	28	65	42	50	85	16	61	51	50	65
nab2_84497	15	8	10	16	0	21	3	21	18	4	10	7	10	17	5
mast2_84498	124	119	80	150	0	194	152	165	112	66	130	158	143	86	113
pus7_84499	25	17	17	25	0	21	8	28	24	6	20	16	19	25	15
pde6gb_84500	231	233	163	169	0	300	214	193	166	176	146	189	230	255	165
nr4a2a_84501	4	4	4	3	0	2	2	2	5	1	3	3	1	7	10
slc6a8_84502	85	37	41	62	0	117	27	66	44	57	84	38	49	52	29
dennd3a_84503	46	29	20	51	0	36	33	36	47	27	47	39	42	56	32
ptgs2b_84504	5	1	0	4	0	3	0	0	4	3	8	4	1	4	8
rsl24d1_84505	1967	1367	1347	2161	1	1897	1242	1349	1715	1482	2007	1611	1444	2001	1508
dpy30_84506	8	9	13	6	0	7	8	15	7	9	12	3	9	12	3
hoxd4a_84507	65	53	56	68	0	89	59	69	57	35	82	48	67	45	57
pdhx_84508	474	303	238	452	1	483	261	268	354	242	456	280	302	366	305
aqp9b_84509	4	1	1	1	0	0	1	0	4	3	5	4	2	4	4
pik3c2a_84510	1	2	1	2	0	0	0	2	3	1	2	1	1	2	6
cyt1l_84511	1821	1068	1498	2136	2	1457	889	1080	908	1218	1534	1122	1391	1218	1348
ppox_84512	8	2	7	6	0	5	3	4	6	4	4	2	11	12	3
xrn2_84513	144	67	108	93	0	160	68	108	64	76	117	66	101	79	65
cdc26_84514	480	354	363	509	0	551	388	380	401	369	511	350	533	433	347
kdr_84515	97	101	127	115	0	92	103	104	97	125	99	88	105	115	96
sod2_84516	13	23	18	21	0	19	28	24	26	32	16	18	37	31	21
chrnb2b_84517	14	1	4	2	0	5	2	3	6	8	7	3	5	10	7
aldoaa_84518	919	1232	1507	1148	1	1167	1163	1171	936	1047	1019	1035	911	758	877
rrm2_84519	67	0	150	135	0	206	0	106	33	2	2	164	123	69	0
si:dkey-276j7.2_84520	14	16	11	19	0	16	13	12	16	10	11	11	8	12	11
apip_84521	2	3	2	9	0	7	9	3	8	8	12	4	9	8	11
vav3b_84522	46	39	21	29	0	22	34	35	38	37	54	38	33	46	46
hsp70l_84523	5	2	2	21	0	15	6	4	9	6	12	6	10	6	8
rps6_84524	59065	34855	29956	38222	48	61447	37856	34802	37511	34382	56713	34806	38569	40672	29690
rhoh_84525	1	2	1	4	0	3	0	6	1	1	0	3	1	8	5
kif23_84526	115	136	96	111	1	107	149	123	136	162	95	142	116	130	113
agla_84527	8	0	2	10	0	4	2	5	6	11	8	3	8	19	5
srd5a3_84528	3	7	9	4	0	3	2	15	12	9	10	7	5	5	8
sox9a_84529	56	33	57	56	0	89	39	47	42	35	73	37	55	54	38
il6_84530	2	2	3	5	0	6	2	5	9	4	4	2	2	13	9
atp6v1f_84531	362	520	428	379	1	337	432	465	385	493	382	531	421	413	405
dnajb2_84532	21	13	18	22	0	20	16	14	15	23	14	14	17	28	16
si:ch211-113a14.18_84533	197	116	197	150	1	256	112	180	146	132	153	109	147	151	63
grnb_84534	916	1103	651	781	0	805	1203	893	953	1229	735	1246	1021	777	1046
kcnf1b_84535	1	2	3	4	0	3	1	1	2	3	2	0	0	4	2
erbb2_84536	19	13	18	17	0	10	13	9	9	9	7	12	15	14	5
tomm34_84537	4	6	3	3	0	5	3	3	7	6	2	3	8	5	5
nsmfb_84538	9	2	5	4	0	23	12	9	10	11	5	11	7	6	10
thy1_84539	357	368	301	419	2	305	438	364	329	412	392	451	339	288	390
dpys_84540	38	22	25	35	0	36	27	25	30	15	35	29	37	32	27
ctnnd1_84541	16	16	22	17	0	21	18	17	15	16	11	12	23	13	20
flrt2_84542	1	7	2	4	0	4	2	7	6	2	0	1	1	2	7
tfap2a_84543	101	65	112	89	0	121	87	82	76	86	81	56	99	68	54
tcf7l2_84544	73	39	42	62	0	67	32	39	56	43	67	26	52	49	37
pgm3_84545	148	177	125	139	0	150	177	142	178	161	109	195	151	211	170
naalad2_84546	29	18	29	16	0	20	20	15	14	27	24	17	18	36	24
fgfr4_84547	1483	914	1089	1211	0	1557	822	1044	1064	826	1467	1028	1093	1198	913
siae_84548	25	37	19	38	0	42	27	46	37	41	47	82	54	67	64
hsd17b8_84549	7	11	18	16	0	14	8	19	9	14	13	11	20	17	15
cebpa_84550	67	49	72	82	0	87	46	58	60	71	78	46	73	60	47
naa20_84551	39	33	28	32	0	57	26	20	32	30	52	28	43	26	25
ppa1b_84552	649	766	749	804	0	697	794	932	742	913	716	838	1050	762	769
spc25_84553	20	16	23	14	0	21	7	21	10	13	22	5	9	18	14
mgmt_84554	20	16	12	16	0	60	7	20	18	23	13	44	10	17	15
tpi1b_84555	90	131	154	85	0	184	104	147	91	99	145	111	156	77	96
tmx1_84556	69	38	35	49	0	80	25	48	54	43	49	71	68	52	27
smc3_84557	162	166	130	187	0	219	129	161	115	97	137	163	187	85	87
nid2a_84558	936	980	738	847	3	1154	975	882	849	880	998	1017	1403	898	739
coq8a_84559	62	34	54	78	0	109	58	53	59	45	79	39	84	57	42
sh3bp5b_84560	7	6	12	9	0	32	9	8	13	18	7	8	4	25	6
ppcs_84561	29	23	21	42	0	39	41	23	36	18	42	43	36	31	33
trim25_84562	1	0	2	3	0	1	4	3	7	4	5	7	1	6	7
piezo1_84563	38	48	42	42	0	42	30	34	31	50	41	33	51	34	29
CABZ01068499.1_84564	0	2	1	0	0	2	0	2	3	5	0	1	1	6	5
gfap_84565	123	159	124	118	0	216	172	134	121	115	114	115	139	110	77
adipor1b_84566	89	111	75	118	0	79	79	100	62	88	74	54	83	78	57
slc44a4_84567	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0
psmd9_84568	3	2	8	11	0	2	6	5	13	8	7	4	9	3	5
epha3_84569	888	873	743	1031	0	783	972	775	1033	880	773	1050	912	1140	1094
zgc:103700_84570	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
atf6_84571	150	183	133	121	2	152	192	130	193	153	141	148	104	168	141
tbpl1_84572	5	5	9	8	0	4	1	11	13	7	12	6	14	9	8
stxbp2_84573	24	17	16	19	0	14	11	13	33	13	29	18	23	26	25
fgf17_84574	4	1	1	1	0	0	0	0	2	0	4	0	0	2	3
gnpda1_84575	35	24	23	32	0	40	13	31	26	13	15	12	30	15	17
tes_84576	4	1	11	16	0	14	6	10	17	5	11	11	14	21	20
orc1_84577	22	9	8	18	0	14	7	17	16	17	6	17	12	16	18
