X	Ebut_EC20_24h_run1	Ebut_EC20_24h_run2	Ebut_EC20_24h_run3	Ebut_EC20_24h_run4	Ebut_EC20_24h_run5	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5
tfdp1a_85361	6	7	7	6	0	7	7	4	5	0	4	7	8	7	6
nfkbib_85362	14	13	24	23	14	23	19	38	21	0	24	16	24	28	11
ncf4_85363	11	9	3	3	7	3	5	12	5	0	5	5	4	8	9
ska1_85364	0	7	7	9	9	6	3	10	3	0	4	11	19	6	6
tyms_85365	210	236	273	170	153	282	238	255	242	0	168	237	278	209	167
mcl1a_85366	31	18	37	13	11	25	26	18	26	0	27	20	50	15	16
kcnk9_85367	6	3	3	3	0	5	4	14	0	0	6	0	6	4	4
timm23b_85368	0	2	0	0	3	6	0	9	4	0	5	5	1	2	1
CAPN1_85369	2	4	0	1	0	2	4	1	3	0	1	2	1	1	0
npdc1a_85370	23	26	35	20	24	55	29	31	24	0	36	29	32	20	34
hnf1a_85371	8	34	16	14	17	51	32	30	10	0	26	25	28	23	35
brms1la_85372	157	137	150	94	123	186	120	183	115	0	208	116	188	72	92
msra_85373	11	15	12	29	18	7	22	18	13	0	8	17	17	26	21
prkacab_85374	275	163	208	226	189	240	228	228	234	2	188	183	193	177	222
cltcb_85375	458	462	572	406	421	433	545	527	500	0	364	515	607	552	397
hsp90b1_85376	86	175	231	140	91	60	116	163	116	1	101	130	178	159	113
psmd14_85377	53	73	73	42	25	45	37	75	44	0	42	42	70	45	51
slc39a4_85378	14	3	5	14	13	13	8	4	9	0	12	6	13	11	10
slc6a19b_85379	0	1	1	1	2	0	0	0	2	0	0	4	6	1	7
bnip3la_85380	13	30	67	24	13	22	15	31	10	0	19	26	69	32	66
prkx_85381	17	9	21	9	15	23	16	21	11	0	21	11	21	15	14
hif1ab_85382	1088	1066	1118	962	870	748	956	1209	998	0	762	1029	1054	1050	983
mrps6_85383	70	88	88	73	46	101	78	82	104	1	84	88	104	61	61
atp2c1_85384	55	56	71	53	29	97	88	54	51	0	68	63	79	55	40
nop56_85385	26	36	39	23	13	36	34	59	26	0	37	31	71	34	24
slc6a4a_85386	17	2	14	7	5	7	5	27	8	0	7	7	7	5	5
epn3b_85387	3	2	0	1	1	2	4	10	1	0	0	4	4	3	2
gngt1_85388	5	1	8	2	4	1	0	3	4	0	0	0	6	1	4
suv39h1b_85389	1112	817	992	1093	1052	849	967	872	1231	2	745	1091	853	1181	1500
ufm1_85390	152	155	154	182	163	180	171	172	156	0	127	152	143	180	196
bnip4_85391	14	19	16	16	3	12	10	9	21	0	16	4	13	18	5
kdm5a_85392	1	2	2	2	5	4	1	0	0	0	10	2	3	1	0
sept10_85393	34	29	36	55	26	34	37	34	45	0	49	29	33	50	26
tsc22d3_85394	18	38	37	64	24	30	48	37	71	0	20	40	43	55	52
atp6v0e1_85395	39931	35790	38899	44141	36549	22964	47832	36439	53581	51	27949	48932	40691	47292	49903
abcf3_85396	6	4	5	6	3	11	4	3	2	0	6	1	7	5	1
irx5b_85397	33	26	30	22	28	38	29	41	36	0	31	26	36	21	27
irf7_85398	22	15	21	7	15	7	14	20	10	1	18	13	15	8	8
tram2_85399	93	100	145	87	70	158	93	128	83	1	123	89	114	74	79
fabp11b_85400	7	0	5	4	6	3	3	0	4	1	1	3	1	2	1
rbm12b_85401	33	45	31	41	26	38	40	36	30	0	30	37	49	20	35
lrp10_85402	250	239	218	216	215	343	230	245	221	0	324	250	263	246	217
si:dkey-188i13.7_85403	2	2	11	6	6	1	9	17	4	0	0	2	4	5	4
si:dkeyp-113d7.1_85404	336	366	391	341	296	303	355	358	295	0	307	383	368	315	283
tent4a_85405	420	293	289	254	368	555	375	420	306	0	425	349	314	247	250
mob1a_85406	41	52	49	20	27	42	46	75	28	0	65	30	66	27	24
timm9_85407	178	308	255	200	144	200	227	235	196	0	235	260	273	198	173
rac3a_85408	1	2	4	6	2	0	5	2	3	0	1	3	6	0	3
nr1h3_85409	199	269	279	350	209	128	321	198	250	0	159	274	291	204	408
znf217_85410	1523	834	944	993	1261	2089	1218	1237	1077	2	1931	950	1097	857	1066
pax6a_85411	731	413	555	550	636	751	622	627	745	1	675	543	550	504	660
ruvbl1_85412	121	184	203	163	92	187	120	151	154	0	164	189	240	158	149
keap1b_85413	11	6	9	4	8	19	9	10	7	0	28	7	25	4	5
bcl7ba_85414	2	5	3	2	2	2	4	1	1	0	2	2	2	1	3
clocka_85415	22	16	17	9	10	19	6	24	9	0	15	20	17	15	14
mrpl53_85416	20	9	56	52	25	4	34	55	68	0	36	54	17	69	84
myzap_85417	3	0	3	3	3	9	2	1	2	0	3	1	5	0	0
ormdl2_85418	2	6	6	2	3	4	3	8	7	0	2	6	5	8	6
CABZ01086734.1_85419	98	81	73	76	43	228	82	81	56	0	167	76	126	41	45
nit1_85420	70	72	91	76	84	84	94	78	103	0	182	135	120	102	105
slc38a5b_85421	57	69	68	39	39	175	39	55	38	0	116	46	55	31	39
acta2_85422	4	5	1	5	0	0	7	4	3	0	4	4	1	2	10
ugt2a4_85423	8	3	4	5	8	11	1	2	2	0	6	13	4	7	11
ccnd3_85424	15	30	5	9	11	19	20	14	8	0	15	16	21	12	15
slc25a27_85425	9	15	19	19	7	24	10	23	11	0	26	24	18	16	7
cttn_85426	276	294	348	237	257	313	257	333	281	0	262	309	303	274	238
psen1_85427	19	12	11	4	4	12	9	4	6	0	8	8	9	5	5
slc7a5_85428	39	20	39	35	36	44	38	25	34	0	28	43	57	12	25
cry1aa_85429	20	14	21	11	6	21	7	12	13	0	13	11	11	22	6
tnfrsf19_85430	462	366	453	365	415	476	507	514	437	0	368	516	480	343	365
ptpn12_85431	26	10	11	9	5	34	9	14	5	0	32	4	14	7	7
dio1_85432	42	19	31	21	18	41	21	23	16	0	32	20	32	32	18
slc27a2a_85433	5	3	4	5	1	18	11	10	1	0	12	6	6	4	5
egr2b_85434	7	4	8	2	4	3	7	3	2	0	10	6	6	3	1
casp3b_85435	88	140	68	130	86	124	119	72	129	0	83	137	91	135	65
tp53bp1_85436	16	20	25	11	14	51	18	17	10	0	37	23	22	18	7
cirbpb_85437	4526	5677	6260	4050	3554	5561	5396	6165	4337	4	6091	5567	6324	4049	3782
adi1_85438	118	192	255	166	99	231	156	187	136	1	186	227	213	151	96
alpi.1_85439	57	42	38	70	34	25	63	130	85	0	41	49	41	55	38
tsen2_85440	12	4	6	2	10	4	6	5	2	0	8	10	4	1	6
agxt2_85441	13	13	13	10	2	12	20	21	24	0	30	9	21	8	6
alx1_85442	7	4	0	4	6	4	3	0	3	0	5	5	5	4	3
ovol1a_85443	3	2	2	6	4	10	1	3	2	0	1	5	3	7	8
wipi1_85444	88	83	118	136	112	78	107	110	118	0	74	84	132	164	131
ndrg1a_85445	22	26	55	51	26	43	31	45	33	0	19	56	43	56	27
rxrab_85446	7	19	15	9	5	17	9	23	14	0	6	8	19	16	8
btr24_85447	2	1	1	6	1	2	2	0	1	0	3	0	2	2	4
nipsnap3a_85448	0	0	0	2	0	0	0	3	0	0	0	2	0	2	0
pim1_85449	164	286	282	195	181	345	237	301	164	0	189	279	254	179	235
ahcy_85450	277	495	632	315	225	585	377	538	316	0	513	349	649	346	180
slc35a5_85451	26	21	21	26	28	25	23	23	29	0	26	21	21	24	26
lyar_85452	1847	1237	1089	1112	1258	1108	1660	1324	1538	1	1176	1342	1335	1232	1604
gap43_85453	12	26	30	18	11	25	19	40	17	0	57	18	32	19	14
opn1mw3_85454	0	1	0	3	0	6	1	0	0	0	2	0	3	0	0
mpzl1l_85455	597	466	557	547	674	318	723	594	701	0	482	778	688	642	790
trub2_85456	65	61	70	87	53	73	79	64	91	0	48	84	90	114	73
fbxo21_85457	33	33	18	20	30	63	41	31	26	0	44	21	36	21	20
arsg_85458	32	26	24	19	23	46	28	25	17	0	68	19	20	17	19
fynb_85459	14	26	24	7	4	28	4	22	9	0	19	8	8	7	4
fanci_85460	6	1	1	6	2	6	1	3	8	0	4	4	3	5	7
rhov_85461	22	19	27	23	12	64	28	33	19	0	29	28	37	20	21
gna15.3_85462	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0
rnpc3_85463	1	4	1	1	1	2	1	1	4	0	2	2	3	3	0
prkcq_85464	0	0	0	2	1	0	0	3	3	0	4	0	3	1	0
nab1b_85465	12	9	4	2	8	12	9	11	5	0	16	11	9	7	3
nup37_85466	202	174	219	157	182	372	232	218	180	0	326	245	219	133	133
nup85_85467	59	56	59	32	15	81	41	52	22	0	103	40	69	33	26
lpar1_85468	1	2	1	3	4	1	1	2	6	0	7	1	4	3	3
acat1_85469	85	70	134	65	68	109	57	146	85	0	113	99	119	73	52
tshr_85470	4	2	2	6	4	5	7	4	4	0	0	1	1	1	5
rpl36_85471	25448	27907	35713	33951	21862	21391	27843	26765	33390	42	25643	31407	32554	32807	31963
si:ch73-74h11.1_85472	8	7	8	7	3	4	5	6	3	0	5	1	4	1	6
hprt1_85473	329	371	262	293	243	384	286	428	363	0	340	335	316	310	313
CU639469.1_85474	4	0	0	7	2	7	3	4	1	0	2	3	4	1	8
blcap_85475	34	35	45	42	41	17	43	38	40	0	25	32	40	53	37
dlat_85476	415	294	354	277	280	332	316	234	382	0	285	290	334	278	318
stat5a_85477	7	9	12	8	7	7	6	1	1	0	12	6	10	0	3
CHST13_85478	3	7	5	4	4	6	16	1	3	0	3	15	11	4	9
ighv6-1_85479	1	2	1	0	0	3	0	0	0	0	0	1	1	0	0
il17rd_85480	369	253	236	283	329	350	344	348	348	0	244	258	260	270	391
hyou1_85481	3	5	3	6	0	6	8	15	2	0	4	12	5	6	4
itfg1_85482	21	24	23	28	23	15	30	24	27	0	24	23	17	20	11
si:ch211-22k7.9_85483	1017	679	283	992	329	656	787	784	675	0	580	770	729	713	988
polr1c_85484	8	1	3	1	4	7	5	4	4	0	1	6	1	1	1
si:dkey-85a20.4_85485	1	6	7	5	2	1	6	8	2	0	5	7	6	0	9
akr1b1_85486	12	12	14	7	6	20	6	13	8	0	7	14	17	5	2
map1lc3a_85487	1	0	0	1	0	0	0	0	2	0	0	2	0	3	1
junba_85488	23	29	12	13	18	31	30	24	26	1	15	12	18	27	23
aqp4_85489	26	33	48	41	41	37	20	44	39	0	18	28	55	46	40
h2afvb_85490	241	402	519	313	164	366	303	442	316	1	394	337	481	333	164
mrpl37_85491	355	391	411	374	338	223	375	396	395	0	285	453	456	371	369
si:ch211-259g3.4_85492	2	8	7	1	1	7	2	5	6	0	0	8	13	0	6
nlgn3b_85493	3	1	5	1	2	6	4	6	4	0	1	6	3	7	7
zgc:92606_85494	17	15	14	30	28	4	16	22	20	0	22	23	15	24	26
cdca4_85495	5	17	20	12	10	24	5	13	14	0	26	10	21	20	6
tmed2_85496	1336	1511	1811	1922	1759	955	1985	1430	2368	2	1051	2250	1518	2327	2202
exosc4_85497	185	273	282	181	177	344	236	271	237	0	358	275	274	209	163
plac8.2_85498	1	2	4	3	0	0	4	3	3	0	2	0	0	0	1
herpud1_85499	16	19	14	15	10	10	13	19	11	0	17	10	23	8	6
acadm_85500	468	334	499	436	444	579	445	486	393	2	556	420	386	456	493
ddc_85501	1	3	3	1	0	5	1	0	1	0	0	4	0	2	1
rfx5_85502	52	50	44	41	43	95	48	47	40	2	66	41	61	29	25
pin1_85503	1229	1007	1123	1199	937	756	1220	1007	1458	0	903	1436	1202	1314	1359
myl12.1_85504	3864	4248	5025	4825	3579	2793	4318	4674	5175	2	3185	4449	5155	5313	4364
ngrn_85505	195	154	203	170	205	162	152	160	194	1	180	184	185	200	205
maff_85506	3	7	4	7	6	11	4	2	2	0	8	2	3	3	8
slc6a9_85507	23	33	30	12	22	56	38	21	10	0	31	26	60	16	7
ipo13_85508	166	98	118	88	103	170	135	167	112	0	179	119	135	78	85
krt8_85509	94	529	135	321	351	196	172	124	457	0	218	342	144	270	245
pcdh2ac_85510	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
hsd3b1_85511	0	1	1	0	0	0	4	3	1	0	0	2	0	0	0
nop58_85512	1409	2014	1697	1616	1281	1506	1885	1819	1563	0	2010	2193	2297	1681	1320
mtf2_85513	131	104	165	104	102	225	121	123	77	1	201	146	120	70	87
hacd3_85514	12	14	20	1	8	32	14	8	4	0	5	12	15	12	4
LO018552.1_85515	0	2	0	2	1	4	1	0	0	0	1	3	0	5	0
xaf1_85516	5	6	1	5	1	12	6	5	1	0	4	4	5	10	6
hoxa9a_85517	166	161	183	132	112	156	146	158	135	0	136	167	180	116	98
slc10a7_85518	54	70	89	47	46	46	64	54	61	0	63	48	64	71	48
adprh_85519	45	61	67	64	49	65	59	81	82	0	20	71	50	66	106
timeless_85520	945	675	738	717	714	1079	898	849	862	0	948	850	793	636	735
mrvi1_85521	1	2	3	5	2	0	4	2	2	0	2	1	8	0	3
ccdc61_85522	7	13	6	11	2	8	8	4	9	0	10	6	11	3	4
itgb1bp1_85523	53	53	56	37	33	120	53	56	39	0	127	47	69	23	28
slc9a3r1a_85524	91	109	121	99	66	87	100	95	107	2	117	105	137	98	85
them4_85525	29	31	37	29	27	19	24	26	18	0	21	31	21	36	26
nfkbiaa_85526	68	26	19	24	48	55	56	40	32	0	60	0	8	13	47
rpl7a_85527	15843	16464	21470	18135	12411	13099	15668	16640	18556	13	13453	16343	18848	18999	17437
btr23_85528	0	3	2	0	0	0	0	0	0	0	1	2	4	0	0
nhp2_85529	925	953	1168	1340	899	509	1067	991	1664	0	536	1073	1097	1582	1495
gria4a_85530	11	7	7	14	7	3	5	6	9	0	4	9	8	9	8
cxcl19_85531	4	1	0	2	0	0	5	1	3	0	1	2	2	0	5
CABZ01045062.1_85532	19	14	21	13	6	59	29	22	17	0	39	13	20	14	26
ralba_85533	139	267	254	188	158	125	230	270	225	0	244	294	302	223	140
rsu1_85534	3	2	15	0	0	7	0	16	2	0	4	0	5	1	5
lyz_85535	1	0	3	4	1	2	2	2	2	0	4	2	1	1	1
ppp2r5eb_85536	23	28	39	34	10	13	20	34	17	0	27	35	25	17	29
si:ch211-214b16.4_85537	15	5	11	10	16	26	12	12	11	0	7	14	5	17	3
fgf7_85538	7	5	4	8	0	3	4	9	13	0	2	2	4	4	15
cyp2aa3_85539	23	8	13	10	4	14	20	24	14	0	20	14	21	13	20
smarca5_85540	149	167	304	214	206	415	82	100	147	1	182	136	96	117	180
psmc6_85541	1158	809	1035	1279	857	896	1144	844	1362	1	834	1160	961	1457	1229
rhoab_85542	193	227	319	214	119	171	186	267	193	0	195	196	297	258	153
ncapd2_85543	26	25	23	23	7	41	18	16	18	0	25	21	40	28	12
ndnl2_85544	71	88	77	52	57	120	84	85	86	0	109	72	94	48	73
zgc:63568_85545	25	21	34	36	26	68	36	37	25	0	38	25	41	24	18
serhl_85546	57	78	99	55	89	61	76	105	96	0	32	80	84	92	70
ehhadh_85547	67	85	49	31	49	73	43	46	30	0	61	50	53	36	35
dusp22b_85548	160	116	136	85	98	153	165	115	87	0	165	116	132	93	127
znf318_85549	1853	1212	1014	1177	1446	1193	1373	692	1571	1	1230	1335	1041	1478	1575
nudt5_85550	30	36	41	53	40	27	45	34	41	0	21	31	34	63	32
kif2c_85551	191	311	312	224	149	247	226	238	229	0	257	242	333	209	171
calm3a_85552	355	426	473	462	358	364	416	443	418	0	326	388	473	447	455
srsf10b_85553	31	22	27	30	13	41	21	25	10	0	42	29	42	28	26
rpap3_85554	634	482	472	453	598	540	626	548	674	0	573	628	576	481	700
pax8_85555	3	2	4	1	1	6	4	8	3	0	5	5	2	3	3
polr3b_85556	218	167	179	252	207	175	147	247	83	0	304	89	176	127	171
npas4l_85557	11	4	4	5	4	29	9	10	8	0	19	7	1	0	7
stxbp1a_85558	164	131	202	153	136	216	136	142	146	1	156	152	117	161	180
pax2a_85559	295	224	225	190	203	248	229	251	214	0	258	235	243	180	185
pla2g7_85560	3	2	1	1	2	0	6	5	0	0	0	1	0	0	0
slc16a10_85561	102	104	103	48	56	108	80	106	64	0	112	77	105	45	48
eef1b2_85562	61	63	94	51	73	95	68	69	55	0	92	91	74	55	53
cntf_85563	13	23	10	13	9	21	14	4	9	0	9	4	8	19	10
dll4_85564	0	2	0	5	1	2	7	1	9	0	4	2	1	0	6
ctr9_85565	308	274	251	167	222	480	267	335	181	0	378	301	282	186	146
eprs_85566	8	8	6	3	2	6	5	7	3	0	10	3	7	5	7
rrm1_85567	1150	1304	1311	1408	1271	766	1360	1087	1561	1	567	1393	1300	1817	1490
rac1l_85568	24	13	19	21	33	21	23	10	19	0	6	15	7	14	30
aifm4_85569	8	0	1	10	2	4	4	3	2	0	10	5	0	6	1
rraga_85570	298	400	399	333	190	364	362	367	305	0	329	444	379	313	200
si:ch211-160f23.5_85571	103	134	160	94	95	213	92	144	150	0	199	126	164	96	90
ngb_85572	9	3	1	7	0	0	3	10	1	0	3	1	0	3	2
mxe_85573	5	3	1	3	2	0	2	0	0	0	0	3	1	2	3
sprb_85574	1	1	16	9	2	4	11	11	7	0	1	6	12	5	13
hikeshi_85575	20	39	50	24	22	29	20	34	22	0	53	38	51	33	21
si:dkey-288i20.2_85576	121	60	67	75	69	130	118	77	129	0	82	89	64	62	105
ush1c_85577	2	3	0	0	0	5	0	0	1	0	1	0	0	0	1
sema7a_85578	12	2	2	9	2	23	7	5	6	0	10	4	18	7	4
CACNG5_85579	1	0	0	1	0	3	0	2	0	0	0	2	1	0	4
atf1_85580	193	224	266	239	136	147	210	240	188	0	121	206	258	273	165
ephx1_85581	14	13	8	7	10	10	25	18	6	0	12	9	16	4	11
hexb_85582	9	32	32	24	10	18	6	46	17	0	19	9	24	43	11
rae1_85583	7	15	23	15	6	18	12	12	6	0	13	15	16	12	21
chrna2a_85584	3	2	1	7	0	5	5	11	8	0	4	7	7	4	5
baxa_85585	7	14	18	13	4	8	13	25	12	0	15	19	6	17	16
alg8_85586	14	27	63	66	0	13	40	61	16	0	9	87	56	76	17
lsm1_85587	18	28	32	21	13	23	33	49	15	0	16	33	34	14	15
ptk2ba_85588	5	2	4	0	1	5	0	0	2	0	1	0	4	0	7
kdelr2b_85589	333	275	376	366	241	291	381	347	368	0	249	332	309	335	387
l1cama_85590	3	2	1	2	0	0	1	9	1	0	0	2	1	1	7
stx4_85591	23	29	9	24	6	31	9	11	17	0	11	17	17	11	11
cenpe_85592	687	567	571	469	554	1135	663	742	520	0	1064	556	731	413	390
fosb_85593	1	1	3	0	0	8	3	0	0	0	1	3	0	0	2
mpi_85594	3	1	1	0	0	1	5	4	2	0	3	3	4	4	1
pax3a_85595	62	75	90	31	40	143	70	70	43	0	151	87	77	39	29
rnmt_85596	77	112	102	124	69	95	93	42	115	0	82	103	91	126	92
nqo1_85597	445	536	410	602	640	329	603	401	693	1	412	478	568	643	834
itpr2_85598	1	3	0	2	0	0	2	0	0	0	2	0	0	1	2
si:ch73-190m4.1_85599	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1
adam10a_85600	805	768	1021	832	651	846	686	1005	751	0	840	882	865	866	710
pora_85601	18	32	14	7	10	19	13	26	12	0	15	19	33	31	9
ncbp2_85602	12	14	24	14	15	23	8	21	22	1	13	15	16	19	14
scn1laa_85603	14	16	23	21	17	41	23	46	18	0	28	17	13	17	10
vapb_85604	103	139	104	158	83	129	120	65	93	1	128	125	110	97	172
copa_85605	1126	877	941	1356	1335	794	1139	781	1643	0	718	1126	744	1437	1838
slc22a6l_85606	10	19	8	8	8	15	18	19	12	0	24	10	26	3	8
igl4v10_85607	2	4	5	8	2	13	21	12	9	0	4	8	9	0	8
ccdc92_85608	22	23	19	32	36	11	15	24	27	0	8	17	15	17	24
cherp_85609	113	153	204	84	117	299	140	188	94	0	239	140	183	78	79
trdmt1_85610	11	18	20	15	13	35	10	25	13	0	27	13	11	12	4
tomm20a_85611	442	372	409	296	297	769	361	504	255	0	704	363	477	240	248
rx3_85612	48	42	51	42	33	29	61	36	42	0	45	43	63	51	56
ephb1_85613	0	3	0	1	0	1	5	0	0	0	1	3	1	1	5
