X	Ebut_EC10_48h_run1	Ebut_EC10_48h_run2	Ebut_EC10_48h_run3	Ebut_EC10_48h_run4	Ebut_EC10_48h_run5	DMSO_48h_run1	DMSO_48h_run2	DMSO_48h_run3	DMSO_48h_run4	DMSO_48h_run5	NK_48h_run1	NK_48h_run2	NK_48h_run3	NK_48h_run4	NK_48h_run5
cdh2_84325	49	37	64	16	16	24	27	77	39	0	57	61	54	43	18
col9a1a_84326	5	4	4	4	0	1	7	7	3	0	10	9	2	5	1
ppm1da_84327	87	85	132	88	40	96	53	68	109	0	125	58	60	70	63
col5a3b_84328	544	464	639	476	509	556	422	458	554	0	431	525	431	591	463
phgdh_84329	179	131	224	140	130	217	96	149	182	0	301	124	189	154	108
lpar2b_84330	50	36	58	39	37	54	26	33	45	0	35	30	37	37	28
ctgfa_84331	142	115	141	80	87	124	83	83	96	0	146	88	110	70	96
hapln1a_84332	1086	1123	901	1252	774	929	1099	975	1195	2	1228	1101	803	1048	1186
plekhm1_84333	13	6	13	7	10	13	7	12	7	0	19	7	7	11	8
apoa2_84334	56	25	69	26	24	18	34	51	52	0	36	15	70	28	42
lamb4_84335	65	56	50	24	48	48	41	43	66	0	56	29	44	48	36
zgc:171426_84336	2	3	3	2	1	0	0	2	2	0	4	0	0	5	2
foxo4_84337	350	279	312	326	359	275	323	260	383	0	294	346	300	392	341
col2a1a_84338	3568	3782	4254	3112	2962	3532	3019	3450	3342	4	4174	2980	3641	2767	2600
ifit11_84339	1	0	3	0	3	1	1	2	0	0	0	0	0	0	0
lipg_84340	2	1	6	6	8	1	0	2	5	0	5	5	7	2	5
zgc:162730_84341	70	62	82	39	74	84	76	59	58	0	80	70	73	51	63
ntd5_84342	31	48	44	51	32	56	33	35	49	0	40	19	50	44	40
bbox1_84343	4	4	11	8	8	8	3	13	13	0	12	11	6	8	4
fhl3a_84344	131	207	149	97	228	146	190	181	106	0	148	193	160	168	148
gusb_84345	92	92	108	64	92	72	58	50	68	0	51	53	74	75	83
rps4x_84346	10540	9238	10384	8735	7317	11442	8090	9445	9531	10	12547	7707	8524	7316	6425
cdh1_84347	333	232	272	209	202	286	148	225	283	1	298	178	208	205	195
btr09_84348	4	1	6	0	3	2	0	2	3	0	2	0	0	1	1
alas1_84349	15	5	11	23	7	23	2	17	23	0	37	6	12	11	6
ces2_84350	124	47	99	128	67	57	90	110	467	0	71	69	126	98	251
psmd2_84351	17	22	25	12	11	19	12	15	18	0	46	12	13	14	12
mical1_84352	38	27	51	33	35	65	34	50	44	0	54	35	39	33	24
bdh2_84353	0	0	0	1	0	0	1	0	1	0	0	0	3	0	0
cpne2_84354	3	4	6	12	6	5	0	4	4	0	8	3	6	9	6
myca_84355	187	164	169	119	149	201	192	191	228	0	210	168	197	153	149
sucla2_84356	178	143	227	113	129	108	165	175	143	1	167	127	136	82	175
st3gal1l_84357	2	1	3	2	6	7	0	0	1	0	5	0	2	1	1
myb_84358	146	114	142	147	159	119	117	123	141	0	110	127	129	172	175
tph2_84359	10	16	14	22	18	18	14	9	20	0	13	18	5	15	9
sccpdha_84360	5	10	9	14	11	6	6	4	12	0	11	3	4	9	10
sp100.1_84361	28	7	2	10	17	16	7	2	28	0	28	10	16	7	5
acmsd_84362	5	14	11	10	21	17	15	15	17	0	9	12	7	16	20
zp3b_84363	4	14	10	6	14	9	7	8	7	1	23	6	11	21	16
si:ch211-278j3.3_84364	10	10	15	11	4	20	10	17	11	0	27	12	13	14	6
elp1_84365	183	181	184	205	205	260	219	169	195	1	205	203	185	206	148
cpne3_84366	53	29	45	34	36	41	28	40	46	0	36	37	36	49	34
stil_84367	5	0	11	4	5	3	3	2	5	0	6	5	4	8	5
mitfa_84368	9	9	22	3	10	20	11	11	13	0	20	4	17	25	10
plaua_84369	0	0	3	0	3	3	1	5	6	0	3	4	3	3	0
ddr2a_84370	19	18	30	37	51	19	22	25	26	0	30	27	25	30	20
stat1a_84371	337	197	324	311	256	398	213	256	350	2	363	253	274	302	253
ahsa1b_84372	12	8	10	7	17	5	5	8	19	0	7	3	14	13	9
pigp_84373	48	38	58	59	78	54	43	67	75	0	63	32	70	59	60
spp1_84374	30	1	12	10	15	49	8	4	22	0	33	7	10	10	14
SYDE1_84375	2	0	4	7	4	11	3	4	14	0	8	5	11	6	5
spopla_84376	28	16	41	29	22	36	7	30	21	1	53	21	23	19	19
mapk3_84377	1057	900	873	1145	1174	1175	1071	884	1214	0	1078	1008	915	1226	1004
csnk2a2a_84378	570	514	528	677	748	414	649	516	584	1	400	700	626	706	711
mllt11_84379	462	493	497	353	456	363	463	433	420	0	424	527	415	354	457
slc3a2b_84380	6	6	23	8	12	3	11	7	9	0	9	9	10	10	12
cyp24a1_84381	2	3	4	2	4	5	3	2	3	0	0	3	6	3	3
nmu_84382	2	4	6	9	7	11	6	2	3	0	5	0	2	5	6
slc16a1a_84383	9	5	1	12	7	8	8	1	7	0	5	7	1	13	7
fabp10a_84384	9	2	13	18	12	7	4	7	8	1	3	4	7	14	4
zgc:103586_84385	170	186	155	169	217	108	192	171	155	0	145	205	200	211	215
adat1_84386	5	1	6	8	4	3	2	1	3	0	7	0	3	5	1
p4htm_84387	2	2	8	4	9	3	2	1	3	0	1	1	3	5	3
cdk6_84388	28	23	30	13	12	42	20	21	37	0	33	17	27	20	22
xbp1_84389	411	364	490	248	314	423	307	448	363	1	456	256	383	372	293
si:dkeyp-75h12.2_84390	1	4	6	3	7	3	1	0	2	0	0	4	4	6	3
erbb3a_84391	27	24	19	13	26	11	16	20	21	0	10	9	11	7	17
rpl15_84392	1959	1935	1968	1328	1620	985	1847	1944	1550	0	1328	1738	1883	1504	1812
usp9_84393	363	392	433	248	331	340	277	327	402	0	395	264	395	332	297
avpr1aa_84394	8	11	23	15	14	13	14	14	11	0	12	16	18	13	20
si:dkey-97o5.1_84395	30	26	30	19	22	40	20	31	21	0	48	12	13	16	16
si:ch73-22o12.1_84396	75	61	69	67	59	71	75	56	98	0	72	47	44	58	47
cdkn1ca_84397	353	314	361	257	180	304	238	306	237	1	410	209	296	230	179
sult2st1_84398	22	51	35	19	20	23	34	21	20	0	12	32	31	40	17
rfc3_84399	239	190	201	106	153	227	153	171	180	0	262	159	176	149	144
zgc:153932_84400	5	3	2	6	10	2	5	3	4	0	7	0	1	2	4
pxnb_84401	171	155	181	164	139	174	117	157	154	0	187	122	167	143	120
stap2b_84402	3	8	8	5	7	6	5	3	14	0	1	2	4	5	9
CABZ01041494.1_84403	9	12	10	10	29	20	13	7	7	0	17	17	16	18	13
plscr3a_84404	6	2	6	12	9	2	4	0	8	0	2	3	3	3	3
cyp2y3_84405	1	2	4	8	4	2	0	0	2	0	0	4	1	2	2
malb_84406	4	14	1	14	6	5	16	10	27	0	1	17	19	31	26
anln_84407	200	134	171	173	207	141	155	191	217	0	144	194	214	191	206
col9a3_84408	89	89	109	83	71	139	57	79	96	0	151	58	112	65	42
cant1a_84409	9	10	7	9	10	7	4	2	7	0	1	3	5	18	9
aptx_84410	120	104	123	122	161	119	157	112	105	0	127	120	117	151	169
ube2g1a_84411	608	791	679	689	804	443	871	724	605	1	447	807	732	591	758
prdx2_84412	1137	977	1204	677	686	918	775	1076	995	0	1288	891	956	898	815
btr16_84413	13	7	15	8	19	6	2	12	7	0	5	2	4	15	12
chuk_84414	14	5	13	17	12	20	7	5	14	0	34	12	14	16	7
ighv11-2_84415	0	1	5	8	4	2	2	2	1	0	1	1	1	3	6
cyp1d1_84416	114	107	125	107	129	107	100	123	97	1	116	86	126	82	89
ephx2_84417	3	5	9	11	3	2	4	3	15	0	5	1	6	6	6
cyp1a_84418	13	19	13	14	23	12	7	15	16	0	26	18	10	9	12
arhgap29b_84419	5	7	10	2	11	4	2	6	4	0	4	2	8	6	7
irbpl_84420	4	5	2	1	6	1	0	4	1	0	1	1	5	5	5
ppil1_84421	157	202	211	227	249	114	183	138	207	0	93	198	220	184	249
otos_84422	13	12	9	12	21	8	8	5	10	0	2	7	6	6	2
dlc_84423	3	4	5	4	6	1	6	6	8	0	1	3	4	8	7
postnb_84424	1130	1183	1135	1039	1134	701	862	1151	965	1	680	943	965	1000	1185
iqgap1_84425	32	20	28	35	21	26	35	34	20	0	44	37	22	22	38
il10ra_84426	2	1	3	5	3	2	2	1	3	0	0	0	2	6	3
prdx3_84427	6	13	11	12	17	16	10	11	9	0	11	10	11	9	10
VMAC_84428	15	6	4	9	5	5	3	0	5	0	2	3	8	7	6
si:ch211-251j10.3_84429	26	33	27	28	30	26	22	30	43	0	36	20	29	25	24
tm9sf3_84430	18	2	3	1	0	6	4	7	15	0	13	0	1	8	1
birc6_84431	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
arhgef12a_84432	221	183	208	189	142	245	153	175	192	1	249	139	183	163	146
RAB21_84433	104	114	129	49	61	118	74	91	110	0	110	50	87	63	51
ms4a17c.2_84434	0	1	0	3	0	0	0	0	0	0	0	0	0	3	0
lama3_84435	2	2	2	3	3	4	0	1	5	0	1	1	1	6	1
cyp1c1_84436	40	47	32	26	29	17	25	30	46	0	37	31	32	46	33
snx6_84437	267	247	261	364	379	170	304	145	274	0	172	320	253	299	355
slc11a2_84438	5	10	7	7	6	5	6	1	4	0	6	5	9	9	3
fah_84439	18	23	27	14	38	8	12	21	31	0	16	14	30	29	30
wdr43_84440	12	6	10	10	11	10	4	9	3	0	5	8	11	9	5
tapbpl_84441	2	1	0	4	4	3	0	1	1	0	0	0	0	5	0
ms4a17a.17_84442	14	31	36	46	26	17	12	23	58	0	9	16	32	31	11
mal2_84443	9	6	3	11	7	18	4	15	5	0	13	3	3	15	5
tbx1_84444	387	317	320	359	427	217	475	335	329	0	258	429	315	400	413
pyroxd2_84445	106	87	58	62	112	78	96	55	112	0	78	116	119	76	145
pacsin3_84446	319	242	273	235	218	365	206	202	261	0	361	230	246	246	254
igf1_84447	7	6	9	6	6	6	6	6	8	0	3	2	3	5	6
si:ch211-182p11.1_84448	4	5	15	8	7	3	2	2	4	0	1	0	3	14	4
bdh1_84449	139	127	147	124	98	118	89	98	137	1	139	88	90	109	105
rps18_84450	2119	1753	2298	1303	1370	1429	1413	1703	1737	3	2193	1484	1613	1406	1332
cnmd_84451	92	119	91	111	102	93	143	120	146	0	157	107	92	84	88
snrpd3_84452	14	7	14	5	3	14	9	14	16	0	8	4	10	7	7
dmtn_84453	173	172	182	162	202	172	200	144	220	0	161	145	147	169	190
castor1_84454	15	9	5	14	16	6	9	4	8	0	6	5	8	11	10
si:ch211-226h7.5_84455	33	10	31	56	43	23	12	7	32	1	25	28	12	39	38
acsf2_84456	23	20	33	18	24	21	20	13	23	0	32	14	27	21	15
smad3a_84457	26	10	8	23	7	28	7	6	15	0	40	9	16	17	11
SBSPON_84458	4	7	15	10	6	3	4	5	3	0	3	5	10	13	10
fam83d_84459	4	1	0	3	5	2	3	2	2	0	0	1	1	1	2
sulf1_84460	13	8	34	10	3	15	13	9	9	0	3	11	11	5	17
cxcr4a_84461	2	5	4	0	14	1	3	0	3	0	2	2	5	8	1
enam_84462	5	6	9	8	9	5	4	2	10	0	1	3	2	5	6
rad51c_84463	6	3	9	19	10	6	3	6	9	0	4	4	1	13	7
abca2_84464	14	7	9	18	15	11	9	6	6	0	9	7	7	10	8
dyrk3_84465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shha_84466	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
tjp1a_84467	25	18	17	23	27	16	10	15	26	0	30	9	20	15	22
pla2g15_84468	393	395	507	267	345	256	283	358	230	1	217	254	393	275	386
b2m_84469	1	1	0	3	4	1	3	1	5	0	2	1	4	4	3
vat1_84470	75	58	66	57	48	69	40	67	78	0	151	39	52	46	37
dhrs7_84471	19	28	22	9	29	9	11	9	19	0	7	6	17	8	11
ostf1_84472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tctn1_84473	17	16	22	11	12	7	8	16	11	0	27	8	10	15	20
il4r.1_84474	3	3	9	9	4	8	0	3	6	0	6	1	4	8	5
micall1a_84475	1	3	5	5	1	3	0	5	3	0	0	0	4	6	5
ccdc80_84476	4	1	3	9	4	5	2	0	11	0	1	1	1	3	6
slc9a7_84477	81	63	83	57	55	65	58	49	75	0	50	67	61	54	49
s100a11_84478	1	4	2	6	16	3	6	9	1	0	3	5	7	7	7
nr1h4_84479	8	2	7	3	6	12	4	5	6	0	9	1	5	15	6
abcb5_84480	95	84	108	97	90	73	50	81	81	0	75	70	71	75	70
slc1a5_84481	12	8	12	7	6	9	5	7	5	0	11	5	6	2	5
ifitm5_84482	6	5	8	11	9	7	4	1	11	0	4	0	5	5	4
acat2_84483	190	202	151	162	146	181	160	155	168	2	155	151	141	154	158
slc2a3b_84484	8	6	7	10	6	5	2	7	8	0	8	3	0	9	9
appb_84485	65	47	45	47	26	55	39	39	52	0	63	25	42	36	32
tubb2_84486	76	97	93	78	73	80	66	57	61	0	101	53	73	62	61
fam126a_84487	6	18	14	12	9	22	8	4	14	0	14	7	11	11	8
birc2_84488	21	71	53	74	21	31	16	97	69	0	55	46	64	66	1
hiat1b_84489	5	16	8	7	6	7	3	6	10	0	4	6	12	7	8
rps20_84490	44327	38918	44857	38792	44590	34699	40693	40922	40788	41	38615	39408	41234	39708	45918
tprkb_84491	244	217	162	293	324	168	287	198	267	0	167	277	192	253	360
nprl2_84492	73	48	45	23	71	43	42	37	36	0	80	53	49	33	26
glod4_84493	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0
uba3_84494	199	208	245	188	150	257	234	252	247	0	334	190	215	242	205
rps17_84495	4095	3735	3948	3144	3426	3741	3467	3595	4122	3	4160	3243	3458	3284	3618
cyp1c2_84496	42	63	38	33	59	20	52	45	40	0	28	65	42	50	85
nab2_84497	9	9	15	9	2	15	8	10	16	0	21	3	21	18	4
mast2_84498	128	168	113	157	107	124	119	80	150	0	194	152	165	112	66
pus7_84499	20	13	20	16	6	25	17	17	25	0	21	8	28	24	6
pde6gb_84500	182	228	275	234	245	231	233	163	169	0	300	214	193	166	176
nr4a2a_84501	4	8	13	2	4	4	4	4	3	0	2	2	2	5	1
slc6a8_84502	75	57	42	58	44	85	37	41	62	0	117	27	66	44	57
dennd3a_84503	40	39	51	49	38	46	29	20	51	0	36	33	36	47	27
ptgs2b_84504	2	1	5	1	5	5	1	0	4	0	3	0	0	4	3
rsl24d1_84505	1860	1565	1181	1686	1624	1967	1367	1347	2161	1	1897	1242	1349	1715	1482
dpy30_84506	14	7	12	6	8	8	9	13	6	0	7	8	15	7	9
hoxd4a_84507	65	66	70	62	49	65	53	56	68	0	89	59	69	57	35
pdhx_84508	382	278	301	301	291	474	303	238	452	1	483	261	268	354	242
aqp9b_84509	2	3	2	1	3	4	1	1	1	0	0	1	0	4	3
pik3c2a_84510	2	0	4	3	1	1	2	1	2	0	0	0	2	3	1
cyt1l_84511	2029	1263	2472	1439	1289	1821	1068	1498	2136	2	1457	889	1080	908	1218
ppox_84512	6	2	7	6	3	8	2	7	6	0	5	3	4	6	4
xrn2_84513	102	119	96	80	61	144	67	108	93	0	160	68	108	64	76
cdc26_84514	499	392	510	387	467	480	354	363	509	0	551	388	380	401	369
kdr_84515	107	116	106	92	134	97	101	127	115	0	92	103	104	97	125
sod2_84516	20	25	27	15	24	13	23	18	21	0	19	28	24	26	32
chrnb2b_84517	4	7	16	3	8	14	1	4	2	0	5	2	3	6	8
aldoaa_84518	1166	1552	1412	1085	1134	919	1232	1507	1148	1	1167	1163	1171	936	1047
rrm2_84519	65	0	0	42	0	67	0	150	135	0	206	0	106	33	2
si:dkey-276j7.2_84520	12	16	14	10	22	14	16	11	19	0	16	13	12	16	10
apip_84521	7	10	12	10	7	2	3	2	9	0	7	9	3	8	8
vav3b_84522	38	51	23	47	43	46	39	21	29	0	22	34	35	38	37
hsp70l_84523	13	10	15	5	16	5	2	2	21	0	15	6	4	9	6
rps6_84524	48273	33142	42310	34373	35534	59065	34855	29956	38222	48	61447	37856	34802	37511	34382
rhoh_84525	1	3	2	3	1	1	2	1	4	0	3	0	6	1	1
kif23_84526	98	103	125	116	146	115	136	96	111	1	107	149	123	136	162
agla_84527	8	3	4	8	13	8	0	2	10	0	4	2	5	6	11
srd5a3_84528	6	0	3	5	7	3	7	9	4	0	3	2	15	12	9
sox9a_84529	69	54	53	42	46	56	33	57	56	0	89	39	47	42	35
il6_84530	2	3	4	10	8	2	2	3	5	0	6	2	5	9	4
atp6v1f_84531	437	467	439	342	455	362	520	428	379	1	337	432	465	385	493
dnajb2_84532	22	10	21	15	21	21	13	18	22	0	20	16	14	15	23
si:ch211-113a14.18_84533	206	177	251	177	127	197	116	197	150	1	256	112	180	146	132
grnb_84534	840	844	1021	889	1248	916	1103	651	781	0	805	1203	893	953	1229
kcnf1b_84535	6	2	4	0	6	1	2	3	4	0	3	1	1	2	3
erbb2_84536	11	20	19	17	18	19	13	18	17	0	10	13	9	9	9
tomm34_84537	4	5	9	9	6	4	6	3	3	0	5	3	3	7	6
nsmfb_84538	27	10	6	10	11	9	2	5	4	0	23	12	9	10	11
thy1_84539	542	543	522	461	596	357	368	301	419	2	305	438	364	329	412
dpys_84540	28	25	25	30	27	38	22	25	35	0	36	27	25	30	15
ctnnd1_84541	27	21	23	11	11	16	16	22	17	0	21	18	17	15	16
flrt2_84542	3	2	3	5	3	1	7	2	4	0	4	2	7	6	2
tfap2a_84543	103	111	128	82	67	101	65	112	89	0	121	87	82	76	86
tcf7l2_84544	60	56	75	57	51	73	39	42	62	0	67	32	39	56	43
pgm3_84545	137	120	165	169	190	148	177	125	139	0	150	177	142	178	161
naalad2_84546	29	32	16	13	22	29	18	29	16	0	20	20	15	14	27
fgfr4_84547	1303	1135	1183	971	911	1483	914	1089	1211	0	1557	822	1044	1064	826
siae_84548	38	13	38	54	35	25	37	19	38	0	42	27	46	37	41
hsd17b8_84549	11	20	15	13	24	7	11	18	16	0	14	8	19	9	14
cebpa_84550	82	78	78	65	78	67	49	72	82	0	87	46	58	60	71
naa20_84551	41	37	43	35	18	39	33	28	32	0	57	26	20	32	30
ppa1b_84552	794	768	863	907	746	649	766	749	804	0	697	794	932	742	913
spc25_84553	15	18	17	14	23	20	16	23	14	0	21	7	21	10	13
mgmt_84554	39	13	27	23	20	20	16	12	16	0	60	7	20	18	23
tpi1b_84555	163	152	162	103	97	90	131	154	85	0	184	104	147	91	99
tmx1_84556	80	25	31	34	34	69	38	35	49	0	80	25	48	54	43
smc3_84557	179	182	153	107	101	162	166	130	187	0	219	129	161	115	97
nid2a_84558	1146	735	1013	658	1064	936	980	738	847	3	1154	975	882	849	880
coq8a_84559	59	48	60	40	34	62	34	54	78	0	109	58	53	59	45
sh3bp5b_84560	11	7	16	9	10	7	6	12	9	0	32	9	8	13	18
ppcs_84561	19	30	29	36	22	29	23	21	42	0	39	41	23	36	18
trim25_84562	0	0	1	1	6	1	0	2	3	0	1	4	3	7	4
piezo1_84563	50	40	58	28	46	38	48	42	42	0	42	30	34	31	50
CABZ01068499.1_84564	1	3	2	5	1	0	2	1	0	0	2	0	2	3	5
gfap_84565	156	151	108	100	102	123	159	124	118	0	216	172	134	121	115
adipor1b_84566	81	96	114	75	87	89	111	75	118	0	79	79	100	62	88
slc44a4_84567	0	1	0	0	0	2	1	0	0	0	0	0	2	0	0
psmd9_84568	6	8	11	10	7	3	2	8	11	0	2	6	5	13	8
epha3_84569	817	717	764	926	915	888	873	743	1031	0	783	972	775	1033	880
zgc:103700_84570	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0
atf6_84571	144	164	115	167	212	150	183	133	121	2	152	192	130	193	153
tbpl1_84572	11	3	5	12	6	5	5	9	8	0	4	1	11	13	7
stxbp2_84573	37	24	37	21	19	24	17	16	19	0	14	11	13	33	13
fgf17_84574	3	3	3	2	5	4	1	1	1	0	0	0	0	2	0
gnpda1_84575	28	14	21	26	22	35	24	23	32	0	40	13	31	26	13
tes_84576	9	3	13	9	23	4	1	11	16	0	14	6	10	17	5
orc1_84577	15	8	6	20	9	22	9	8	18	0	14	7	17	16	17
