X	Mhex_1.2EC10_24h_run1	Mhex_1.2EC10_24h_run2	Mhex_1.2EC10_24h_run3	Mhex_1.2EC10_24h_run4	Mhex_1.2EC10_24h_run5	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5
itgb1a_85794	0	3	0	5	1	4	2	1	0	0	0	1	3	1	2
kcnk17_85795	4	2	0	0	2	0	0	2	0	0	0	1	1	1	1
coro1a_85796	9	12	9	10	14	8	5	4	12	0	13	11	13	8	5
zgc:64002_85797	2	2	1	0	0	2	2	4	0	0	6	2	1	2	4
washc5_85798	284	204	305	280	365	217	359	324	418	0	240	290	267	229	321
plod3_85799	172	114	121	97	96	289	122	151	65	0	237	127	72	32	68
nt5e_85800	3	2	7	3	2	2	11	6	3	0	4	5	0	3	2
ddit4_85801	17	13	15	13	11	43	15	29	16	0	49	11	25	8	16
prss1_85802	19	16	11	13	11	11	6	16	15	0	21	23	17	31	17
c1r_85803	1	8	0	5	9	9	5	3	0	0	3	5	3	3	7
kcnq3_85804	0	1	6	0	1	9	1	1	2	0	10	2	3	0	0
XKR4_85805	21	14	13	6	19	15	5	22	4	0	15	15	7	11	8
si:ch211-171h4.6_85806	3	8	0	0	1	2	1	0	1	0	5	1	2	2	4
per3_85807	234	192	249	324	337	303	286	237	323	0	283	287	261	223	309
lef1_85808	13	4	12	4	6	4	5	16	4	0	23	6	5	9	2
ets1_85809	5	5	2	6	10	19	4	4	8	0	3	4	15	6	5
gzm3.4_85810	6	0	4	0	2	3	0	0	0	0	2	3	0	6	0
smad5_85811	5	4	5	5	7	9	8	4	1	0	11	10	2	3	5
bzw1b_85812	31	47	25	62	0	179	31	8	26	0	40	31	6	49	1
si:dkey-211g8.1_85813	0	3	0	1	1	0	2	5	3	0	2	2	5	2	0
cyp4f3_85814	2	3	3	4	4	3	2	1	3	0	4	0	1	7	6
h1f0_85815	12	5	11	10	7	13	8	13	7	0	15	9	18	3	13
gdf7_85816	4	5	5	10	1	5	6	4	8	0	6	1	9	3	6
egr1_85817	3	6	9	4	13	6	9	6	9	0	5	7	8	8	17
her9_85818	9	22	4	9	9	0	23	3	8	0	12	17	3	7	6
hmgb1a_85819	289	110	275	237	234	416	230	337	105	0	418	185	305	236	197
grin3bb_85820	19	12	11	11	21	10	29	5	21	0	10	16	13	7	15
kif13a_85821	47	69	38	62	58	102	121	67	58	0	60	61	93	71	58
mbpb_85822	34	19	26	26	16	35	33	22	22	0	30	22	33	22	13
dub_85823	1	17	8	6	11	12	13	16	6	0	9	23	15	17	5
si:dkey-21h14.3_85824	7	3	2	11	7	10	9	8	8	0	12	14	4	18	8
si:dkey-251i10.1_85825	22	23	14	28	17	12	14	18	11	0	15	22	19	12	12
slc2a6_85826	0	0	1	3	0	0	0	0	1	0	2	0	1	0	0
map3k5_85827	1	0	0	4	0	1	4	4	1	0	3	2	3	5	3
wisp1a_85828	2	2	1	4	3	0	1	5	2	0	2	1	3	3	0
rpa3_85829	123	129	151	102	118	113	120	166	124	0	64	122	165	174	123
hdac1_85830	3275	2894	3412	3635	3438	4046	3468	3381	3261	4	3734	3160	3644	3113	3027
sema5a_85831	12	9	6	15	15	20	8	5	14	0	18	9	13	11	8
ptpn6_85832	5	3	12	10	3	2	3	1	3	0	7	3	2	7	3
bub3_85833	560	483	720	706	917	526	649	620	811	0	508	722	752	660	714
bcl6a_85834	37	43	61	46	78	44	32	57	61	0	24	54	74	55	74
pdia6_85835	627	448	564	559	776	355	717	544	818	0	604	722	539	956	696
si:dkey-219e21.2_85836	3	10	2	3	2	3	4	6	3	0	8	9	6	0	9
zgc:113921_85837	79	47	48	75	70	168	60	78	39	0	140	61	53	29	28
igl3v2_85838	3	0	0	1	3	5	5	0	7	0	3	5	5	0	6
ywhaz_85839	142	95	148	120	126	93	97	137	103	0	102	117	158	140	89
nuak2_85840	19	12	12	9	5	22	6	11	5	0	18	5	7	9	16
bnip3_85841	14	5	6	15	8	9	7	15	3	0	14	8	12	7	12
eif3k_85842	516	261	448	353	339	634	561	766	401	0	714	532	797	471	197
mad2l1_85843	369	351	487	389	387	380	410	540	424	1	343	544	503	519	392
amigo1_85844	0	3	1	0	4	0	0	3	1	0	1	2	1	1	0
usp1_85845	52	32	47	31	27	64	31	53	25	0	53	23	55	26	17
hsd3b7_85846	11	10	1	7	13	34	8	18	6	0	18	8	12	9	4
mthfd1a_85847	7	10	4	17	9	10	3	13	7	0	10	10	12	14	7
tuba1b_85848	36	20	106	10	79	46	15	44	13	0	38	53	19	17	19
psmb10_85849	21	37	41	29	11	55	30	11	23	0	69	30	28	18	4
acbd3_85850	36	27	33	28	31	33	29	57	38	1	18	21	48	21	18
aurka_85851	186	160	182	151	136	167	166	192	147	1	149	175	233	155	102
col11a2_85852	12	24	16	22	13	7	17	22	14	0	18	19	19	16	6
col5a1_85853	68	46	47	61	46	102	43	62	39	0	111	55	53	23	24
sh2d1ab_85854	1	1	8	0	4	0	1	6	17	0	0	0	0	0	0
cuedc2_85855	22	13	16	14	28	16	22	27	24	0	9	25	30	33	13
knl1_85856	41	40	51	45	41	25	34	23	64	0	28	58	51	54	35
agtrap_85857	29	31	54	37	33	16	34	18	70	0	15	32	18	115	63
cdkn1bb_85858	154	130	176	88	146	280	140	260	52	1	258	217	209	67	65
calua_85859	3	4	1	5	4	3	4	4	10	0	4	10	2	7	6
dusp4_85860	1	0	2	4	4	4	3	4	3	0	4	6	0	1	10
ptprk_85861	1	2	0	1	1	1	4	0	0	0	3	1	0	0	0
pdlim1_85862	239	165	202	217	186	190	171	201	153	0	202	202	247	196	144
rnps1_85863	64	48	51	52	19	68	44	32	39	0	66	54	68	55	33
gemin5_85864	21	13	31	23	12	56	18	30	31	0	49	20	40	13	21
fermt2_85865	3	17	10	15	6	18	11	9	16	0	10	10	20	18	6
igfbp6a_85866	2	1	1	0	2	0	1	4	1	0	0	3	0	0	3
ddr2l_85867	14	7	8	7	14	37	11	17	5	0	20	12	18	1	8
slc5a3b_85868	30	16	17	16	13	26	23	23	11	0	30	14	28	33	8
macf1a_85869	281	215	329	280	290	393	301	323	208	0	329	264	339	198	183
mhc2b_85870	4	0	1	0	0	0	0	0	0	0	1	0	0	1	1
si:ch211-120g10.1_85871	3	6	3	5	1	1	1	1	2	0	0	2	3	4	2
dusp6_85872	313	141	296	236	236	227	250	168	313	0	260	325	292	245	202
vtg4_85873	5	0	1	2	0	5	4	0	1	0	2	2	0	4	2
topbp1_85874	53	32	40	42	37	74	45	57	29	0	69	48	84	34	50
ebp_85875	20	7	11	10	10	10	15	12	24	0	8	9	15	18	11
dhx29_85876	17	6	12	19	13	25	15	25	6	0	22	11	15	8	12
si:ch73-364h19.2_85877	6	7	6	7	4	1	2	2	2	0	8	1	2	4	4
bhlhe40_85878	14	18	13	15	16	16	21	15	26	0	14	23	19	13	5
mpeg1.1_85879	1	0	0	0	0	2	1	0	0	0	0	0	0	0	2
cdc42_85880	123	94	132	85	83	112	94	93	91	0	121	110	153	116	64
tgm8_85881	4	1	1	3	3	3	8	0	2	0	0	4	0	1	2
ahr1b_85882	24	19	38	45	39	14	35	42	39	0	11	29	31	35	44
kcnh4a_85883	1	1	0	0	2	0	0	0	0	0	2	1	0	1	2
gadd45aa_85884	3	0	0	0	1	0	0	0	0	0	0	1	1	4	4
c1d_85885	101	85	99	105	130	77	105	63	132	0	83	109	106	106	93
xpnpep3_85886	26	15	29	15	15	34	16	21	19	0	33	21	48	25	24
zgc:92137_85887	0	3	5	5	5	6	3	0	0	0	1	2	3	8	2
b3gnt2b_85888	1	3	1	2	6	5	3	5	5	0	0	7	1	4	3
grin3a_85889	2	0	0	1	0	4	2	2	0	0	0	1	4	1	5
slc29a1b_85890	6	1	1	0	0	4	2	0	0	0	0	1	0	3	1
pigf_85891	6	1	2	2	1	1	4	7	1	0	5	2	1	7	8
gstm.1_85892	88	73	84	140	104	88	104	63	119	0	74	105	143	161	100
slc16a1b_85893	30	35	28	31	20	45	18	20	19	0	27	17	28	43	12
ms4a17c.1_85894	0	0	0	3	0	0	1	0	2	0	4	2	0	0	2
fgf2_85895	11	19	14	6	6	12	16	23	6	0	14	5	21	7	12
afap1l2_85896	3	10	8	1	2	6	5	4	1	0	8	5	10	4	4
barx2_85897	26	24	31	25	38	20	28	31	19	0	28	14	36	28	30
vps72b_85898	3	0	1	0	2	4	2	7	0	0	2	4	2	5	1
cldn7a_85899	4	3	2	1	5	4	2	0	0	0	5	6	2	4	3
ddb2_85900	5	16	5	10	3	8	14	13	5	0	9	14	11	5	8
si:dkey-185e18.7_85901	19	15	19	39	12	24	8	18	17	0	19	10	13	10	16
nosip_85902	244	255	361	381	446	370	363	363	492	0	280	383	328	361	445
rap2c_85903	127	91	108	126	123	155	121	159	67	0	112	113	106	74	81
slc1a1_85904	14	4	17	10	8	7	1	10	8	0	4	12	14	10	8
hoga1_85905	22	16	18	14	12	13	12	26	7	0	35	16	18	14	11
decr1_85906	151	97	148	120	95	154	95	180	110	0	188	101	188	121	79
aasdhppt_85907	9	5	3	4	1	7	6	11	3	1	4	6	11	7	4
aip_85908	3	1	1	2	2	1	1	13	3	0	2	1	1	4	7
btr05_85909	2	2	1	0	1	0	1	0	7	0	3	5	2	0	3
arhgap1_85910	111	70	128	187	142	55	107	99	285	0	44	169	129	260	242
hsp90aa1.2_85911	241	153	358	304	265	208	221	412	374	0	162	228	358	373	306
fzd7b_85912	38	37	41	55	37	54	44	29	34	0	48	36	67	34	23
epn2_85913	12	13	4	13	13	25	17	24	10	0	24	11	22	16	9
psap_85914	80	62	57	47	30	169	54	68	46	0	76	64	76	60	49
cdk4_85915	44	13	23	11	20	64	18	36	26	0	60	37	42	20	9
mthfd2_85916	16	13	19	17	6	25	9	16	22	0	16	27	17	12	9
icn_85917	309	225	323	274	249	434	195	396	261	0	347	197	413	335	167
asb5b_85918	5	4	3	9	6	4	9	11	4	0	5	8	14	13	15
cx30.3_85919	12	15	30	8	10	26	16	21	18	0	26	8	23	19	11
eif4g1a_85920	0	0	4	1	1	5	8	4	3	0	5	16	6	9	6
bub1bb_85921	114	82	120	120	133	72	112	100	109	0	54	87	127	122	123
notch1b_85922	398	368	568	737	842	327	614	402	799	0	342	618	478	591	923
wdtc1_85923	25	9	11	15	13	16	5	15	8	0	15	9	18	7	16
gdpd3a_85924	6	8	7	9	7	7	9	9	11	0	9	7	9	7	5
KHDRBS3_85925	27	16	16	23	17	55	19	28	9	0	51	18	32	31	19
xrcc5_85926	216	187	258	263	270	243	201	203	311	0	157	252	280	279	234
fstl1b_85927	12	3	10	11	9	17	8	7	6	0	15	6	12	9	11
kcng1_85928	0	1	1	2	1	4	1	4	0	0	1	3	2	1	2
fgf21_85929	1	5	1	1	4	3	0	2	6	0	0	1	0	1	3
si:ch211-197g15.6_85930	0	0	0	1	0	0	2	2	0	0	2	2	2	0	0
camk1gb_85931	0	1	3	7	4	3	4	8	1	0	3	2	5	14	9
wu:fi04e12_85932	320	204	261	270	256	482	273	446	226	0	384	259	350	230	239
gdpd5a_85933	34	20	26	26	33	42	27	24	23	0	58	25	22	10	24
cenpf_85934	251	296	247	342	312	299	378	312	328	1	233	325	299	310	260
creb1b_85935	13	3	7	5	2	2	7	4	9	0	12	7	3	6	12
plp1a_85936	254	236	275	253	251	245	263	261	289	0	211	280	311	268	205
enpp2_85937	6	4	0	11	0	2	6	2	5	0	11	2	5	3	4
gabbr1a_85938	6	3	1	2	0	1	6	0	6	0	1	0	3	2	2
si:zfos-2070c2.3_85939	0	0	0	1	1	4	0	4	3	0	0	0	1	3	1
acsl1a_85940	197	223	281	327	312	224	286	254	324	0	187	245	330	285	346
nsfa_85941	14	7	15	8	10	20	19	15	6	0	16	14	17	10	12
usp14_85942	448	417	671	452	409	325	504	598	508	0	378	553	629	607	369
ephb2a_85943	28	20	30	37	37	46	39	20	48	0	49	41	40	25	38
wrb_85944	23	15	16	15	13	20	17	25	12	0	15	13	37	11	10
dapk1_85945	39	28	37	25	26	56	25	25	18	0	66	33	25	27	24
cebpz_85946	298	281	360	327	391	258	335	255	376	0	255	326	321	341	388
slc7a6_85947	12	6	4	14	7	11	1	11	2	0	8	6	7	18	7
tnfrsfa_85948	8	4	6	10	6	14	2	6	6	0	7	13	11	4	12
senp6a_85949	122	125	129	146	127	297	128	146	82	0	259	131	165	81	81
bdnf_85950	4	5	2	7	12	3	7	7	9	0	5	7	6	4	16
mnat1_85951	48	42	46	26	30	40	41	35	39	0	32	49	58	53	33
abcc4_85952	85	89	99	77	136	67	88	111	104	0	97	77	75	66	108
cerk_85953	90	68	86	109	102	141	108	129	90	0	127	88	115	82	75
pik3ca_85954	36	24	32	13	18	70	23	36	23	0	41	13	37	12	18
trim47_85955	9	10	9	19	15	10	21	10	11	0	12	20	20	15	12
ifngr1l_85956	10	5	4	8	8	19	3	1	5	0	11	6	13	3	0
abcb6a_85957	17	18	14	17	12	24	14	16	10	0	31	15	29	8	16
fam57a_85958	106	114	163	111	105	78	111	186	143	1	75	131	156	177	94
pycr1a_85959	3	2	2	4	2	1	5	1	4	0	3	1	6	3	1
rpia_85960	33	19	0	42	7	123	4	22	29	0	44	17	22	12	7
srsf7b_85961	7	0	2	2	7	3	1	2	4	0	0	6	0	1	5
scn8ab_85962	32	20	53	29	18	35	30	23	18	0	22	21	26	15	26
smc2_85963	369	320	437	347	288	579	353	458	234	0	577	325	473	290	247
nmur1b_85964	1	1	0	2	5	4	0	2	0	0	0	5	0	4	3
acadvl_85965	8	8	20	9	14	13	15	18	20	0	13	25	14	9	15
elovl6_85966	25	17	25	30	30	15	24	32	32	0	21	20	39	30	13
znf367_85967	80	52	79	62	61	162	58	109	52	0	104	89	122	34	51
gnb1a_85968	2	7	2	8	5	16	8	5	11	0	11	2	12	2	10
slc1a2b_85969	7	6	9	5	7	10	6	22	5	0	1	7	11	22	4
rbm47_85970	61	43	64	66	55	117	53	56	37	0	88	50	67	74	48
cdk5r1b_85971	8	3	10	9	5	11	3	7	3	0	1	6	5	14	4
mrpl3_85972	14	22	12	8	14	9	11	24	12	0	4	10	13	17	17
eif3c_85973	82	46	34	42	42	76	69	84	50	0	70	52	65	51	31
tnip1_85974	374	239	305	290	290	539	268	302	212	0	533	312	363	197	207
ints6l_85975	17	13	0	9	7	6	9	3	4	0	39	22	1	15	6
actl6a_85976	654	672	953	1015	997	547	962	678	1131	1	575	942	880	1191	1076
cdkn3_85977	37	32	40	35	44	39	41	28	36	0	36	28	28	34	25
hectd2_85978	10	2	18	11	14	8	14	15	3	0	7	12	10	12	9
impdh2_85979	151	145	220	207	228	207	224	230	192	0	186	201	251	226	197
cct6a_85980	5563	5833	6994	9145	9411	4468	8536	6460	9243	1	4544	6899	6512	7871	8567
cltcl1_85981	9	6	13	11	9	22	12	14	10	0	17	13	8	11	7
rai14_85982	157	99	143	170	135	209	127	155	137	0	185	173	135	147	164
angpt1_85983	38	25	36	41	48	49	19	66	32	0	33	37	48	31	48
slc25a6_85984	1	5	0	1	2	2	4	3	1	0	3	3	2	3	3
usp6nl_85985	104	90	145	149	112	68	128	143	89	0	63	122	125	100	122
pnkp_85986	215	211	221	202	245	161	252	189	285	0	228	292	258	229	252
slc7a1_85987	2	1	3	2	5	0	2	0	5	0	2	4	4	2	2
bzw1a_85988	238	194	192	163	124	139	183	206	154	0	188	192	249	143	143
pcdh2ab5_85989	4	5	3	5	1	9	2	8	3	0	4	3	3	8	4
mrpl13_85990	253	176	253	144	184	219	199	211	205	1	217	227	274	209	157
smo_85991	359	290	302	331	340	388	324	381	286	0	394	338	425	251	190
lsr_85992	5	11	0	1	0	3	7	3	1	0	0	1	2	4	1
arf4a_85993	3	3	3	3	8	5	2	1	4	0	2	1	3	4	2
tm2d2_85994	108	77	117	94	91	177	94	116	87	0	182	75	104	88	60
dera_85995	74	43	88	87	86	99	77	115	115	0	80	100	76	83	63
LEPROTL1_85996	195	127	132	147	188	260	130	140	188	0	184	170	197	195	138
mrpl36_85997	39	34	36	56	46	17	30	14	102	0	26	51	28	93	63
akip1_85998	4	1	0	0	0	0	2	0	1	0	0	2	0	1	0
racgap1_85999	40	47	41	21	29	54	53	40	26	0	35	41	70	33	22
b4galt5_86000	3	4	7	6	3	3	8	2	7	0	6	3	3	1	2
adarb1a_86001	9	6	12	19	10	13	15	14	15	0	10	12	15	8	5
cmss1_86002	3	14	11	8	4	6	8	4	5	0	0	8	6	6	6
hist1h2a4_86003	399	62	173	86	61	593	21	133	93	0	35	70	284	88	46
cyp11a1_86004	4	10	4	4	3	11	3	2	5	0	0	0	0	8	7
hmox2b_86005	91	41	71	96	95	120	69	106	69	0	98	71	115	35	74
cyp1b1_86006	2	1	3	3	4	3	3	1	4	0	4	3	6	7	5
pdlim4_86007	8	4	4	10	7	3	4	7	6	0	2	12	3	10	7
ahrrb_86008	0	7	1	3	0	2	4	0	0	0	1	7	3	2	2
tfap2c_86009	157	115	120	137	113	161	141	126	90	0	108	112	173	113	111
zic2a_86010	217	169	180	222	231	176	189	213	168	0	234	197	209	171	172
mbtps1_86011	54	47	44	43	41	64	39	55	29	0	62	51	77	45	21
fpgt_86012	0	0	0	2	1	0	5	2	1	0	2	4	3	2	2
snap25a_86013	8	5	6	4	7	25	5	0	1	0	15	9	3	0	3
cecr2_86014	386	208	368	256	344	414	335	375	352	0	350	284	502	218	212
mindy1_86015	99	40	92	69	89	134	88	126	56	0	109	74	99	59	51
gpc1a_86016	30	15	0	22	41	30	20	11	27	0	20	22	24	36	26
ebna1bp2_86017	555	476	667	464	514	385	502	561	551	0	399	619	620	689	476
txndc9_86018	548	413	420	273	582	389	347	304	423	0	305	654	468	516	554
wnt2_86019	0	2	1	0	0	1	2	1	3	0	1	4	0	2	0
nck2b_86020	177	132	230	218	248	151	227	176	235	0	172	194	185	153	228
e2f8_86021	135	131	193	215	209	219	210	208	135	0	241	199	232	130	108
mmadhc_86022	199	127	274	288	273	172	160	169	281	0	165	201	185	298	253
chrd_86023	18	25	32	45	40	38	36	36	22	0	57	24	23	17	45
tent5c_86024	83	88	112	111	129	123	130	90	135	0	106	160	97	116	174
ace_86025	5	6	1	2	4	4	5	5	5	0	3	5	5	1	4
rpn1_86026	152	124	161	161	136	179	114	103	124	0	154	166	148	127	120
duox2_86027	35	17	24	37	69	33	16	9	37	0	42	28	28	18	39
pdgfbb_86028	4	2	0	0	5	4	1	2	0	0	7	5	3	6	1
scn1ba_86029	5	4	2	0	0	4	3	4	6	0	1	2	4	2	4
vsx1_86030	12	6	15	4	9	12	18	13	6	0	8	12	17	5	3
fabp1a_86031	1	6	1	0	1	0	3	0	3	0	3	1	5	1	3
ptprc_86032	8	1	1	12	11	7	15	7	12	0	7	4	3	13	30
mtmr2_86033	2	4	3	1	4	12	4	10	1	0	5	1	10	1	3
ugt1a2_86034	10	13	8	7	6	41	5	5	2	1	25	14	16	8	7
smpdl3a_86035	8	7	5	12	11	14	6	9	10	0	8	8	4	7	8
mrpl40_86036	6	3	5	6	7	5	5	5	1	0	4	5	4	4	0
nsmfa_86037	38	46	95	72	173	95	67	63	79	0	106	99	46	63	140
bmp4_86038	26	30	26	21	23	41	35	39	13	0	40	43	34	21	36
hmgcra_86039	4	6	2	1	0	3	5	3	3	0	1	1	3	3	1
syne2b_86040	93	71	81	91	86	125	98	91	77	0	99	81	121	63	42
il1b_86041	1	0	0	0	0	3	3	3	1	0	0	0	1	0	6
klf9_86042	8	7	4	6	11	11	6	19	20	0	11	8	11	13	11
lcp1_86043	18	5	1	6	8	18	9	4	7	0	5	17	13	9	7
map2_86044	12	6	7	9	9	16	14	9	14	0	12	8	15	9	2
rpp40_86045	12	12	5	1	5	9	3	11	6	0	6	10	12	9	6
npas4a_86046	4	1	0	8	1	0	4	0	1	0	0	5	3	4	1
slc5a6a_86047	10	8	6	6	4	16	3	11	8	0	16	3	9	3	6
slc37a4b_86048	17	6	18	12	5	15	12	23	21	0	31	19	15	8	7
lhcgr_86049	0	1	0	0	0	0	4	2	1	0	2	8	5	1	0
igfbp7_86050	3	6	1	3	1	2	9	2	2	0	0	3	0	4	2
pdcd6ip_86051	10	5	19	11	3	21	5	8	7	0	24	7	25	7	9
cltb_86052	9	31	31	21	24	8	15	49	21	0	25	31	28	38	11
cdx1b_86053	2	3	6	4	5	0	2	1	3	0	2	2	2	6	5
mbnl2_86054	83	52	74	41	76	125	65	103	44	0	154	59	107	36	41
gpia_86055	9	7	1	6	10	8	7	11	5	0	8	5	14	10	4
nme4_86056	0	0	0	1	2	1	2	3	3	0	3	1	2	0	8
htatsf1_86057	211	159	222	181	157	314	162	209	167	0	253	214	267	203	152
si:ch73-248e21.1_86058	33	29	67	31	50	42	37	76	44	0	54	33	42	38	33
dync1h1_86059	991	822	1082	947	971	1731	967	1096	862	0	1507	1087	1270	792	664
pak6a_86060	4	3	3	4	2	1	0	3	6	0	1	8	2	2	5
ap2m1b_86061	2	0	4	1	1	6	0	3	0	0	2	2	2	0	0
ciao2b_86062	172	111	196	118	158	131	160	136	174	0	128	171	218	183	153
sdhb_86063	41	25	44	36	27	74	43	53	27	0	78	45	66	42	31
atp5s_86064	31	15	6	16	17	33	15	18	17	0	20	13	15	16	20
depdc1a_86065	7	5	14	16	4	12	3	12	6	0	15	12	10	4	8
g0s2_86066	1	3	0	2	3	5	2	2	8	0	2	0	5	0	7
gpx4b_86067	10	11	7	12	10	20	16	18	9	0	23	25	17	15	5
ptger4a_86068	0	2	2	1	3	4	0	1	1	0	1	1	8	0	2
hcst_86069	6	6	5	9	7	5	5	7	4	0	2	13	6	4	2
tph1b_86070	2	2	4	3	9	13	2	3	14	0	0	7	9	10	5
cdt1_86071	0	2	2	0	4	4	4	2	5	0	3	0	0	1	2
pou3f1_86072	567	614	679	493	734	660	664	806	575	1	698	775	690	658	527
glrx_86073	56	35	65	58	40	55	49	51	60	0	57	64	44	59	43
jak2b_86074	10	7	5	6	5	4	14	12	5	0	10	11	6	7	1
rps6ka1_86075	47	22	36	20	23	34	24	29	29	0	30	27	22	29	27
mycbp_86076	204	136	184	197	209	159	159	143	173	0	152	204	224	195	121
plod1a_86077	116	100	106	125	111	121	118	107	112	0	145	104	113	83	98
dusp1_86078	304	221	316	261	294	371	257	397	244	0	341	274	364	317	246
pparab_86079	3	4	0	2	1	4	1	1	2	0	4	0	6	6	1
ctcf_86080	208	253	283	287	219	456	276	248	259	0	104	280	363	31	171
nt5dc2_86081	176	109	173	110	205	68	149	148	243	0	106	177	155	256	168
jade2_86082	3	3	6	2	5	7	2	10	2	0	2	4	6	3	7
pdgfrb_86083	12	11	22	5	8	6	10	12	10	0	13	12	19	9	7
lamc2_86084	2	2	0	1	2	2	0	6	0	0	3	3	2	2	7
mylka_86085	0	6	6	3	8	7	6	4	8	0	4	7	8	4	5
dck_86086	20	11	22	10	14	34	13	26	11	0	29	22	29	10	12
ppargc1a_86087	71	57	69	79	78	82	65	79	47	0	91	87	89	55	64
dla_86088	104	112	143	228	165	143	171	92	168	0	158	146	151	160	178
scn12aa_86089	1	4	0	1	1	0	3	5	1	0	1	1	3	4	5
nr2f6a_86090	74	50	63	56	33	106	65	96	33	0	112	64	64	39	34
cemip2_86091	589	551	682	783	805	633	784	732	854	0	687	789	792	698	750
tnni1b_86092	0	0	8	2	2	0	2	0	5	0	3	0	11	0	0
ccdc80l1_86093	24	23	37	15	17	29	21	50	13	0	36	18	32	23	11
aurkb_86094	116	78	108	70	81	124	100	122	62	1	158	77	129	54	44
clk2a_86095	62	45	51	44	53	110	51	72	38	0	80	51	63	43	34
txnl4b_86096	4	3	2	3	4	2	2	8	10	0	6	4	13	2	10
ighv13-2_86097	9	0	0	2	3	7	3	2	5	0	4	53	2	4	4
plekha7b_86098	33	22	23	21	22	33	16	48	15	0	46	26	51	12	16
dio2_86099	0	2	0	5	2	4	4	4	4	0	1	1	0	3	4
samd11_86100	19	6	10	17	9	49	7	10	5	0	44	9	15	9	6
psma1_86101	164	71	234	93	76	201	75	134	164	0	162	140	214	192	100
tmppe_86102	13	8	9	6	5	6	6	8	5	0	6	8	13	8	5
papss1_86103	12	4	19	7	3	50	5	26	5	0	26	9	12	14	3
eif3ea_86104	0	0	2	2	3	0	1	1	1	0	3	1	4	3	0
pgr_86105	2	3	0	3	2	0	4	0	0	0	1	1	1	5	5
rab25b_86106	1	0	5	3	0	6	0	0	3	0	4	1	3	1	4
ttk_86107	4	1	1	7	4	0	6	1	3	0	1	2	3	4	9
pdgfc_86108	1	3	0	1	0	0	0	0	0	0	0	2	2	1	2
m17_86109	1	1	1	2	0	1	0	0	0	0	0	0	0	2	4
usp22_86110	13	9	15	19	9	15	9	25	9	0	34	13	26	12	11
ugdh_86111	602	490	673	775	710	565	828	785	826	1	598	745	707	712	861
hspa5_86112	1412	1316	1594	1674	2069	1165	1991	1677	1598	1	1332	1938	1633	1521	1965
eps8l3b_86113	1	3	0	2	0	0	1	1	0	0	0	0	0	1	4
slc26a2_86114	35	24	32	23	27	33	27	37	20	0	22	27	41	29	36
psmd3_86115	8	6	11	9	9	4	13	3	16	0	7	3	10	13	10
rac1a_86116	212	129	282	79	135	127	160	174	140	0	171	218	206	214	107
kif15_86117	11	14	15	15	24	9	12	20	11	0	16	19	14	8	7
btr21_86118	0	3	0	0	1	3	3	0	0	0	0	0	2	1	1
cygb1_86119	46	25	40	14	38	39	16	40	19	0	29	28	47	26	17
arl6ip1_86120	664	570	829	689	651	686	663	842	767	0	663	766	743	887	631
vegfd_86121	20	26	17	17	19	17	30	19	9	0	16	40	41	11	16
ppic_86122	3	0	1	0	0	1	0	2	2	0	0	0	0	3	1
sec11a_86123	19	10	16	6	8	8	13	6	7	0	6	9	8	0	14
gtf2h2_86124	35	21	33	18	17	43	24	45	18	0	20	24	26	19	17
tbc1d9_86125	5	2	0	5	2	0	2	0	1	0	2	8	5	2	1
phc1_86126	192	125	186	206	180	152	170	186	213	0	111	199	238	184	135
hoxa5a_86127	53	24	26	23	20	54	41	36	12	0	53	36	56	20	23
mmp19_86128	1	4	0	0	3	3	5	8	5	0	1	5	4	3	3
heatr1_86129	515	501	678	689	770	494	787	604	839	0	499	652	600	645	759
srsf1b_86130	722	637	852	1125	1178	1012	914	728	1012	2	783	953	772	919	1111
zeb2b_86131	112	95	157	183	239	72	179	147	148	1	78	168	132	126	198
si:ch73-211l2.3_86132	4	1	1	5	2	6	1	0	2	0	1	2	2	6	2
pdhb_86133	1081	401	994	1529	1097	748	1020	1376	1528	1	745	1011	709	1850	1927
lss_86134	5	2	4	4	6	5	9	6	6	0	4	4	1	3	0
sfxn5a_86135	2	2	0	1	4	1	6	0	1	0	0	2	3	2	1
ror2_86136	49	41	50	33	44	45	42	42	35	0	54	47	59	34	23
ctnnb1_86137	5070	4320	6400	5507	5361	2876	5801	5406	5535	1	3630	5923	6183	5596	5059
btr32_86138	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
polr1b_86139	138	73	138	30	127	31	92	97	111	0	78	29	112	147	61
cxcl12a_86140	394	324	355	419	395	308	384	470	459	0	346	371	395	369	296
glud1a_86141	14	8	15	14	12	47	23	34	18	0	25	20	16	14	13
drd6b_86142	2	7	1	0	1	3	1	8	1	0	4	4	2	2	4
tmem126a_86143	11	1	10	2	4	4	2	6	0	0	6	4	14	3	5
slc26a3.1_86144	0	5	2	0	4	3	1	9	8	0	0	3	4	6	7
kdm5c_86145	647	425	602	652	581	850	587	609	566	1	817	585	587	497	414
dsc2l_86146	197	152	258	305	295	178	311	203	332	0	163	213	205	345	298
psenen_86147	137	112	123	120	91	168	121	146	94	0	141	127	132	98	101
selp_86148	0	0	0	0	0	1	0	2	0	0	0	1	0	1	5
