X	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5	VPA_1.2EC10_24h_run1	VPA_1.2EC10_24h_run2	VPA_1.2EC10_24h_run3	VPA_1.2EC10_24h_run4	VPA_1.2EC10_24h_run5
gpr183a_84751	1	2	1	1	0	0	1	2	0	1	1	3	0	2	1
pip4k2ab_84752	0	1	1	0	0	0	2	0	0	0	0	0	0	3	1
arhgef19_84753	10	0	1	3	0	5	4	5	1	4	5	1	2	1	2
rab1ab_84754	53	35	28	58	0	28	64	36	56	54	50	27	37	54	45
mfsd2ab_84755	6	1	5	7	0	10	6	9	3	7	3	4	8	6	4
thbs1b_84756	109	98	132	66	0	107	89	137	79	76	104	49	113	61	66
nup93_84757	254	372	392	364	1	218	404	391	420	358	233	203	276	291	377
scnm1_84758	20	9	17	16	0	9	10	23	12	18	9	16	13	10	21
opn1sw2_84759	15	23	19	8	0	25	15	22	10	17	11	15	16	27	9
gdi2_84760	24	65	75	102	0	55	79	104	250	142	15	43	51	182	61
oip5_84761	127	231	240	194	1	124	225	234	273	243	102	94	223	204	242
trpc6a_84762	3	2	7	1	0	2	2	1	3	2	0	1	1	2	0
tubg1_84763	88	81	101	47	0	96	76	140	90	54	74	30	82	60	69
crtap_84764	25	16	13	28	0	11	15	25	23	24	21	8	16	21	15
adgra2_84765	11	12	5	5	0	10	4	8	6	5	2	5	12	7	11
slc13a5a_84766	15	1	10	4	0	4	10	12	15	17	6	11	12	12	11
CR628323.3_84767	6	11	1	4	0	8	13	7	4	0	4	9	3	6	0
uso1_84768	120	73	106	61	0	93	78	112	78	56	60	40	89	73	67
klhl13_84769	23	15	10	12	0	28	11	15	11	11	24	11	8	8	9
si:ch211-235i11.3_84770	207	295	165	249	2	185	229	203	173	309	113	232	195	230	357
srpx_84771	34	29	30	16	0	46	16	39	27	15	39	15	33	18	18
hspb1_84772	899	1109	1159	1894	0	894	1022	1163	1762	2371	366	913	1203	1682	2011
csnk1db_84773	130	67	94	73	0	119	80	100	67	38	68	33	88	43	45
mapta_84774	43	18	19	24	0	28	20	17	17	14	4	4	31	20	22
mlip_84775	11	13	5	1	0	2	3	5	9	4	3	1	2	5	10
dnttip2_84776	112	44	50	19	0	113	45	71	29	23	36	25	53	34	25
ran_84777	774	409	553	370	0	715	572	559	414	266	588	204	550	331	337
dexi_84778	31	6	11	14	0	25	18	24	24	10	6	6	21	18	8
abcg2b_84779	4	5	0	1	0	7	3	6	1	1	1	2	4	6	1
parp1_84780	379	252	412	209	0	494	236	431	239	134	171	122	263	227	190
eif4g2a_84781	1103	1086	1198	815	0	1119	931	1103	673	617	731	631	995	773	832
oaz1a_84782	2185	1406	1845	1437	1	1904	1577	1806	1605	1151	1228	886	1501	1423	1356
dlx5a_84783	18	9	28	22	0	27	12	21	18	18	9	7	25	19	19
ca8_84784	106	206	212	149	0	138	137	144	124	119	57	137	181	159	149
prkg1b_84785	9	1	1	0	0	4	8	6	3	2	4	5	2	3	0
ttc38_84786	0	1	1	1	0	0	2	0	1	1	0	0	2	0	2
fgf10a_84787	4	5	2	0	0	6	5	4	2	3	0	1	6	1	2
aifm2_84788	61	51	24	40	0	33	54	61	55	42	30	20	45	35	35
entpd1_84789	100	118	98	145	0	87	104	124	144	162	48	107	146	149	110
dnmt1_84790	0	1	0	0	0	0	2	0	0	1	0	0	0	0	2
kat6a_84791	529	597	561	461	0	588	539	678	451	430	449	317	592	573	563
ms4a17a.1_84792	0	3	6	0	0	4	0	0	2	2	0	0	2	1	1
atg3_84793	82	62	75	73	0	96	95	108	106	89	45	57	128	110	112
lingo1b_84794	12	8	14	9	0	11	16	4	13	8	9	8	14	10	15
igl4v8_84795	0	2	4	1	0	0	0	4	4	3	0	2	0	2	0
haus7_84796	12	36	20	33	0	19	38	26	36	35	14	18	33	54	34
gnai1_84797	87	27	76	47	0	72	60	68	34	27	38	26	49	58	36
kif1bp_84798	34	154	142	146	0	117	162	185	224	233	29	68	152	122	209
adrb2a_84799	23	14	28	14	0	11	17	9	17	37	14	11	22	18	25
slc35a1_84800	93	97	162	105	0	118	84	142	112	86	62	92	116	91	84
hist1h2ba_84801	31358	33320	28268	24943	11	29371	25565	29213	18685	21706	23412	14867	24430	22199	27906
nup107_84802	111	70	80	109	0	99	100	97	92	54	39	38	111	87	97
sbno2a_84803	198	101	144	85	0	153	105	164	78	70	120	72	89	78	98
prr7_84804	1	7	4	4	0	3	3	3	0	2	0	2	3	5	0
casp8l2_84805	28	36	47	20	0	50	15	28	27	20	13	16	23	28	19
mef2cb_84806	410	430	491	385	0	464	447	497	356	314	292	247	386	362	396
msh2_84807	16	4	1	5	0	13	6	2	10	5	17	7	3	4	4
slka_84808	67	19	30	13	0	43	17	32	17	16	29	12	26	13	7
trpc7a_84809	2	3	2	7	0	6	3	1	2	3	4	1	6	5	6
slc6a4b_84810	6	1	4	2	0	4	1	4	2	2	0	2	9	6	2
zgc:172315_84811	0	4	7	0	0	0	4	0	4	0	0	3	3	1	3
stat4_84812	1	2	3	3	0	2	4	5	1	5	3	3	11	3	3
PPP1CC_84813	390	414	568	438	1	331	425	486	387	416	254	297	437	368	452
si:ch73-236c18.3_84814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shcbp1_84815	39	21	27	19	0	32	24	33	19	18	26	7	26	21	14
AXL_84816	22	12	6	8	0	14	9	15	10	1	21	3	20	4	5
f2r_84817	8	15	14	21	0	14	14	9	17	10	6	8	8	9	22
inha_84818	2	0	3	6	0	2	1	1	9	1	0	5	6	1	2
nefmb_84819	323	80	321	124	0	178	82	284	168	186	100	130	198	147	212
hopx_84820	115	88	114	88	1	122	90	137	99	106	84	46	82	78	90
tert_84821	6	3	7	3	0	3	2	3	4	17	3	5	5	4	4
psme1_84822	3	0	1	0	0	3	3	0	0	2	3	2	4	3	1
rpl3_84823	6251	6728	4717	6837	4	6209	7348	6235	4716	5698	3439	4090	5085	5502	6412
rplp0_84824	17107	3410	5924	2297	2	14218	3694	5764	1847	1524	5661	1666	3748	1921	1850
fat1b_84825	2	1	0	0	0	7	2	1	3	2	0	2	7	0	0
b4galt4_84826	75	44	65	38	0	61	66	65	35	45	28	46	55	51	70
stx16_84827	32	27	32	17	0	23	13	29	18	16	18	2	19	12	7
nol11_84828	864	807	684	691	0	733	706	691	602	851	474	534	663	703	805
mfap2_84829	1165	1153	1042	1031	0	1321	1315	880	708	926	533	643	1120	969	1003
histh1l_84830	626	224	416	162	1	613	252	404	210	156	225	127	315	177	214
si:dkey-14o6.1_84831	58	107	138	104	0	81	107	127	96	165	66	100	224	152	137
malt1_84832	36	11	8	8	0	18	12	21	14	7	9	12	7	11	6
tgfb3_84833	4	4	4	5	0	2	0	2	5	4	4	2	10	6	2
map4k4_84834	247	71	112	32	0	242	63	64	43	42	89	46	86	49	52
CABZ01074994.1_84835	3	3	2	3	0	2	5	0	0	4	1	1	1	1	2
ubr7_84836	24	3	20	1	0	12	10	7	5	10	7	3	2	5	4
dennd2da_84837	34	8	24	9	0	14	22	19	11	13	28	8	18	20	19
melk_84838	215	127	190	133	0	213	150	195	129	117	92	83	153	113	141
tmbim1a_84839	309	301	372	369	0	318	310	273	373	336	159	265	392	349	429
dnajb9a_84840	18	4	18	7	0	18	7	11	4	4	13	3	12	10	8
galm_84841	55	93	149	126	0	81	69	112	112	96	24	78	169	102	173
gadd45ga_84842	66	19	52	16	0	48	31	26	29	18	25	18	28	19	12
syngr2b_84843	2	14	6	7	0	10	7	13	8	8	5	7	15	7	9
si:ch211-197g15.10_84844	0	0	0	3	0	0	2	4	4	3	0	2	2	0	3
vps4b_84845	172	233	285	387	1	177	305	272	367	351	99	184	254	347	380
sgce_84846	1	3	5	5	0	4	9	4	0	10	5	1	10	7	38
nfil3_84847	10	4	14	6	0	14	10	8	15	7	15	5	11	11	7
zmym2_84848	112	36	53	35	0	99	57	60	28	27	75	30	51	26	42
gria3b_84849	21	15	16	21	0	24	2	17	26	26	6	17	18	24	24
prkdc_84850	8	11	15	6	0	10	13	18	10	6	13	1	9	9	9
calr_84851	209	700	491	760	2	241	578	495	778	967	232	420	480	746	1070
tlr7_84852	0	1	2	0	0	0	2	1	0	0	2	0	2	0	0
col16a1_84853	199	141	132	166	0	213	124	181	103	150	143	141	150	167	174
tsg101a_84854	361	544	344	546	0	210	479	232	376	290	153	311	280	339	383
cav1_84855	297	341	386	464	0	254	419	383	699	438	214	257	433	535	535
si:dkey-222n6.2_84856	395	287	323	291	0	307	285	340	341	216	210	187	280	246	278
sptlc1_84857	3	0	13	3	0	2	3	3	0	2	0	0	2	0	3
sema3gb_84858	46	44	74	61	0	51	58	59	68	55	30	44	69	77	59
casp2_84859	20	3	8	6	0	16	8	9	13	3	12	5	4	10	5
lysmd3_84860	89	49	82	59	0	89	71	95	60	30	55	35	62	42	52
gnaq_84861	0	2	1	0	0	0	0	0	1	0	0	1	4	4	0
naa50_84862	10	9	7	10	0	3	4	7	8	5	3	2	7	2	4
mid1ip1l_84863	3	1	7	1	0	3	6	7	2	4	1	2	1	1	2
preb_84864	73	33	54	11	0	99	32	57	19	21	45	15	24	25	29
cdk5_84865	20	47	35	19	0	31	38	32	39	16	20	26	34	20	19
gucy1a1_84866	3	26	18	10	0	0	15	10	17	11	1	2	15	16	14
dusp3b_84867	2	0	0	1	1	0	2	0	0	2	0	1	10	1	0
cetn3_84868	219	232	254	287	0	214	253	295	306	262	123	156	212	252	273
nfe2l2b_84869	2	4	7	2	0	3	4	3	5	3	2	5	4	3	4
nsa2_84870	722	495	516	419	0	602	478	737	308	176	459	247	506	350	219
mapk9_84871	22	11	15	7	0	3	9	9	10	3	4	3	8	13	12
polr2eb_84872	1154	1054	1062	949	2	1041	945	1033	872	980	532	670	889	924	993
cd40_84873	13	7	9	26	0	14	8	10	10	7	14	1	9	10	14
ptbp2b_84874	24	7	9	4	0	9	4	9	3	2	12	7	6	4	3
apbb2b_84875	128	76	102	48	0	107	71	86	59	34	88	41	75	52	67
cox4i2_84876	1	1	0	3	0	1	1	2	2	4	0	0	7	1	2
si:dkey-21h14.9_84877	1	0	0	1	0	0	0	0	0	1	0	0	0	6	0
opn1mw4_84878	2	6	0	4	0	4	4	4	1	10	0	4	2	8	5
rad54l_84879	44	27	40	15	0	43	27	40	23	20	20	14	37	10	31
rpl8_84880	4319	4604	3522	3351	4	4175	3894	8113	1709	1641	2939	2106	4384	3619	1302
ascc3_84881	160	68	107	64	0	144	65	103	57	44	69	47	72	53	61
mrps2_84882	11	10	21	6	0	14	10	12	13	7	4	6	11	14	18
tmem50a_84883	0	7	5	2	0	3	6	5	2	2	6	2	6	3	1
itgb2_84884	7	3	7	4	0	7	2	1	4	9	8	4	7	6	8
emx2_84885	8	8	9	5	0	7	11	16	5	4	8	4	3	7	13
rabggtb_84886	61	53	97	58	0	65	67	74	75	58	47	24	81	61	61
tbc1d10c_84887	0	5	3	4	0	5	3	2	5	2	8	9	4	4	3
dhx33_84888	26	3	26	14	0	33	25	20	7	14	17	6	18	7	11
psen2_84889	77	91	73	87	0	69	98	87	74	83	44	52	41	75	73
kcnq2b_84890	2	1	1	2	0	5	0	3	0	5	0	2	4	0	0
kif14_84891	219	325	204	306	0	245	244	248	249	307	156	187	222	295	448
myrip_84892	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CR388166.1_84893	0	7	1	3	0	0	0	4	0	2	0	0	0	1	3
praf2_84894	44	85	43	128	0	33	64	42	112	125	21	42	68	118	127
serpinf1_84895	12	7	18	22	0	16	22	29	13	21	19	10	22	17	25
prdm1a_84896	184	159	195	171	0	140	153	143	194	176	67	89	168	127	203
ins_84897	18	11	33	13	0	31	27	32	17	24	41	7	25	26	15
snx22_84898	20	20	28	41	0	21	29	30	40	30	9	16	28	38	28
net1_84899	1836	1710	1674	1871	1	1607	1447	1517	1562	2051	747	1289	1576	1909	1881
lca5_84900	63	113	111	107	1	85	101	117	106	134	90	85	119	140	130
igf2r_84901	31	26	22	13	0	21	15	16	15	17	14	5	12	22	16
egr3_84902	0	4	1	0	0	0	0	0	0	0	0	0	2	0	1
s100b_84903	2	2	4	4	0	4	5	5	2	0	1	2	3	1	3
ptenb_84904	406	206	290	196	1	412	250	350	177	174	274	101	229	197	175
txnrd2.2_84905	70	25	33	10	0	33	38	37	26	14	22	15	14	18	30
lipf_84906	14	16	26	7	0	14	11	15	17	8	3	11	6	25	22
f3a_84907	6	8	8	5	0	12	3	3	1	4	8	3	2	7	7
nisch_84908	99	31	44	48	0	46	47	50	58	36	29	20	41	38	50
tipin_84909	8	15	8	1	0	11	11	9	6	9	9	4	13	2	16
bbc3_84910	12	10	0	1	0	4	10	2	3	4	3	1	4	5	3
ndc80_84911	0	2	3	7	0	6	2	0	5	4	3	0	4	7	3
mtr_84912	37	9	17	9	0	13	12	14	5	0	8	4	16	8	11
itga1_84913	5	10	11	10	0	3	3	1	11	2	2	7	6	4	0
ube3b_84914	119	140	143	170	0	135	127	134	123	124	73	100	147	146	170
tegt_84915	207	138	216	107	0	193	145	186	113	95	126	65	127	98	121
pygl_84916	5	40	36	35	0	32	46	31	31	40	23	32	38	25	37
zgc:162939_84917	8	2	8	5	0	9	2	6	5	0	4	5	7	2	2
prkcha_84918	0	3	2	3	0	4	6	5	0	2	3	3	4	6	7
uqcrc1_84919	76	106	149	40	0	89	101	159	98	167	55	62	117	69	138
esr2a_84920	1	0	6	2	0	0	0	2	3	7	0	1	5	8	4
mapk12b_84921	69	80	86	58	0	88	106	67	47	56	51	44	54	66	68
ptger1b_84922	0	1	0	2	0	0	2	1	0	0	0	2	0	0	0
jun_84923	285	176	218	156	0	227	207	178	154	161	140	100	163	168	194
yme1l1b_84924	5	18	8	23	0	26	18	17	12	9	15	10	19	12	19
nr1d1_84925	0	6	7	8	1	1	0	2	5	7	0	2	5	1	5
tor1l1_84926	1	1	0	0	0	2	3	4	3	0	0	0	2	3	2
cct5_84927	405	277	413	316	0	374	351	469	323	261	195	208	357	277	337
zw10_84928	8	4	8	5	0	3	0	1	4	4	4	3	3	6	4
CABZ01066926.1_84929	23	4	13	6	0	8	11	11	14	2	6	12	12	2	5
gbp1_84930	15	27	33	19	0	15	35	19	32	21	16	7	15	21	37
cib1_84931	18	13	9	1	0	9	13	23	8	9	6	9	11	8	9
gapdh_84932	2	3	4	1	0	5	3	4	3	9	0	4	3	4	1
emp1_84933	4	3	9	6	0	1	1	6	5	5	5	1	4	0	5
dnmt3ba_84934	2	22	11	45	0	15	17	22	30	16	20	23	20	32	33
ost4_84935	46	29	51	35	0	50	47	71	36	27	36	29	42	35	31
adh8a_84936	0	5	2	0	0	0	4	1	1	0	1	2	2	1	1
col10a1b_84937	2	2	6	1	0	0	3	2	1	2	3	1	5	2	4
ano10a_84938	4	3	4	0	0	0	2	2	0	3	0	0	3	0	1
psat1_84939	7	8	2	2	0	4	6	4	4	3	2	4	8	6	8
btr04_84940	15	71	86	46	0	14	88	95	62	120	30	34	143	10	134
nrip1a_84941	17	16	27	24	0	32	29	41	18	10	11	23	22	18	24
ndufv2_84942	47	53	60	43	0	66	50	55	43	29	32	31	35	34	29
slc3a2a_84943	170	46	89	51	0	88	68	81	67	47	84	21	53	56	41
pigb_84944	30	28	23	33	0	19	25	24	31	34	20	13	36	28	57
abcc1_84945	75	74	99	60	0	64	64	69	67	49	47	53	72	56	70
mbnl1_84946	114	144	115	162	0	94	113	107	98	147	48	75	123	110	195
il13_84947	10	1	9	4	0	5	5	6	6	7	7	1	15	4	6
ahr2_84948	164	89	99	122	0	93	92	87	102	88	49	54	117	110	118
hspg2_84949	86	26	45	30	0	62	28	40	25	24	26	23	48	18	24
mhc2dbb_84950	6	2	0	3	0	1	11	1	3	4	1	3	6	2	3
gad1a_84951	22	26	23	22	0	27	27	25	20	30	10	15	41	25	41
epas1b_84952	0	1	0	0	0	2	0	0	2	0	0	1	0	0	0
cldn5a_84953	50	33	46	31	0	52	46	88	36	33	35	16	39	29	29
grb10b_84954	6	5	6	1	0	2	6	0	1	0	1	4	4	0	4
srxn1_84955	24	67	45	45	0	36	55	62	44	53	20	31	46	44	60
txlna_84956	7	2	7	2	0	6	2	6	11	10	0	2	10	6	4
ppp1cb_84957	12	19	28	9	0	15	14	17	8	7	14	10	17	8	8
si:busm1-104n07.3_84958	0	2	0	2	0	1	0	0	0	3	0	2	1	0	1
hdr_84959	8	5	2	8	0	2	7	6	5	6	0	5	16	8	8
ppp2r5a_84960	0	0	2	0	0	0	0	0	0	1	1	0	2	0	0
sall2_84961	34	26	26	21	0	51	42	55	52	37	28	30	41	35	44
zgc:163022_84962	2	7	12	8	0	7	8	8	3	7	3	6	4	10	11
psmb9a_84963	0	2	0	7	0	5	6	3	2	2	0	2	6	7	1
fn1a_84964	21	17	38	3	0	22	16	15	53	22	51	8	16	14	31
apoea_84965	87	100	184	109	0	29	80	169	101	134	105	21	43	106	140
atp6v1b2_84966	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0
aclyb_84967	14	5	17	6	0	37	6	6	7	11	5	8	3	7	8
gabarapb_84968	111	80	127	83	0	116	83	156	83	57	90	49	77	73	88
dynlt3_84969	89	108	115	124	0	81	126	151	123	116	50	72	106	102	131
ep300a_84970	188	220	176	166	0	120	205	204	170	214	175	77	175	150	159
nab1a_84971	2	1	5	2	0	3	3	1	2	0	3	5	5	5	5
zgc:175177_84972	0	3	2	2	0	0	0	1	2	5	1	0	0	1	1
magi1b_84973	188	57	83	34	0	172	60	95	29	26	103	43	83	30	34
gpr65_84974	3	1	5	1	0	0	3	0	0	3	1	1	0	3	1
lhb_84975	2	3	2	1	0	1	2	1	3	0	1	2	6	3	1
cdh5_84976	2	11	3	2	0	3	9	11	10	3	4	2	5	2	2
atp6v1d_84977	321	214	315	270	0	234	256	311	337	247	135	129	209	269	218
her6_84978	304	350	477	433	0	437	476	479	375	348	176	236	321	329	374
ccnf_84979	167	77	106	78	0	105	84	111	93	54	74	47	100	63	77
cyp17a1_84980	4	4	12	10	0	5	5	3	7	5	3	4	9	7	6
slc7a3b_84981	1	2	1	3	0	1	4	4	1	2	0	7	3	5	5
si:dkey-202e17.1_84982	1	0	0	1	0	0	3	1	3	7	1	3	0	4	4
tubb2b_84983	1477	1358	1332	1224	0	1267	1483	1758	1167	1032	788	544	1364	1060	1134
met_84984	3	4	12	6	0	6	5	14	6	4	2	7	15	17	11
slc17a6b_84985	6	2	0	2	0	6	0	1	3	5	0	0	3	8	5
pik3c3_84986	119	26	59	27	0	96	34	48	25	30	40	21	48	25	21
mt2_84987	66	15	21	35	0	34	21	31	59	30	4	14	19	29	16
slc2a3a_84988	17	2	27	8	0	10	12	13	30	5	5	2	11	8	3
polr2h_84989	76	238	162	316	0	119	319	241	350	266	111	171	230	296	270
smc4_84990	12	17	15	12	0	8	14	10	6	8	2	6	4	7	4
serpina1_84991	1499	386	357	211	0	502	294	443	259	231	321	163	239	186	164
si:cabz01093077.1_84992	0	1	5	0	0	5	0	0	7	3	0	4	2	0	3
spata6_84993	2	1	4	2	0	3	3	2	5	3	6	1	4	3	2
gpr4_84994	0	1	2	0	0	0	4	0	0	1	0	0	2	0	1
btk_84995	31	24	6	11	0	7	4	9	17	16	4	15	6	25	27
cyb561_84996	3	6	11	5	0	6	5	3	8	10	1	10	10	11	21
ugt1b5_84997	34	27	13	33	0	19	25	4	34	25	10	21	18	22	18
th_84998	0	0	0	1	0	2	0	2	3	5	0	1	1	1	0
mag_84999	8	7	6	1	0	7	0	9	7	10	5	2	7	9	3
si:dkey-18p12.4_85000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alas2_85001	429	434	368	383	0	243	362	317	255	353	212	198	355	335	515
ciapin1_85002	52	42	52	46	0	42	51	67	55	23	29	17	55	26	48
mhc2dab_85003	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
sqor_85004	2	1	3	4	0	3	3	0	2	7	0	3	0	3	6
acvr2aa_85005	147	54	65	75	0	96	82	102	67	51	87	39	73	63	66
